Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	Peak Freq (Hz)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	1.089430710	1.242631904	53.393	147.192	LH1079619606.WAV	0.1532	1.0895	86.133	33	2	2	2	
2	Spectrogram 1	1	1.395833097	1.540523113	56.279	170.281	LH1079619606.WAV	0.1447	1.3958	103.359	33	1	2	2	
3	Spectrogram 1	1	1.719257839	1.838414323	56.279	152.965	LH1079619606.WAV	0.1192	1.7193	103.359	33	2	2	2	
4	Spectrogram 1	1	2.587397936	2.766132662	57.723	160.180	LH1079619606.WAV	0.1787	2.5874	120.586	33	2	2	2	
5	Spectrogram 1	1	2.902311501	2.995934452	59.166	152.965	LH1079619606.WAV	0.0936	2.9023	103.359	33	2	2	2	
6	Spectrogram 1	1	3.047001517	3.157646823	57.723	150.079	LH1079619606.WAV	0.1106	3.0471	86.133	33	2	2	2	
7	Spectrogram 1	1	3.659806291	3.770451598	60.609	164.509	LH1079619606.WAV	0.1106	3.6598	103.359	33	2	2	2	
8	Spectrogram 1	1	4.110898695	4.289633420	57.723	158.737	LH1079619606.WAV	0.1787	4.1109	86.133	33	1	2	2	
9	Spectrogram 1	1	4.366234017	4.527946388	60.609	160.180	LH1079619606.WAV	0.1617	4.3662	103.359	33	1	2	2	
10	Spectrogram 1	1	4.672636404	4.791792888	60.609	154.408	LH1079619606.WAV	0.1192	4.6727	103.359	33	1	2	2	
11	Spectrogram 1	1	5.353530598	5.515242969	60.609	154.408	LH1079619611.WAV	0.1617	0.3535	103.359	33	1	2	2	
12	Spectrogram 1	1	6.306782469	6.417427776	66.381	152.965	LH1079619611.WAV	0.1106	1.3068	103.359	33	1	2	2	
13	Spectrogram 1	1	6.808941937	6.953631953	62.052	151.522	LH1079619611.WAV	0.1447	1.8090	86.133	33	1	2	2	
14	Spectrogram 1	1	7.064277260	7.225989631	50.507	152.965	LH1079619611.WAV	0.1617	2.0643	86.133	33	1	2	2	
15	Spectrogram 1	1	7.319612582	7.396213179	75.039	173.168	LH1079619611.WAV	0.0766	2.3196	120.586	33	2	2	2	
16	Spectrogram 1	1	8.230308567	8.306909163	59.166	135.648	LH1079619611.WAV	0.0766	3.2303	86.133	33	2	2	2	
17	Spectrogram 1	1	8.485643889	8.672889793	63.495	163.066	LH1079619611.WAV	0.1872	3.4856	120.586	33	2	2	2	
18	Spectrogram 1	1	8.826090986	8.970781002	60.609	154.408	LH1079619611.WAV	0.1447	3.8261	103.359	33	1	2	2	
19	Spectrogram 1	1	9.200582793	9.387828696	60.609	148.635	LH1079619611.WAV	0.1872	4.2006	103.359	33	2	2	2	
20	Spectrogram 1	1	9.779344133	9.932545326	66.381	160.180	LH1079619611.WAV	0.1532	4.7794	120.586	33	1	2	2	
21	Spectrogram 1	1	10.392148907	10.553861278	63.495	155.851	LH1079620206.WAV	0.1617	0.3922	103.359	33	2	2	2	
22	Spectrogram 1	1	11.064531923	11.183688407	66.381	142.863	LH1079620206.WAV	0.1192	1.0645	86.133	33	3	2	2	
23	Spectrogram 1	1	11.311356069	11.464557262	59.166	148.635	LH1079620206.WAV	0.1532	1.3113	103.359	33	2	2	2	
24	Spectrogram 1	1	11.677336698	11.787982004	56.279	144.306	LH1079620206.WAV	0.1106	1.6773	103.359	33	2	2	2	
25	Spectrogram 1	1	12.400786778	12.519943262	49.064	152.965	LH1079620206.WAV	0.1192	2.4008	86.133	33	2	2	2	
26	Spectrogram 1	1	12.673145940	12.843369489	62.052	150.079	LH1079620206.WAV	0.1702	2.6731	103.359	33	1	2	2	
27	Spectrogram 1	1	12.945503618	13.081682456	57.723	158.737	LH1079620206.WAV	0.1362	2.9455	103.359	33	1	2	2	
28	Spectrogram 1	1	13.234883650	13.456174263	53.393	158.737	LH1079620206.WAV	0.2213	3.2349	86.133	33	2	2	2	
29	Spectrogram 1	1	13.558308392	13.737043118	57.723	145.749	LH1079620206.WAV	0.1787	3.5583	86.133	33	2	2	2	
30	Spectrogram 1	1	13.864710779	13.966844908	53.393	150.079	LH1079620206.WAV	0.1021	3.8647	103.359	33	2	2	2	
31	Spectrogram 1	1	14.188135521	14.307292005	56.279	147.192	LH1079620206.WAV	0.1192	4.1881	103.359	33	2	2	2	
32	Spectrogram 1	1	14.537093795	14.664761457	51.950	147.192	LH1079620206.WAV	0.1277	4.5371	103.359	33	2	2	2	
33	Spectrogram 1	1	14.783917941	14.928607957	64.938	158.737	LH1079620206.WAV	0.1447	4.7839	103.359	33	2	2	2	
34	Spectrogram 1	1	15.754192167	15.915904538	56.279	151.522	LH1079620211.WAV	0.1617	0.7542	103.359	33	2	2	2	
35	Spectrogram 1	1	17.005336732	17.175560280	51.950	157.294	LH1079620211.WAV	0.1702	2.0053	103.359	33	1	2	2	
36	Spectrogram 1	1	18.043700377	18.145834506	51.950	152.965	LH1079620211.WAV	0.1021	3.0437	86.133	33	2	2	2	
37	Spectrogram 1	1	18.290524523	18.435214539	51.950	145.749	LH1079620211.WAV	0.1447	3.2905	103.359	33	1	2	2	
38	Spectrogram 1	1	18.528837490	18.673527506	64.938	155.851	LH1079620211.WAV	0.1447	3.5288	103.359	33	2	2	2	
39	Spectrogram 1	1	18.962907539	19.056530490	59.166	144.306	LH1079620211.WAV	0.0936	3.9629	103.359	33	2	2	2	
40	Spectrogram 1	1	19.218242861	19.345910523	54.836	152.965	LH1079620211.WAV	0.1277	4.2183	86.133	33	2	2	2	
41	Spectrogram 1	1	19.507622894	19.626779378	57.723	160.180	LH1079620211.WAV	0.1192	4.5076	103.359	33	2	2	2	
42	Spectrogram 1	1	22.137578520	22.265246182	54.836	152.965	LH1079620806.WAV	0.1277	2.1375	86.133	33	1	2	2	
43	Spectrogram 1	1	23.303609827	23.422766311	56.279	167.395	LH1079620806.WAV	0.1192	3.3036	103.359	33	2	2	2	
44	Spectrogram 1	1	23.567456327	23.712146343	60.609	164.509	LH1079620806.WAV	0.1447	3.5675	86.133	33	2	2	2	
45	Spectrogram 1	1	23.873858714	24.001526376	56.279	163.066	LH1079620806.WAV	0.1277	3.8738	103.359	33	1	2	2	
46	Spectrogram 1	1	24.146216392	24.273884053	56.279	157.294	LH1079620806.WAV	0.1277	4.1463	103.359	33	1	2	2	
47	Spectrogram 1	1	25.593116553	25.746317747	54.836	150.079	LH1079620811.WAV	0.1532	0.5931	103.359	33	2	2	2	
48	Spectrogram 1	1	25.899518941	26.069742489	56.279	158.737	LH1079620811.WAV	0.1702	0.8995	103.359	33	2	2	2	
49	Spectrogram 1	1	26.214432505	26.316566634	56.279	158.737	LH1079620811.WAV	0.1021	1.2144	103.359	33	2	2	2	
50	Spectrogram 1	1	26.418700763	26.546368425	53.393	158.737	LH1079620811.WAV	0.1277	1.4187	86.133	33	2	2	2	
51	Spectrogram 1	1	26.699569618	26.818726102	51.950	158.737	LH1079620811.WAV	0.1192	1.6995	86.133	33	2	2	2	
52	Spectrogram 1	1	26.971927296	27.099594957	57.723	147.192	LH1079620811.WAV	0.1277	1.9719	86.133	33	2	2	2	
53	Spectrogram 1	1	27.176195554	27.363441457	54.836	152.965	LH1079620811.WAV	0.1872	2.1762	86.133	33	2	2	2	
54	Spectrogram 1	1	27.550687360	27.652821489	56.279	152.965	LH1079620811.WAV	0.1021	2.5507	86.133	33	2	2	2	
55	Spectrogram 1	1	27.823045038	27.925179167	60.609	158.737	LH1079620811.WAV	0.1021	2.8230	86.133	33	2	2	2	
56	Spectrogram 1	1	28.333715683	28.435849812	56.279	151.522	LH1079620811.WAV	0.1021	3.3337	86.133	33	2	2	2	
57	Spectrogram 1	1	28.631606893	28.767785732	53.393	152.965	LH1079620811.WAV	0.1362	3.6316	86.133	33	2	2	2	
58	Spectrogram 1	1	29.295481702	29.372082298	82.255	150.079	LH1079620811.WAV	0.0766	4.2955	120.586	33	3	2	2	
59	Spectrogram 1	1	29.661462331	29.738062927	66.381	147.192	LH1079620811.WAV	0.0766	4.6615	86.133	33	3	2	2	
60	Spectrogram 1	1	30.384912411	30.521091250	50.507	137.091	LH1079621406.WAV	0.1362	0.3849	103.359	33	2	2	2	
61	Spectrogram 1	1	32.921243283	33.082955654	59.166	152.965	LH1079621406.WAV	0.1617	2.9212	103.359	33	1	2	2	
62	Spectrogram 1	1	33.227645670	33.363824509	51.950	145.749	LH1079621406.WAV	0.1362	3.2277	103.359	33	1	2	2	
