Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	Peak Freq (Hz)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	1.097941887	1.234120726	63.495	152.965	LH1079539206.WAV	0.1362	1.0980	103.359	33	2	2	2	
2	Spectrogram 1	1	2.408663210	2.519308517	51.950	151.522	LH1079539206.WAV	0.1106	2.4086	103.359	33	2	2	2	
3	Spectrogram 1	1	5.098195275	5.251396469	47.621	165.952	LH1079539211.WAV	0.1532	0.0982	120.586	33	2	2	2	
4	Spectrogram 1	1	7.489836131	7.574947905	69.267	147.192	LH1079539211.WAV	0.0851	2.4898	103.359	33	2	2	2	
5	Spectrogram 1	1	9.881478897	9.975101848	49.064	141.420	LH1079539211.WAV	0.0936	4.8815	86.133	33	2	2	2	
6	Spectrogram 1	1	12.536966252	12.690167446	54.836	152.965	LH1079539806.WAV	0.1532	2.5370	103.359	33	2	2	2	
7	Spectrogram 1	1	14.051955833	14.205157027	54.836	150.079	LH1079539806.WAV	0.1532	4.0519	103.359	33	2	2	2	
8	Spectrogram 1	1	17.218115109	17.320249238	56.279	147.192	LH1079539811.WAV	0.1021	2.2181	103.359	33	2	2	2	
9	Spectrogram 1	1	21.584351670	21.720530509	44.735	144.306	LH1079540406.WAV	0.1362	1.5844	103.359	33	2	2	2	
10	Spectrogram 1	1	23.967481348	24.103660187	44.735	168.838	LH1079540406.WAV	0.1362	3.9675	103.359	33	1	2	2	
11	Spectrogram 1	1	28.648630839	28.767787323	50.507	200.586	LH1079540411.WAV	0.1192	3.6486	103.359	33	2	2	2	
12	Spectrogram 1	1	29.116745597	29.235902081	50.507	186.155	LH1079540411.WAV	0.1192	4.1168	120.586	33	2	2	2	
13	Spectrogram 1	1	29.780617436	29.882751565	59.166	151.522	LH1079540411.WAV	0.1021	4.7806	103.359	33	2	2	2	
14	Spectrogram 1	1	31.057294049	31.210495243	44.735	171.724	LH1079541006.WAV	0.1532	1.0573	86.133	33	2	2	2	
15	Spectrogram 1	1	33.593626935	33.746828129	40.406	176.054	LH1079541006.WAV	0.1532	3.5937	120.586	33	1	2	2	
