Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	Peak Freq (Hz)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	0.425558871	0.536204178	59.166	138.534	LH1079579406.WAV	0.1106	0.4255	86.133	33	2	2	2	
2	Spectrogram 1	1	30.648759017	30.725359614	63.495	135.648	LH1079581206.WAV	0.0766	0.6488	103.359	33	3	2	2	
3	Spectrogram 1	1	32.112681534	32.214815663	60.609	147.192	LH1079581206.WAV	0.1021	2.1127	103.359	33	2	2	2	
4	Spectrogram 1	1	32.512706873	32.589307470	57.723	131.319	LH1079581206.WAV	0.0766	2.5127	86.133	33	2	2	2	
5	Spectrogram 1	1	32.963799276	33.074444583	57.723	144.306	LH1079581206.WAV	0.1106	2.9638	120.586	33	2	2	2	
6	Spectrogram 1	1	39.219517650	39.355696489	60.609	142.863	LH1079581211.WAV	0.1362	4.2195	86.133	33	2	2	2	
7	Spectrogram 1	1	40.462149553	40.555772505	47.621	116.888	LH1079581806.WAV	0.0936	0.4621	86.133	33	2	2	2	
8	Spectrogram 1	1	40.572794860	40.734507231	46.178	139.977	LH1079581806.WAV	0.1617	0.5728	86.133	33	2	2	2	
9	Spectrogram 1	1	41.389867892	41.526046731	51.950	152.965	LH1079581806.WAV	0.1362	1.3899	103.359	33	2	2	2	
10	Spectrogram 1	1	42.326097409	42.470787425	56.279	141.420	LH1079581806.WAV	0.1447	2.3261	103.359	33	2	2	2	
11	Spectrogram 1	1	42.870812764	43.015502780	37.520	160.180	LH1079581806.WAV	0.1447	2.8709	86.133	33	1	2	2	
12	Spectrogram 1	1	43.619796377	43.721930506	15.874	147.192	LH1079581806.WAV	0.1021	3.6198	86.133	33	2	2	2	
13	Spectrogram 1	1	43.858109345	43.943221119	63.495	152.965	LH1079581806.WAV	0.0851	3.8582	120.586	33	2	2	2	
14	Spectrogram 1	1	44.207067619	44.377291167	50.507	154.408	LH1079581806.WAV	0.1702	4.2070	103.359	33	2	2	2	
15	Spectrogram 1	1	44.777316506	44.973073587	47.621	163.066	LH1079581806.WAV	0.1958	4.7773	86.133	33	2	2	2	
16	Spectrogram 1	1	46.854045391	46.998735407	51.950	155.851	LH1079581811.WAV	0.1447	1.8541	86.133	33	1	2	2	
17	Spectrogram 1	1	47.705163133	47.866875504	54.836	151.522	LH1079581811.WAV	0.1617	2.7052	86.133	33	2	2	2	
18	Spectrogram 1	1	48.300945552	48.445635568	44.735	165.952	LH1079581811.WAV	0.1447	3.3009	86.133	33	2	2	2	
19	Spectrogram 1	1	48.539258520	48.683948536	50.507	174.611	LH1079581811.WAV	0.1447	3.5392	86.133	33	1	2	2	
20	Spectrogram 1	1	48.871194440	49.024395633	49.064	147.192	LH1079581811.WAV	0.1532	3.8712	86.133	33	2	2	2	
21	Spectrogram 1	1	49.569110988	49.739334537	51.950	152.965	LH1079581811.WAV	0.1702	4.5692	86.133	33	2	2	2	
22	Spectrogram 1	1	49.884024553	49.977647504	49.064	157.294	LH1079581811.WAV	0.0936	4.8840	86.133	33	2	2	2	
23	Spectrogram 1	1	50.564920970	50.718122163	51.950	151.522	LH1079582406.WAV	0.1532	0.5650	86.133	33	1	2	2	
24	Spectrogram 1	1	50.828767470	50.939412776	56.279	148.635	LH1079582406.WAV	0.1106	0.8288	103.359	33	2	2	2	
25	Spectrogram 1	1	51.058569260	51.237303986	53.393	150.079	LH1079582406.WAV	0.1787	1.0586	86.133	33	1	2	2	
26	Spectrogram 1	1	52.667181793	52.837405341	51.950	154.408	LH1079582406.WAV	0.1702	2.6672	103.359	33	1	2	2	
27	Spectrogram 1	1	53.177852438	53.305520099	56.279	151.522	LH1079582406.WAV	0.1277	3.1779	86.133	33	2	2	2	
28	Spectrogram 1	1	53.637456019	53.756612503	49.064	151.522	LH1079582406.WAV	0.1192	3.6374	103.359	33	2	2	2	
29	Spectrogram 1	1	54.616241422	54.794976148	41.849	157.294	LH1079582406.WAV	0.1787	4.6162	86.133	33	2	2	2	
30	Spectrogram 1	1	55.799295084	55.918451568	64.938	158.737	LH1079582411.WAV	0.1192	0.7993	120.586	33	2	2	2	
31	Spectrogram 1	1	56.156764535	56.250387487	57.723	148.635	LH1079582411.WAV	0.0936	1.1568	103.359	33	2	2	2	
32	Spectrogram 1	1	57.663247597	57.756870549	62.052	145.749	LH1079582411.WAV	0.0936	2.6633	103.359	33	2	2	2	
33	Spectrogram 1	1	57.978161162	58.088806468	56.279	151.522	LH1079582411.WAV	0.1106	2.9781	120.586	33	3	2	2	
34	Spectrogram 1	1	59.161214823	59.305904839	59.166	152.965	LH1079582411.WAV	0.1447	4.1612	103.359	33	2	2	2	
35	Spectrogram 1	1	70.498110879	70.727912670	43.292	147.192	LH1079583606.WAV	0.2298	0.4981	86.133	33	2	2	2	
36	Spectrogram 1	1	71.127938008	71.264116847	47.621	163.066	LH1079583606.WAV	0.1362	1.1279	103.359	33	2	2	2	
37	Spectrogram 1	1	71.791809847	71.953522218	56.279	145.749	LH1079583606.WAV	0.1617	1.7918	86.133	33	2	2	2	
38	Spectrogram 1	1	72.183324009	72.345036380	51.950	158.737	LH1079583606.WAV	0.1617	2.1833	86.133	33	2	2	2	
39	Spectrogram 1	1	72.693994654	72.787617606	67.824	147.192	LH1079583606.WAV	0.0936	2.6940	103.359	33	2	2	2	
40	Spectrogram 1	1	73.936626558	74.081316574	38.963	152.965	LH1079583606.WAV	0.1447	3.9366	86.133	33	2	2	2	
41	Spectrogram 1	1	74.583476042	74.711143703	53.393	141.420	LH1079583606.WAV	0.1277	4.5834	86.133	33	2	2	2	
42	Spectrogram 1	1	75.357993187	75.477149671	49.064	148.635	LH1079583611.WAV	0.1192	0.3579	86.133	33	2	2	2	
43	Spectrogram 1	1	75.545239090	75.655884397	54.836	155.851	LH1079583611.WAV	0.1106	0.5452	86.133	33	2	2	2	
44	Spectrogram 1	1	76.030376203	76.132510332	53.393	147.192	LH1079583611.WAV	0.1021	1.0304	86.133	33	2	2	2	
45	Spectrogram 1	1	76.251666816	76.370823300	59.166	152.965	LH1079583611.WAV	0.1192	1.2517	86.133	33	2	2	2	
46	Spectrogram 1	1	77.358119881	77.485787542	69.267	158.737	LH1079583611.WAV	0.1277	2.3582	120.586	33	2	2	2	
47	Spectrogram 1	1	77.894324059	77.987947010	56.279	151.522	LH1079583611.WAV	0.0936	2.8943	103.359	33	3	2	2	
48	Spectrogram 1	1	78.345416462	78.490106478	53.393	152.965	LH1079583611.WAV	0.1447	3.3455	86.133	33	2	2	2	
