Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	Peak Freq (Hz)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	10.664507856	10.860264936	62.052	154.408	LH1079459406.WAV	0.1958	0.6645	103.359	33	1	2	2	
2	Spectrogram 1	1	14.724339486	14.852007147	56.279	145.749	LH1079459406.WAV	0.1277	4.7244	103.359	33	2	2	2	
3	Spectrogram 1	1	18.001142793	18.128810454	62.052	147.192	LH1079459411.WAV	0.1277	3.0011	86.133	33	1	2	2	
4	Spectrogram 1	1	22.656760237	22.826983786	53.393	155.851	LH1079460006.WAV	0.1702	2.6568	103.359	33	1	2	2	
5	Spectrogram 1	1	24.333462189	24.520708092	57.001	145.028	LH1079460006.WAV	0.1872	4.3334	103.359	33	1	2	2	
6	Spectrogram 1	1	68.915028701	69.085252249	60.609	154.408	LH1079462411.WAV	0.1702	3.9151	103.359	33	1	2	2	
7	Spectrogram 1	1	116.066978198	116.186134682	62.052	152.965	LH1079465411.WAV	0.1192	1.0670	103.359	33	2	2	2	
8	Spectrogram 1	1	116.322313521	116.432958828	54.836	145.749	LH1079465411.WAV	0.1106	1.3223	103.359	33	2	2	2	
9	Spectrogram 1	1	120.560881253	120.671526560	62.052	145.749	LH1079466006.WAV	0.1106	0.5609	103.359	33	2	2	2	
10	Spectrogram 1	1	138.000292160	138.187538063	54.836	164.509	LH1079466611.WAV	0.1872	3.0003	103.359	33	1	2	2	
11	Spectrogram 1	1	138.247116305	138.408828676	53.393	157.294	LH1079466611.WAV	0.1617	3.2472	103.359	33	2	2	2	
12	Spectrogram 1	1	150.596839728	150.750040922	57.723	148.635	LH1079467806.WAV	0.1532	0.5968	103.359	33	2	2	2	
13	Spectrogram 1	1	208.634587796	208.762255457	69.267	147.192	LH1079470811.WAV	0.1277	3.6346	103.359	33	2	2	2	
14	Spectrogram 1	1	258.203712205	258.339891044	49.064	158.737	LH1079473811.WAV	0.1362	3.2037	103.359	33	1	2	2	
15	Spectrogram 1	1	258.842050512	258.961206995	66.381	152.965	LH1079473811.WAV	0.1192	3.8421	103.359	33	2	2	2	
16	Spectrogram 1	1	483.945782386	484.073450048	50.507	141.420	LH1079487606.WAV	0.1277	3.9458	103.359	33	2	2	2	
