Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	Peak Freq (Hz)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	55.195004768	55.322672430	46.178	135.648	LH1079502011.WAV	0.1277	0.1950	103.359	33	2	2	2	
2	Spectrogram 1	1	141.702656143	141.804790272	75.039	147.192	LH1079507406.WAV	0.1021	1.7026	120.586	33	3	2	2	
3	Spectrogram 1	1	154.418358285	154.554537124	66.381	158.737	LH1079508006.WAV	0.1362	4.4184	120.586	33	2	2	2	
4	Spectrogram 1	1	199.604224740	199.740403579	51.950	147.192	LH1079510411.WAV	0.1362	4.6042	103.359	33	2	2	2	
5	Spectrogram 1	1	204.361972919	204.489640580	59.166	141.420	LH1079511006.WAV	0.1277	4.3620	86.133	33	2	2	2	
6	Spectrogram 1	1	213.511495846	213.664697040	63.495	152.965	LH1079511606.WAV	0.1532	3.5115	120.586	33	2	2	2	
7	Spectrogram 1	1	242.389939998	242.466540595	51.950	129.876	LH1079513406.WAV	0.0766	2.3899	86.133	33	3	2	2	
8	Spectrogram 1	1	245.139050305	245.241184434	82.255	150.079	LH1079513411.WAV	0.1021	0.1390	120.586	33	3	2	2	
9	Spectrogram 1	1	245.632698596	245.760366257	63.495	141.420	LH1079513411.WAV	0.1277	0.6327	86.133	33	3	2	2	
10	Spectrogram 1	1	251.369235886	251.488392370	60.609	144.306	LH1079514006.WAV	0.1192	1.3693	103.359	33	2	2	2	
11	Spectrogram 1	1	252.084174790	252.237375983	67.824	142.863	LH1079514006.WAV	0.1532	2.0841	120.586	33	3	2	2	
12	Spectrogram 1	1	258.995251918	259.097386047	49.064	144.306	LH1079514011.WAV	0.1021	3.9952	86.133	33	2	2	2	
13	Spectrogram 1	1	260.518752677	260.629397983	63.495	150.079	LH1079514607.WAV	0.1106	0.5187	103.359	33	2	2	2	
14	Spectrogram 1	1	261.403915129	261.531582790	49.064	164.509	LH1079514607.WAV	0.1277	1.4040	86.133	33	2	2	2	
15	Spectrogram 1	1	262.263544048	262.416745242	54.836	158.737	LH1079514607.WAV	0.1532	2.2635	86.133	33	2	2	2	
16	Spectrogram 1	1	262.867837645	262.995505306	50.507	145.749	LH1079514607.WAV	0.1277	2.8678	86.133	33	2	2	2	
17	Spectrogram 1	1	263.208284742	263.301907694	75.039	142.863	LH1079514607.WAV	0.0936	3.2083	120.586	33	3	2	2	
18	Spectrogram 1	1	269.293780313	269.387403264	56.279	163.066	LH1079514612.WAV	0.0936	4.2938	103.359	33	2	2	2	
