Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	Peak Freq (Hz)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	0.570248887	0.723450081	50.507	141.420	LH1079298006.WAV	0.1532	0.5703	86.133	33	2	2	2	
2	Spectrogram 1	1	3.174669178	3.353403904	44.735	145.749	LH1079298006.WAV	0.1787	3.1747	86.133	33	3	2	2	
3	Spectrogram 1	1	3.668317469	3.847052195	41.849	152.965	LH1079298006.WAV	0.1787	3.6684	86.133	33	1	2	2	
4	Spectrogram 1	1	3.983231033	4.170476937	51.950	148.635	LH1079298006.WAV	0.1872	3.9832	86.133	33	1	2	2	
5	Spectrogram 1	1	4.757749132	4.893927971	51.950	145.749	LH1079298006.WAV	0.1362	4.7577	86.133	33	2	2	2	
6	Spectrogram 1	1	8.553734262	8.749491343	46.178	152.965	LH1079298011.WAV	0.1958	3.5542	86.133	33	1	2	2	
7	Spectrogram 1	1	13.907266561	14.086001287	54.836	148.635	LH1079298606.WAV	0.1787	3.9073	86.133	33	2	2	2	
8	Spectrogram 1	1	14.315803077	14.503048981	53.393	147.192	LH1079298606.WAV	0.1872	4.3158	86.133	33	2	2	2	
9	Spectrogram 1	1	18.358612353	18.554369433	49.064	148.635	LH1079298611.WAV	0.1958	3.3586	86.133	33	1	2	2	
10	Spectrogram 1	1	18.835238288	19.056528901	46.178	145.749	LH1079298611.WAV	0.2213	3.8353	86.133	33	1	2	2	
11	Spectrogram 1	1	20.341720084	20.545988342	47.621	164.509	LH1079299206.WAV	0.2043	0.3417	86.133	33	1	2	2	
12	Spectrogram 1	1	30.699826612	30.912606047	49.064	147.192	LH1079299806.WAV	0.2128	0.6998	86.133	33	1	2	2	
13	Spectrogram 1	1	31.116874306	31.304120209	56.279	142.863	LH1079299806.WAV	0.1872	1.1169	86.133	33	2	2	2	
14	Spectrogram 1	1	31.636056128	31.797768499	47.621	152.965	LH1079299806.WAV	0.1617	1.6361	86.133	33	1	2	2	
15	Spectrogram 1	1	31.993525580	32.180771483	56.279	135.648	LH1079299806.WAV	0.1872	1.9935	86.133	33	2	2	2	
16	Spectrogram 1	1	32.861665677	32.997844516	62.052	151.522	LH1079299806.WAV	0.1362	2.8617	103.359	33	2	2	2	
17	Spectrogram 1	1	33.474470451	33.670227532	57.723	139.977	LH1079299806.WAV	0.1958	3.4745	86.133	33	3	2	2	
18	Spectrogram 1	1	34.027696984	34.240476419	44.735	137.091	LH1079299806.WAV	0.2128	4.0277	86.133	33	2	2	2	
19	Spectrogram 1	1	34.563901161	34.708591177	44.735	145.749	LH1079299806.WAV	0.1447	4.5639	86.133	33	2	2	2	
20	Spectrogram 1	1	35.278840065	35.474597145	51.950	137.091	LH1079299811.WAV	0.1958	0.2788	86.133	33	3	2	2	
21	Spectrogram 1	1	37.661971546	37.823683917	57.723	142.863	LH1079299811.WAV	0.1617	2.6620	120.586	33	3	2	2	
22	Spectrogram 1	1	38.759913433	38.947159337	50.507	148.635	LH1079299811.WAV	0.1872	3.7599	86.133	33	2	2	2	
23	Spectrogram 1	1	40.700461885	40.879196611	53.393	141.420	LH1079300406.WAV	0.1787	0.7005	86.133	33	1	2	2	
24	Spectrogram 1	1	44.062376967	44.215578161	54.836	141.420	LH1079300406.WAV	0.1532	4.0624	86.133	33	3	2	2	
25	Spectrogram 1	1	45.551834928	45.662480234	66.381	142.863	LH1079300411.WAV	0.1106	0.5518	103.359	33	3	2	2	
26	Spectrogram 1	1	48.998861783	49.211641219	46.178	148.635	LH1079300411.WAV	0.2128	3.9989	86.133	33	2	2	2	
27	Spectrogram 1	1	54.769444839	54.948179565	54.836	148.635	LH1079301006.WAV	0.1787	4.7695	120.586	33	3	2	2	
28	Spectrogram 1	1	59.382506495	59.535707689	46.178	147.192	LH1079301011.WAV	0.1532	4.3825	86.133	33	3	2	2	
29	Spectrogram 1	1	60.820895480	60.982607851	49.064	147.192	LH1079301606.WAV	0.1617	0.8209	86.133	33	2	2	2	
30	Spectrogram 1	1	61.459233786	61.595412625	53.393	142.863	LH1079301606.WAV	0.1362	1.4592	86.133	33	3	2	2	
31	Spectrogram 1	1	66.021229013	66.208474916	51.950	163.066	LH1079301611.WAV	0.1872	1.0212	103.359	33	3	2	2	
32	Spectrogram 1	1	72.566327205	72.787617818	40.406	151.522	LH1079302206.WAV	0.2213	2.5663	86.133	33	1	2	2	
33	Spectrogram 1	1	79.102914114	79.290160017	49.064	141.420	LH1079302211.WAV	0.1872	4.1029	86.133	33	3	2	2	
34	Spectrogram 1	1	82.175449163	82.379717421	50.507	170.281	LH1079302806.WAV	0.2043	2.1754	103.359	33	2	2	2	
35	Spectrogram 1	1	82.396739776	82.549940970	46.178	147.192	LH1079302806.WAV	0.1532	2.3967	86.133	33	2	2	2	
36	Spectrogram 1	1	83.094656325	83.307435760	46.178	148.635	LH1079302806.WAV	0.2128	3.0947	86.133	33	1	2	2	
37	Spectrogram 1	1	87.954542024	88.090720863	54.836	164.509	LH1079302811.WAV	0.1362	2.9545	103.359	33	2	2	2	
38	Spectrogram 1	1	88.686503283	88.899282718	47.621	200.586	LH1079302811.WAV	0.2128	3.6865	103.359	33	1	2	2	
39	Spectrogram 1	1	90.831321053	90.993033424	54.836	186.155	LH1079303406.WAV	0.1617	0.8313	86.133	33	2	2	2	
40	Spectrogram 1	1	96.116764666	96.329544102	46.178	147.192	LH1079303411.WAV	0.2128	1.1168	86.133	33	1	2	2	
41	Spectrogram 1	1	96.661480021	96.891281812	53.393	154.408	LH1079303411.WAV	0.2298	1.6615	86.133	33	1	2	2	
42	Spectrogram 1	1	98.874390174	99.036102545	59.166	154.408	LH1079303411.WAV	0.1617	3.8744	103.359	33	3	2	2	
43	Spectrogram 1	1	99.299949045	99.419105529	50.507	151.522	LH1079303411.WAV	0.1192	4.3000	103.359	33	3	2	2	
44	Spectrogram 1	1	110.483643693	110.704934306	44.735	158.737	LH1079304606.WAV	0.2213	0.4837	86.133	33	1	2	2	
45	Spectrogram 1	1	111.079426112	111.283694370	50.507	160.180	LH1079304606.WAV	0.2043	1.0795	103.359	33	2	2	2	
46	Spectrogram 1	1	111.700742064	111.870965612	60.609	157.294	LH1079304606.WAV	0.1702	1.7008	103.359	33	2	2	2	
47	Spectrogram 1	1	116.211666097	116.398912001	50.507	150.079	LH1079304611.WAV	0.1872	1.2117	86.133	33	2	2	2	
48	Spectrogram 1	1	132.289291892	132.451004263	47.621	145.749	LH1079305806.WAV	0.1617	2.2893	86.133	33	3	2	2	
49	Spectrogram 1	1	132.816984892	133.029764328	57.723	150.079	LH1079305806.WAV	0.2128	2.8170	103.359	33	3	2	2	
50	Spectrogram 1	1	142.221837966	142.392061514	59.166	152.965	LH1079306406.WAV	0.1702	2.2219	86.133	33	3	2	2	
51	Spectrogram 1	1	146.434872379	146.596584750	51.950	148.635	LH1079306411.WAV	0.1617	1.4349	86.133	33	2	2	2	
52	Spectrogram 1	1	147.515791911	147.651970750	46.178	138.534	LH1079306411.WAV	0.1362	2.5158	86.133	33	2	2	2	
53	Spectrogram 1	1	148.494577315	148.673312040	62.052	148.635	LH1079306411.WAV	0.1787	3.4946	86.133	33	3	2	2	
54	Spectrogram 1	1	199.544645440	199.731891343	50.507	193.370	LH1079309411.WAV	0.1872	4.5447	103.359	33	1	2	2	
55	Spectrogram 1	1	228.891203186	229.095471444	43.292	152.965	LH1079311211.WAV	0.2043	3.8912	86.133	33	1	2	2	
56	Spectrogram 1	1	229.333784412	229.504007960	36.077	163.066	LH1079311211.WAV	0.1702	4.3338	86.133	33	1	2	2	
57	Spectrogram 1	1	229.742320928	229.887010944	43.292	131.319	LH1079311211.WAV	0.1447	4.7423	86.133	33	3	2	2	
58	Spectrogram 1	1	294.112379309	294.265580502	53.393	152.965	LH1079315406.WAV	0.1532	4.1124	86.133	33	3	2	2	
59	Spectrogram 1	1	294.546449357	294.699650551	53.393	145.749	LH1079315406.WAV	0.1532	4.5465	86.133	33	3	2	2	
60	Spectrogram 1	1	331.374324461	331.544548009	50.507	158.737	LH1079317806.WAV	0.1702	1.3744	86.133	33	2	2	2	
61	Spectrogram 1	1	339.732302385	339.902525934	47.621	202.029	LH1079317811.WAV	0.1702	4.7323	103.359	33	1	2	2	
62	Spectrogram 1	1	352.218206657	352.388430206	49.064	165.952	LH1079319006.WAV	0.1702	2.2183	86.133	33	2	2	2	
63	Spectrogram 1	1	353.282103835	353.443816206	59.166	163.066	LH1079319006.WAV	0.1617	3.2821	103.359	33	3	2	2	
64	Spectrogram 1	1	353.835330367	354.048109803	54.836	199.143	LH1079319006.WAV	0.2128	3.8354	103.359	33	1	2	2	
65	Spectrogram 1	1	363.367855114	363.572123372	63.495	148.635	LH1079319606.WAV	0.2043	3.3678	103.359	33	3	2	2	
66	Spectrogram 1	1	363.870014581	364.057260485	50.507	168.838	LH1079319606.WAV	0.1872	3.8701	86.133	33	3	2	2	
67	Spectrogram 1	1	364.431752291	364.593464662	50.507	147.192	LH1079319606.WAV	0.1617	4.4317	86.133	33	2	2	2	
68	Spectrogram 1	1	365.189247082	365.393515340	50.507	152.965	LH1079319611.WAV	0.2043	0.1892	103.359	33	2	2	2	
69	Spectrogram 1	1	365.648850663	365.853118921	46.178	152.965	LH1079319611.WAV	0.2043	0.6489	86.133	33	2	2	2	
70	Spectrogram 1	1	367.700047385	367.853248579	73.596	152.965	LH1079319611.WAV	0.1532	2.7000	120.586	33	3	2	2	
71	Spectrogram 1	1	368.270296272	368.466053353	50.507	160.180	LH1079319611.WAV	0.1958	3.2703	86.133	33	2	2	2	
72	Spectrogram 1	1	368.815011627	368.934168111	57.723	135.648	LH1079319611.WAV	0.1192	3.8150	86.133	33	3	2	2	
73	Spectrogram 1	1	369.291637563	369.393771692	51.950	134.205	LH1079319611.WAV	0.1021	4.2916	86.133	33	3	2	2	
74	Spectrogram 1	1	372.006706019	372.125862503	64.938	141.420	LH1079320206.WAV	0.1192	2.0067	103.359	33	3	2	2	
75	Spectrogram 1	1	383.896828923	384.067052471	51.950	161.623	LH1079320806.WAV	0.1702	3.8968	86.133	33	2	2	2	
76	Spectrogram 1	1	384.381966036	384.552189584	46.178	145.749	LH1079320806.WAV	0.1702	4.3820	86.133	33	2	2	2	
77	Spectrogram 1	1	388.824800650	388.978001843	53.393	139.977	LH1079320811.WAV	0.1532	3.8248	86.133	33	2	2	2	
78	Spectrogram 1	1	393.403819290	393.591065193	57.723	137.091	LH1079321406.WAV	0.1872	3.4039	103.359	33	3	2	2	
79	Spectrogram 1	1	393.769799919	393.974068177	51.950	210.687	LH1079321406.WAV	0.2043	3.7698	103.359	33	1	2	2	
80	Spectrogram 1	1	405.004559408	405.166271779	51.950	155.851	LH1079322011.WAV	0.1617	0.0045	103.359	33	2	2	2	
81	Spectrogram 1	1	436.708716687	436.827873171	63.495	137.091	LH1079323811.WAV	0.1192	1.7087	103.359	33	3	2	2	
82	Spectrogram 1	1	477.996463554	478.141153570	49.064	147.192	LH1079326211.WAV	0.1447	2.9965	86.133	33	3	2	2	
83	Spectrogram 1	1	478.524156554	478.668846570	38.963	134.205	LH1079326211.WAV	0.1447	3.5241	86.133	33	3	2	2	
84	Spectrogram 1	1	492.295250514	492.439940530	53.393	155.851	LH1079327406.WAV	0.1447	2.2952	86.133	33	2	2	2	
85	Spectrogram 1	1	504.687532885	504.849245256	36.077	147.192	LH1079328006.WAV	0.1617	4.6875	86.133	33	2	2	2	
86	Spectrogram 1	1	506.313167773	506.398279547	49.064	147.192	LH1079328011.WAV	0.0851	1.3132	86.133	33	3	2	2	
87	Spectrogram 1	1	506.900439015	507.053640208	49.064	150.079	LH1079328011.WAV	0.1532	1.9005	86.133	33	3	2	2	
88	Spectrogram 1	1	511.913525168	512.032681652	47.621	142.863	LH1079328606.WAV	0.1192	1.9135	86.133	33	2	2	2	
89	Spectrogram 1	1	512.449729346	512.577397007	41.849	148.635	LH1079328606.WAV	0.1277	2.4498	86.133	33	3	2	2	
90	Spectrogram 1	1	513.096578830	513.181690604	34.634	171.724	LH1079328606.WAV	0.0851	3.0966	86.133	33	2	2	2	
91	Spectrogram 1	1	514.024297169	514.194520717	43.292	152.965	LH1079328606.WAV	0.1702	4.0243	86.133	33	3	2	2	
92	Spectrogram 1	1	523.582352703	523.795132139	41.849	168.838	LH1079329206.WAV	0.2128	3.5823	86.133	33	2	2	2	
93	Spectrogram 1	1	524.433470446	524.595182817	27.418	167.395	LH1079329206.WAV	0.1617	4.4334	86.133	33	2	2	2	
94	Spectrogram 1	1	525.556945865	525.676102349	49.064	147.192	LH1079329211.WAV	0.1192	0.5569	86.133	33	3	2	2	
95	Spectrogram 1	1	526.612331865	526.757021882	40.406	142.863	LH1079329211.WAV	0.1447	1.6124	86.133	33	3	2	2	
96	Spectrogram 1	1	529.301863931	529.514643366	36.077	174.611	LH1079329211.WAV	0.2128	4.3018	86.133	33	2	2	2	
97	Spectrogram 1	1	564.708377273	564.904134354	40.406	158.737	LH1079331606.WAV	0.1958	4.7084	86.133	33	2	2	2	
98	Spectrogram 1	1	582.003095943	582.164808314	53.393	142.863	LH1079332806.WAV	0.1617	2.0031	86.133	33	2	2	2	
99	Spectrogram 1	1	586.794888832	586.965112380	51.950	158.737	LH1079332811.WAV	0.1702	1.7949	103.359	33	2	2	2	
100	Spectrogram 1	1	587.271514767	587.399182429	63.495	158.737	LH1079332811.WAV	0.1277	2.2715	120.586	33	3	2	2	
101	Spectrogram 1	1	626.576149064	626.763394967	37.520	167.395	LH1079335211.WAV	0.1872	1.5762	86.133	33	2	2	2	
102	Spectrogram 1	1	626.848506741	626.950640870	43.292	147.192	LH1079335211.WAV	0.1021	1.8485	86.133	33	2	2	2	
103	Spectrogram 1	1	629.367815258	629.555061161	31.747	155.851	LH1079335211.WAV	0.1872	4.3678	86.133	33	2	2	2	
104	Spectrogram 1	1	629.597617049	629.776351774	36.077	158.737	LH1079335211.WAV	0.1787	4.5976	86.133	33	2	2	2	
105	Spectrogram 1	1	633.019110372	633.197845098	46.178	174.611	LH1079335806.WAV	0.1787	3.0192	120.586	33	2	2	2	
106	Spectrogram 1	1	633.299979227	633.427646888	34.634	165.952	LH1079335806.WAV	0.1277	3.3000	86.133	33	2	2	2	
107	Spectrogram 1	1	652.186290304	652.305446788	59.166	141.420	LH1079337006.WAV	0.1192	2.1863	86.133	33	3	2	2	
108	Spectrogram 1	1	652.441625627	652.569293288	51.950	151.522	LH1079337006.WAV	0.1277	2.4416	86.133	33	3	2	2	
109	Spectrogram 1	1	652.705472127	652.841650965	56.279	141.420	LH1079337006.WAV	0.1362	2.7054	103.359	33	2	2	2	
110	Spectrogram 1	1	652.952296272	653.079963933	63.495	144.306	LH1079337006.WAV	0.1277	2.9523	103.359	33	2	2	2	
111	Spectrogram 1	1	653.182098062	653.318276901	54.836	150.079	LH1079337006.WAV	0.1362	3.1821	103.359	33	2	2	2	
112	Spectrogram 1	1	653.352321611	653.445944562	53.393	147.192	LH1079337006.WAV	0.0936	3.3523	103.359	33	3	2	2	
113	Spectrogram 1	1	653.794902837	653.939592853	64.938	154.408	LH1079337006.WAV	0.1447	3.7949	103.359	33	2	2	2	
114	Spectrogram 1	1	654.143861111	654.288551127	60.609	152.965	LH1079337006.WAV	0.1447	4.1439	103.359	33	2	2	2	
115	Spectrogram 1	1	654.688576466	654.850288837	60.609	154.408	LH1079337006.WAV	0.1617	4.6885	120.586	33	2	2	2	
116	Spectrogram 1	1	655.360959482	655.463093611	64.938	160.180	LH1079337011.WAV	0.1021	0.3610	103.359	33	2	2	2	
117	Spectrogram 1	1	656.850415531	656.969572015	64.938	160.180	LH1079337011.WAV	0.1192	1.8505	103.359	33	3	2	2	
118	Spectrogram 1	1	657.173840273	657.301507934	75.039	148.635	LH1079337011.WAV	0.1277	2.1738	120.586	33	3	2	2	
119	Spectrogram 1	1	657.599399144	657.701533273	66.381	165.952	LH1079337011.WAV	0.1021	2.5994	103.359	33	2	2	2	
120	Spectrogram 1	1	657.820689757	657.982402128	67.824	155.851	LH1079337011.WAV	0.1617	2.8206	103.359	33	2	2	2	
121	Spectrogram 1	1	658.271782160	658.407960999	63.495	157.294	LH1079337011.WAV	0.1362	3.2718	103.359	33	2	2	2	
122	Spectrogram 1	1	658.467539241	658.646273967	34.634	152.965	LH1079337011.WAV	0.1787	3.4676	86.133	33	2	2	2	
123	Spectrogram 1	1	658.807986338	658.927142822	56.279	147.192	LH1079337011.WAV	0.1192	3.8079	103.359	33	3	2	2	
124	Spectrogram 1	1	659.012254596	659.208011677	40.406	189.041	LH1079337011.WAV	0.1958	4.0122	103.359	33	1	2	2	
125	Spectrogram 1	1	659.250567564	659.437813467	41.849	173.168	LH1079337011.WAV	0.1872	4.2506	103.359	33	1	2	2	
126	Spectrogram 1	1	660.408089182	660.637890972	49.064	183.269	LH1079337606.WAV	0.2298	0.4080	103.359	33	2	2	2	
127	Spectrogram 1	1	660.663424504	660.876203940	51.950	155.851	LH1079337606.WAV	0.2128	0.6634	103.359	33	2	2	2	
128	Spectrogram 1	1	660.978338069	661.148561617	63.495	150.079	LH1079337606.WAV	0.1702	0.9783	103.359	33	2	2	2	
129	Spectrogram 1	1	661.259206924	661.361341053	56.279	141.420	LH1079337606.WAV	0.1021	1.2592	103.359	33	3	2	2	
130	Spectrogram 1	1	661.531564601	661.727321682	47.621	165.952	LH1079337606.WAV	0.1958	1.5315	103.359	33	2	2	2	
131	Spectrogram 1	1	661.837966988	662.008190537	53.393	165.952	LH1079337606.WAV	0.1702	1.8380	103.359	33	1	2	2	
132	Spectrogram 1	1	662.169902908	662.306081747	51.950	158.737	LH1079337606.WAV	0.1362	2.1700	103.359	33	1	2	2	
133	Spectrogram 1	1	662.348637634	662.442260585	56.279	126.990	LH1079337606.WAV	0.0936	2.3486	103.359	33	3	2	2	
134	Spectrogram 1	1	662.569928247	662.663551198	46.178	147.192	LH1079337606.WAV	0.0936	2.5700	103.359	33	2	2	2	
135	Spectrogram 1	1	662.680573553	662.791218860	43.292	147.192	LH1079337606.WAV	0.1106	2.6806	103.359	33	2	2	2	
136	Spectrogram 1	1	663.046554182	663.174221844	60.609	152.965	LH1079337606.WAV	0.1277	3.0466	103.359	33	1	2	2	
137	Spectrogram 1	1	663.710426021	663.855116037	63.495	151.522	LH1079337606.WAV	0.1447	3.7104	120.586	33	3	2	2	
138	Spectrogram 1	1	664.229607844	664.374297860	60.609	147.192	LH1079337606.WAV	0.1447	4.2296	103.359	33	3	2	2	
139	Spectrogram 1	1	664.595588473	664.714744957	60.609	142.863	LH1079337606.WAV	0.1192	4.5956	103.359	33	3	2	2	
140	Spectrogram 1	1	665.259460312	665.480750925	50.507	176.054	LH1079337611.WAV	0.2213	0.2594	103.359	33	1	2	2	
141	Spectrogram 1	1	665.633952118	665.761619780	59.166	157.294	LH1079337611.WAV	0.1277	0.6339	120.586	33	1	2	2	
142	Spectrogram 1	1	665.855242731	665.991421570	47.621	154.408	LH1079337611.WAV	0.1362	0.8552	103.359	33	1	2	2	
143	Spectrogram 1	1	666.382935731	666.536136925	50.507	161.623	LH1079337611.WAV	0.1532	1.3829	120.586	33	1	2	2	
144	Spectrogram 1	1	666.561670457	666.629759877	47.621	150.079	LH1079337611.WAV	0.0681	1.5617	103.359	33	1	2	2	
145	Spectrogram 1	1	666.655293409	666.782961070	50.507	147.192	LH1079337611.WAV	0.1277	1.6553	103.359	33	1	2	2	
146	Spectrogram 1	1	666.902117554	667.072341103	38.963	158.737	LH1079337611.WAV	0.1702	1.9022	86.133	33	2	2	2	
147	Spectrogram 1	1	667.097875167	667.182986941	56.279	141.420	LH1079337611.WAV	0.0851	2.0978	103.359	33	3	2	2	
148	Spectrogram 1	1	667.787280538	667.923459377	54.836	148.635	LH1079337611.WAV	0.1362	2.7873	103.359	33	3	2	2	
