Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	Peak Freq (Hz)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	1.446900162	1.591590178	50.507	152.965	LH1079378406.WAV	0.1447	1.4469	86.133	33	2	2	2	
2	Spectrogram 1	1	1.889481388	2.008637871	49.064	147.192	LH1079378406.WAV	0.1192	1.8895	86.133	33	2	2	2	
3	Spectrogram 1	1	2.434196743	2.655487356	47.621	152.965	LH1079378406.WAV	0.2213	2.4342	86.133	33	1	2	2	
4	Spectrogram 1	1	2.817199727	2.919333856	50.507	144.306	LH1079378406.WAV	0.1021	2.8172	103.359	33	2	2	2	
5	Spectrogram 1	1	3.464049211	3.574694517	62.052	154.408	LH1079378406.WAV	0.1106	3.4641	120.586	33	2	2	2	
6	Spectrogram 1	1	3.778962775	3.932163969	51.950	165.952	LH1079378406.WAV	0.1532	3.7789	86.133	33	2	2	2	
7	Spectrogram 1	1	4.757748179	4.893927017	40.406	194.813	LH1079378406.WAV	0.1362	4.7577	86.133	33	1	2	2	
8	Spectrogram 1	1	5.379064130	5.498220614	50.507	154.408	LH1079378411.WAV	0.1192	0.3790	86.133	33	2	2	2	
9	Spectrogram 1	1	5.736533582	5.872712421	51.950	152.965	LH1079378411.WAV	0.1362	0.7365	103.359	33	2	2	2	
10	Spectrogram 1	1	6.187625985	6.332316002	33.190	164.509	LH1079378411.WAV	0.1447	1.1876	86.133	33	1	2	2	
11	Spectrogram 1	1	7.030232550	7.166411389	49.064	196.257	LH1079378411.WAV	0.1362	2.0303	103.359	33	1	2	2	
12	Spectrogram 1	1	7.949439712	8.094129728	53.393	148.635	LH1079378411.WAV	0.1447	2.9494	103.359	33	1	2	2	
13	Spectrogram 1	1	9.209093970	9.336761631	51.950	147.192	LH1079378411.WAV	0.1277	4.2091	86.133	33	3	2	2	
14	Spectrogram 1	1	11.090066515	11.234756531	53.393	150.079	LH1079379006.WAV	0.1447	1.0900	103.359	33	2	2	2	
15	Spectrogram 1	1	11.992251322	12.102896628	54.836	152.965	LH1079379006.WAV	0.1106	1.9923	103.359	33	3	2	2	
16	Spectrogram 1	1	12.707190225	12.817835531	51.950	147.192	LH1079379006.WAV	0.1106	2.7071	86.133	33	2	2	2	
17	Spectrogram 1	1	13.626397386	13.711509161	50.507	151.522	LH1079379006.WAV	0.0851	3.6264	86.133	33	2	2	2	
18	Spectrogram 1	1	14.715828096	14.869029290	38.963	154.408	LH1079379006.WAV	0.1532	4.7159	86.133	33	2	2	2	
19	Spectrogram 1	1	16.077617334	16.188262641	66.381	145.749	LH1079379011.WAV	0.1106	1.0777	103.359	33	2	2	2	
20	Spectrogram 1	1	16.758511528	16.903201544	57.723	160.180	LH1079379011.WAV	0.1447	1.7585	103.359	33	2	2	2	
21	Spectrogram 1	1	17.090447447	17.209603931	47.621	173.168	LH1079379011.WAV	0.1192	2.0905	103.359	33	2	2	2	
22	Spectrogram 1	1	18.494791722	18.630970561	59.166	145.749	LH1079379011.WAV	0.1362	3.4948	103.359	33	2	2	2	
23	Spectrogram 1	1	21.363061375	21.482217859	51.950	144.306	LH1079379606.WAV	0.1192	1.3630	86.133	33	2	2	2	
24	Spectrogram 1	1	22.060977923	22.231201472	54.836	147.192	LH1079379606.WAV	0.1702	2.0610	86.133	33	2	2	2	
25	Spectrogram 1	1	23.175942166	23.252542762	46.178	155.851	LH1079379606.WAV	0.0766	3.1760	86.133	33	2	2	2	
26	Spectrogram 1	1	25.644184573	25.737807525	59.166	152.965	LH1079379611.WAV	0.0936	0.6442	103.359	33	3	2	2	
27	Spectrogram 1	1	28.265627219	28.393294881	51.950	148.635	LH1079379611.WAV	0.1277	3.2656	86.133	33	2	2	2	
28	Spectrogram 1	1	28.767786687	28.835876107	56.279	142.863	LH1079379611.WAV	0.0681	3.7678	103.359	33	3	2	2	
29	Spectrogram 1	1	29.218879091	29.355057929	49.064	154.408	LH1079379611.WAV	0.1362	4.2189	86.133	33	2	2	2	
30	Spectrogram 1	1	32.478662799	32.572285751	49.064	144.306	LH1079380206.WAV	0.0936	2.4787	86.133	33	2	2	2	
31	Spectrogram 1	1	33.414892315	33.619160573	51.950	144.306	LH1079380206.WAV	0.2043	3.4149	86.133	33	2	2	2	
32	Spectrogram 1	1	34.112808864	34.206431815	53.393	141.420	LH1079380206.WAV	0.0936	4.1128	86.133	33	2	2	2	
33	Spectrogram 1	1	36.649139735	36.819363284	49.064	148.635	LH1079380211.WAV	0.1702	1.6491	86.133	33	1	2	2	
34	Spectrogram 1	1	36.955542123	37.125765671	51.950	147.192	LH1079380211.WAV	0.1702	1.9556	86.133	33	1	2	2	
35	Spectrogram 1	1	37.440679236	37.551324542	53.393	152.965	LH1079380211.WAV	0.1106	2.4407	86.133	33	1	2	2	
36	Spectrogram 1	1	38.887581942	39.032271958	49.064	141.420	LH1079380211.WAV	0.1447	3.8875	86.133	33	2	2	2	
37	Spectrogram 1	1	40.521728007	40.743018620	47.621	158.737	LH1079380806.WAV	0.2213	0.5218	103.359	33	1	2	2	
38	Spectrogram 1	1	40.836641572	40.998353943	57.723	154.408	LH1079380806.WAV	0.1617	0.8366	120.586	33	2	2	2	
39	Spectrogram 1	1	41.509024588	41.619669895	56.279	148.635	LH1079380806.WAV	0.1106	1.5091	103.359	33	2	2	2	
40	Spectrogram 1	1	41.747337556	41.840960507	64.938	137.091	LH1079380806.WAV	0.0936	1.7474	103.359	33	2	2	2	
41	Spectrogram 1	1	42.087784653	42.215452314	59.166	142.863	LH1079380806.WAV	0.1277	2.0878	103.359	33	2	2	2	
42	Spectrogram 1	1	42.343119975	42.564410588	56.279	163.066	LH1079380806.WAV	0.2213	2.3431	103.359	33	1	2	2	
43	Spectrogram 1	1	42.632500008	42.794212379	57.723	161.623	LH1079380806.WAV	0.1617	2.6325	103.359	33	2	2	2	
44	Spectrogram 1	1	42.972947105	43.075081234	59.166	152.965	LH1079380806.WAV	0.1021	2.9729	103.359	33	2	2	2	
45	Spectrogram 1	1	43.364461266	43.466595395	64.938	151.522	LH1079380806.WAV	0.1021	3.3645	120.586	33	3	2	2	
46	Spectrogram 1	1	43.653841298	43.755975427	62.052	145.749	LH1079380806.WAV	0.1021	3.6539	103.359	33	2	2	2	
47	Spectrogram 1	1	44.011310750	44.190045476	50.507	165.952	LH1079380806.WAV	0.1787	4.0113	103.359	33	1	2	2	
48	Spectrogram 1	1	44.530492573	44.641137879	76.482	154.408	LH1079380806.WAV	0.1106	4.5305	120.586	33	2	2	2	
49	Spectrogram 1	1	46.649777450	46.743400402	54.836	134.205	LH1079380811.WAV	0.0936	1.6498	86.133	33	2	2	2	
50	Spectrogram 1	1	47.262582224	47.432805773	62.052	191.927	LH1079380811.WAV	0.1702	2.2626	103.359	33	2	2	2	
51	Spectrogram 1	1	47.645585208	47.722185805	53.393	148.635	LH1079380811.WAV	0.0766	2.6456	103.359	33	3	2	2	
52	Spectrogram 1	1	47.909431709	48.037099370	63.495	147.192	LH1079380811.WAV	0.1277	2.9094	103.359	33	2	2	2	
53	Spectrogram 1	1	48.530747660	48.692460031	69.267	147.192	LH1079380811.WAV	0.1617	3.5307	120.586	33	2	2	2	
54	Spectrogram 1	1	49.186108322	49.330798338	72.153	141.420	LH1079380811.WAV	0.1447	4.1861	103.359	33	3	2	2	
55	Spectrogram 1	1	49.594644838	49.722312499	63.495	147.192	LH1079380811.WAV	0.1277	4.5947	120.586	33	2	2	2	
56	Spectrogram 1	1	54.616243433	54.743911095	56.279	147.192	LH1079381406.WAV	0.1277	4.6162	103.359	33	2	2	2	
57	Spectrogram 1	1	56.326990095	56.429124224	53.393	147.192	LH1079381411.WAV	0.1021	1.3270	86.133	33	2	2	2	
58	Spectrogram 1	1	57.297264321	57.467487870	54.836	144.306	LH1079381411.WAV	0.1702	2.2973	86.133	33	2	2	2	
59	Spectrogram 1	1	58.190937951	58.318605612	56.279	147.192	LH1079381411.WAV	0.1277	3.1909	86.133	33	2	2	2	
60	Spectrogram 1	1	58.429250918	58.522873870	69.267	145.749	LH1079381411.WAV	0.0936	3.4293	103.359	33	2	2	2	
61	Spectrogram 1	1	58.718630951	58.829276257	51.950	141.420	LH1079381411.WAV	0.1106	3.7186	103.359	33	2	2	2	
62	Spectrogram 1	1	59.033544515	59.135678644	62.052	139.977	LH1079381411.WAV	0.1021	4.0336	103.359	33	2	2	2	
63	Spectrogram 1	1	60.386827019	60.488961148	57.723	142.863	LH1079382006.WAV	0.1021	0.3868	86.133	33	2	2	2	
64	Spectrogram 1	1	60.659184697	60.769830003	72.153	164.509	LH1079382006.WAV	0.1106	0.6592	103.359	33	2	2	2	
65	Spectrogram 1	1	62.386953713	62.514621374	60.609	151.522	LH1079382006.WAV	0.1277	2.3870	86.133	33	2	2	2	
66	Spectrogram 1	1	64.659438085	64.736038681	63.495	141.420	LH1079382006.WAV	0.0766	4.6594	86.133	33	3	2	2	
67	Spectrogram 1	1	67.229813666	67.331947795	49.064	145.749	LH1079382011.WAV	0.1021	2.2298	86.133	33	2	2	2	
68	Spectrogram 1	1	67.612816650	67.723461956	51.950	151.522	LH1079382011.WAV	0.1106	2.6128	86.133	33	2	2	2	
69	Spectrogram 1	1	70.549177944	70.685356782	54.836	147.192	LH1079382606.WAV	0.1362	0.5492	86.133	33	2	2	2	
70	Spectrogram 1	1	71.476896283	71.621586299	69.267	152.965	LH1079382606.WAV	0.1447	1.4769	103.359	33	2	2	2	
71	Spectrogram 1	1	74.038760687	74.149405993	60.609	141.420	LH1079382606.WAV	0.1106	4.0388	86.133	33	2	2	2	
72	Spectrogram 1	1	75.792064931	75.911221415	67.824	142.863	LH1079382611.WAV	0.1192	0.7921	103.359	33	2	2	2	
73	Spectrogram 1	1	76.855962109	76.975118593	60.609	144.306	LH1079382611.WAV	0.1192	1.8560	86.133	33	3	2	2	
74	Spectrogram 1	1	77.562389835	77.690057496	59.166	173.168	LH1079382611.WAV	0.1277	2.5624	103.359	33	2	2	2	
75	Spectrogram 1	1	78.030504593	78.141149900	57.723	147.192	LH1079382611.WAV	0.1106	3.0305	86.133	33	2	2	2	
76	Spectrogram 1	1	79.792319274	79.877431048	51.950	147.192	LH1079382611.WAV	0.0851	4.7923	103.359	33	2	2	2	
77	Spectrogram 1	1	82.490362516	82.618030178	57.723	152.965	LH1079383206.WAV	0.1277	2.4904	103.359	33	2	2	2	
78	Spectrogram 1	1	85.673544993	85.818235009	50.507	138.534	LH1079383211.WAV	0.1447	0.6736	86.133	33	3	2	2	
79	Spectrogram 1	1	86.167193283	86.320394477	43.292	181.826	LH1079383211.WAV	0.1532	1.1672	86.133	33	1	2	2	
80	Spectrogram 1	1	87.639628460	87.741762589	67.824	152.965	LH1079383211.WAV	0.1021	2.6397	103.359	33	2	2	2	
81	Spectrogram 1	1	88.226899702	88.354567363	64.938	137.091	LH1079383211.WAV	0.1277	3.2269	103.359	33	2	2	2	
82	Spectrogram 1	1	89.435486896	89.563154557	57.723	154.408	LH1079383211.WAV	0.1277	4.4355	103.359	33	2	2	2	
83	Spectrogram 1	1	97.121084872	97.231730179	50.507	147.192	LH1079383811.WAV	0.1106	2.1211	103.359	33	2	2	2	
84	Spectrogram 1	1	100.312776406	100.431932889	56.279	157.294	LH1079384406.WAV	0.1192	0.3128	120.586	33	2	2	2	
85	Spectrogram 1	1	103.351271297	103.478938958	54.836	145.749	LH1079384406.WAV	0.1277	3.3512	86.133	33	2	2	2	
86	Spectrogram 1	1	105.972713943	106.125915136	63.495	158.737	LH1079384411.WAV	0.1532	0.9727	103.359	33	2	2	2	
87	Spectrogram 1	1	108.202644227	108.347334243	60.609	157.294	LH1079384411.WAV	0.1447	3.2026	86.133	33	2	2	2	
88	Spectrogram 1	1	113.462557061	113.607247077	63.495	158.737	LH1079385006.WAV	0.1447	3.4626	120.586	33	2	2	2	
89	Spectrogram 1	1	117.037251578	117.139385707	75.039	152.965	LH1079385011.WAV	0.1021	2.0373	103.359	33	2	2	2	
90	Spectrogram 1	1	124.739873284	124.867540945	69.267	151.522	LH1079385606.WAV	0.1277	4.7399	103.359	33	3	2	2	
91	Spectrogram 1	1	125.437789833	125.522901607	66.381	151.522	LH1079385611.WAV	0.0851	0.4378	103.359	33	3	2	2	
92	Spectrogram 1	1	125.948460478	126.084639317	59.166	158.737	LH1079385611.WAV	0.1362	0.9484	103.359	33	2	2	2	
93	Spectrogram 1	1	126.893201172	127.003846478	54.836	142.863	LH1079385611.WAV	0.1106	1.8932	86.133	33	2	2	2	
94	Spectrogram 1	1	127.020868833	127.148536494	69.267	147.192	LH1079385611.WAV	0.1277	2.0209	103.359	33	3	2	2	
95	Spectrogram 1	1	134.561776266	134.663910395	56.279	137.091	LH1079386206.WAV	0.1021	4.5618	103.359	33	2	2	2	
