Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	Peak Freq (Hz)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	2.442707920	2.510797339	72.153	142.863	LH1079418606.WAV	0.0681	2.4427	103.359	33	3	2	2	
2	Spectrogram 1	1	17.643675144	17.771342806	62.052	154.408	LH1079419211.WAV	0.1277	2.6437	120.586	33	2	2	2	
3	Spectrogram 1	1	40.334482105	40.445127411	57.723	155.851	LH1079421006.WAV	0.1106	0.3345	103.359	33	2	2	2	
4	Spectrogram 1	1	65.970162372	66.063785323	59.166	141.420	LH1079422211.WAV	0.0936	0.9702	103.359	33	3	2	2	
5	Spectrogram 1	1	85.435233189	85.545878496	66.381	145.749	LH1079423411.WAV	0.1106	0.4353	103.359	33	2	2	2	
6	Spectrogram 1	1	85.758657931	85.894836770	44.735	164.509	LH1079423411.WAV	0.1362	0.7586	103.359	33	2	2	2	
7	Spectrogram 1	1	104.040675610	104.142809739	62.052	147.192	LH1079424606.WAV	0.1021	4.0407	103.359	33	3	2	2	
8	Spectrogram 1	1	141.583498598	141.702655082	62.052	144.306	LH1079427006.WAV	0.1192	1.5834	103.359	33	2	2	2	
9	Spectrogram 1	1	241.240929564	241.309018983	56.279	148.635	LH1079433006.WAV	0.0681	1.2409	103.359	33	2	2	2	
10	Spectrogram 1	1	265.991442623	266.059532043	62.052	150.079	LH1079434211.WAV	0.0681	0.9915	103.359	33	2	2	2	
11	Spectrogram 1	1	266.348912075	266.519135624	56.279	167.395	LH1079434211.WAV	0.1702	1.3489	103.359	33	2	2	2	
12	Spectrogram 1	1	267.872412834	267.940502253	56.279	141.420	LH1079434211.WAV	0.0681	2.8724	103.359	33	2	2	2	
13	Spectrogram 1	1	270.425767232	270.527901361	67.824	141.420	LH1079434806.WAV	0.1021	0.4257	103.359	33	2	2	2	
14	Spectrogram 1	1	270.621524312	270.757703151	73.596	147.192	LH1079434806.WAV	0.1362	0.6215	103.359	33	2	2	2	
15	Spectrogram 1	1	287.575793558	287.686438864	56.279	148.635	LH1079435411.WAV	0.1106	2.5757	103.359	33	2	2	2	
16	Spectrogram 1	1	291.499447835	291.644137851	57.723	157.294	LH1079436006.WAV	0.1447	1.4994	103.359	33	2	2	2	
17	Spectrogram 1	1	298.155189642	298.248812593	62.052	150.079	LH1079436011.WAV	0.0936	3.1552	103.359	33	2	2	2	
18	Spectrogram 1	1	311.790102017	311.909258501	62.052	145.749	LH1079437206.WAV	0.1192	1.7901	103.359	33	2	2	2	
19	Spectrogram 1	1	312.819954485	312.947622146	49.064	139.977	LH1079437206.WAV	0.1277	2.8200	86.133	33	2	2	2	
20	Spectrogram 1	1	319.475697350	319.569320301	50.507	145.749	LH1079437211.WAV	0.0936	4.4757	86.133	33	2	2	2	
21	Spectrogram 1	1	322.633344173	322.726967125	59.166	152.965	LH1079437806.WAV	0.0936	2.6333	120.586	33	2	2	2	
22	Spectrogram 1	1	322.769523012	322.829101254	50.507	141.420	LH1079437806.WAV	0.0596	2.7695	103.359	33	3	2	2	
23	Spectrogram 1	1	343.749582152	343.851716281	44.735	129.876	LH1079439006.WAV	0.1021	3.7495	86.133	33	2	2	2	
24	Spectrogram 1	1	348.626486814	348.796710363	51.950	167.395	LH1079439011.WAV	0.1702	3.6265	103.359	33	2	2	2	
25	Spectrogram 1	1	349.069068040	349.162690992	51.950	165.952	LH1079439011.WAV	0.0936	4.0690	103.359	33	2	2	2	
26	Spectrogram 1	1	360.601723715	360.737902554	54.836	147.192	LH1079440206.WAV	0.1362	0.6017	103.359	33	2	2	2	
27	Spectrogram 1	1	363.265722248	363.350834023	60.609	141.420	LH1079440206.WAV	0.0851	3.2658	103.359	33	2	2	2	
28	Spectrogram 1	1	363.708303474	363.767881716	69.267	141.420	LH1079440206.WAV	0.0596	3.7083	103.359	33	2	2	2	
29	Spectrogram 1	1	374.560063473	374.636664070	54.836	196.257	LH1079440806.WAV	0.0766	4.5601	103.359	33	1	2	2	
30	Spectrogram 1	1	373.760012796	373.828102215	59.166	141.420	LH1079440806.WAV	0.0681	3.7600	120.586	33	3	2	2	
31	Spectrogram 1	1	374.653686425	374.772842909	60.609	152.965	LH1079440806.WAV	0.1192	4.6537	103.359	33	1	2	2	
32	Spectrogram 1	1	377.360240845	377.590042635	43.292	157.294	LH1079440811.WAV	0.2298	2.3602	103.359	33	1	2	2	
33	Spectrogram 1	1	378.228380942	378.356048603	47.621	163.066	LH1079440811.WAV	0.1277	3.2283	103.359	33	1	2	2	
34	Spectrogram 1	1	378.543294506	378.730540410	62.052	197.700	LH1079440811.WAV	0.1872	3.5433	120.586	33	1	2	2	
35	Spectrogram 1	1	379.368878716	379.462501668	47.621	152.965	LH1079440811.WAV	0.0936	4.3689	86.133	33	2	2	2	
36	Spectrogram 1	1	382.100971750	382.186083524	66.381	158.737	LH1079441406.WAV	0.0851	2.1010	120.586	33	2	2	2	
37	Spectrogram 1	1	383.003156557	383.122313040	67.824	142.863	LH1079441406.WAV	0.1192	3.0032	86.133	33	2	2	2	
38	Spectrogram 1	1	383.547871912	383.675539573	64.938	158.737	LH1079441406.WAV	0.1277	3.5478	120.586	33	2	2	2	
