Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	calls overlap	call cutoff @ end	Notes
1	Waveform 1	1	0.000	239.644	0501.DSG_RAWD_HMS_17_50_ 0__DMY_16_ 6_16.wav	0.1604	5.9884	3	2	2	2	
1	Spectrogram 1	1	0.000	239.644	0501.DSG_RAWD_HMS_17_50_ 0__DMY_16_ 6_16.wav	0.1604	5.9884	3	2	2	2	
2	Waveform 1	1	0.000	191.404	0503.DSG_RAWD_HMS_18_ 0_ 0__DMY_16_ 6_16.wav	0.1925	2.6247	3	1	2	2	
2	Spectrogram 1	1	0.000	191.404	0503.DSG_RAWD_HMS_18_ 0_ 0__DMY_16_ 6_16.wav	0.1925	2.6247	3	1	2	2	
3	Waveform 1	1	31.123	166.506	0507.DSG_RAWD_HMS_18_20_ 0__DMY_16_ 6_16.wav	4.7907	0.0759	1	2	2	2	
3	Spectrogram 1	1	31.123	166.506	0507.DSG_RAWD_HMS_18_20_ 0__DMY_16_ 6_16.wav	4.7907	0.0759	1	2	2	2	
4	Waveform 1	1	0.000	192.960	0507.DSG_RAWD_HMS_18_20_ 0__DMY_16_ 6_16.wav	0.2780	5.0698	3	1	2	2	
4	Spectrogram 1	1	0.000	192.960	0507.DSG_RAWD_HMS_18_20_ 0__DMY_16_ 6_16.wav	0.2780	5.0698	3	1	2	2	
5	Waveform 1	1	26.454	183.624	0507.DSG_RAWD_HMS_18_20_ 0__DMY_16_ 6_16.wav	2.5023	6.4492	3	2	2	2	
5	Spectrogram 1	1	26.454	183.624	0507.DSG_RAWD_HMS_18_20_ 0__DMY_16_ 6_16.wav	2.5023	6.4492	3	2	2	2	
6	Waveform 1	1	26.454	135.384	0509.DSG_RAWD_HMS_18_30_ 0__DMY_16_ 6_16.wav	3.8604	1.6340	1	2	2	2	
6	Spectrogram 1	1	26.454	135.384	0509.DSG_RAWD_HMS_18_30_ 0__DMY_16_ 6_16.wav	3.8604	1.6340	1	2	2	2	
7	Waveform 1	1	7.781	188.292	0510.DSG_RAWD_HMS_18_35_ 0__DMY_16_ 6_16.wav	0.1176	2.7473	3	3	1	2	
7	Spectrogram 1	1	7.781	188.292	0510.DSG_RAWD_HMS_18_35_ 0__DMY_16_ 6_16.wav	0.1176	2.7473	3	3	1	2	
8	Waveform 1	1	38.903	183.624	0510.DSG_RAWD_HMS_18_35_ 0__DMY_16_ 6_16.wav	3.5503	2.1377	1	3	1	2	
8	Spectrogram 1	1	38.903	183.624	0510.DSG_RAWD_HMS_18_35_ 0__DMY_16_ 6_16.wav	3.5503	2.1377	1	3	1	2	
9	Waveform 1	1	20.230	196.073	0511.DSG_RAWD_HMS_18_40_ 0__DMY_16_ 6_16.wav	4.0208	3.8819	1	2	2	2	
9	Spectrogram 1	1	20.230	196.073	0511.DSG_RAWD_HMS_18_40_ 0__DMY_16_ 6_16.wav	4.0208	3.8819	1	2	2	2	
10	Waveform 1	1	37.347	157.169	0515.DSG_RAWD_HMS_19_ 0_ 0__DMY_16_ 6_16.wav	3.0583	0.0155	1	3	2	1	
10	Spectrogram 1	1	37.347	157.169	0515.DSG_RAWD_HMS_19_ 0_ 0__DMY_16_ 6_16.wav	3.0583	0.0155	1	3	2	1	
11	Waveform 1	1	17.117	211.634	0515.DSG_RAWD_HMS_19_ 0_ 0__DMY_16_ 6_16.wav	3.0263	4.1325	2	2	1	2	Partial of type 2?
11	Spectrogram 1	1	17.117	211.634	0515.DSG_RAWD_HMS_19_ 0_ 0__DMY_16_ 6_16.wav	3.0263	4.1325	2	2	1	2	Partial of type 2?
12	Waveform 1	1	35.791	132.271	0515.DSG_RAWD_HMS_19_ 0_ 0__DMY_16_ 6_16.wav	3.7534	6.8914	1	2	1	1	
12	Spectrogram 1	1	35.791	132.271	0515.DSG_RAWD_HMS_19_ 0_ 0__DMY_16_ 6_16.wav	3.7534	6.8914	1	2	1	1	
13	Waveform 1	1	32.679	222.527	0516.DSG_RAWD_HMS_19_ 5_ 0__DMY_16_ 6_16.wav	2.3312	6.7429	2	3	2	2	
13	Spectrogram 1	1	32.679	222.527	0516.DSG_RAWD_HMS_19_ 5_ 0__DMY_16_ 6_16.wav	2.3312	6.7429	2	3	2	2	
14	Waveform 1	1	42.016	253.650	0517.DSG_RAWD_HMS_19_10_ 0__DMY_16_ 6_16.wav	4.8442	0.9268	1	3	2	2	
14	Spectrogram 1	1	42.016	253.650	0517.DSG_RAWD_HMS_19_10_ 0__DMY_16_ 6_16.wav	4.8442	0.9268	1	3	2	2	
15	Waveform 1	1	32.679	211.634	0517.DSG_RAWD_HMS_19_10_ 0__DMY_16_ 6_16.wav	2.5985	8.1021	2	2	2	1	
15	Spectrogram 1	1	32.679	211.634	0517.DSG_RAWD_HMS_19_10_ 0__DMY_16_ 6_16.wav	2.5985	8.1021	2	2	2	1	
16	Waveform 1	1	32.679	163.394	0519.DSG_RAWD_HMS_19_20_ 0__DMY_16_ 6_16.wav	5.1971	3.0464	1	3	2	2	
16	Spectrogram 1	1	32.679	163.394	0519.DSG_RAWD_HMS_19_20_ 0__DMY_16_ 6_16.wav	5.1971	3.0464	1	3	2	2	
17	Waveform 1	1	42.016	144.720	0520.DSG_RAWD_HMS_19_25_ 0__DMY_16_ 6_16.wav	3.5503	0.0641	1	3	2	1	
17	Spectrogram 1	1	42.016	144.720	0520.DSG_RAWD_HMS_19_25_ 0__DMY_16_ 6_16.wav	3.5503	0.0641	1	3	2	1	
18	Waveform 1	1	35.791	248.981	0520.DSG_RAWD_HMS_19_25_ 0__DMY_16_ 6_16.wav	4.9832	5.6675	1	2	2	1	
18	Spectrogram 1	1	35.791	248.981	0520.DSG_RAWD_HMS_19_25_ 0__DMY_16_ 6_16.wav	4.9832	5.6675	1	2	2	1	
19	Waveform 1	1	34.235	143.164	0522.DSG_RAWD_HMS_19_35_ 0__DMY_16_ 6_16.wav	2.9835	1.9805	2	3	2	2	
19	Spectrogram 1	1	34.235	143.164	0522.DSG_RAWD_HMS_19_35_ 0__DMY_16_ 6_16.wav	2.9835	1.9805	2	3	2	2	
20	Waveform 1	1	7.781	245.869	0522.DSG_RAWD_HMS_19_35_ 0__DMY_16_ 6_16.wav	0.1925	6.9637	3	1	2	2	
20	Spectrogram 1	1	7.781	245.869	0522.DSG_RAWD_HMS_19_35_ 0__DMY_16_ 6_16.wav	0.1925	6.9637	3	1	2	2	
21	Waveform 1	1	35.791	157.169	0523.DSG_RAWD_HMS_19_40_ 0__DMY_16_ 6_16.wav	3.0690	0.0355	1	2	2	2	
21	Spectrogram 1	1	35.791	157.169	0523.DSG_RAWD_HMS_19_40_ 0__DMY_16_ 6_16.wav	3.0690	0.0355	1	2	2	2	
22	Waveform 1	1	29.567	163.394	0523.DSG_RAWD_HMS_19_40_ 0__DMY_16_ 6_16.wav	7.2823	3.3291	2	2	2	1	
22	Spectrogram 1	1	29.567	163.394	0523.DSG_RAWD_HMS_19_40_ 0__DMY_16_ 6_16.wav	7.2823	3.3291	2	2	2	1	
23	Waveform 1	1	15.561	281.660	0525.DSG_RAWD_HMS_19_50_ 0__DMY_16_ 6_16.wav	4.0208	4.4863	2	2	2	2	
23	Spectrogram 1	1	15.561	281.660	0525.DSG_RAWD_HMS_19_50_ 0__DMY_16_ 6_16.wav	4.0208	4.4863	2	2	2	2	
24	Waveform 1	1	20.230	217.859	0525.DSG_RAWD_HMS_19_50_ 0__DMY_16_ 6_16.wav	1.1763	9.4588	1	1	2	1	
24	Spectrogram 1	1	20.230	217.859	0525.DSG_RAWD_HMS_19_50_ 0__DMY_16_ 6_16.wav	1.1763	9.4588	1	1	2	1	
25	Waveform 1	1	32.679	182.068	0526.DSG_RAWD_HMS_19_55_ 0__DMY_16_ 6_16.wav	8.8863	1.7499					
25	Spectrogram 1	1	32.679	182.068	0526.DSG_RAWD_HMS_19_55_ 0__DMY_16_ 6_16.wav	8.8863	1.7499					
26	Waveform 1	1	23.342	191.404	0527.DSG_RAWD_HMS_20_ 0_ 0__DMY_16_ 6_16.wav	6.2450	0.0936	2	1	2	1	
26	Spectrogram 1	1	23.342	191.404	0527.DSG_RAWD_HMS_20_ 0_ 0__DMY_16_ 6_16.wav	6.2450	0.0936	2	1	2	1	
27	Waveform 1	1	26.454	192.960	0527.DSG_RAWD_HMS_20_ 0_ 0__DMY_16_ 6_16.wav	4.2026	6.4134	2	2	2	1	
27	Spectrogram 1	1	26.454	192.960	0527.DSG_RAWD_HMS_20_ 0_ 0__DMY_16_ 6_16.wav	4.2026	6.4134	2	2	2	1	
28	Waveform 1	1	40.459	234.976	0528.DSG_RAWD_HMS_20_ 5_ 0__DMY_16_ 6_16.wav	3.6251	0.7470	2	2	2	2	
28	Spectrogram 1	1	40.459	234.976	0528.DSG_RAWD_HMS_20_ 5_ 0__DMY_16_ 6_16.wav	3.6251	0.7470	2	2	2	2	
29	Waveform 1	1	34.235	182.068	0529.DSG_RAWD_HMS_20_10_ 0__DMY_16_ 6_16.wav	2.5130	10.6397	1	2	2	1	
29	Spectrogram 1	1	34.235	182.068	0529.DSG_RAWD_HMS_20_10_ 0__DMY_16_ 6_16.wav	2.5130	10.6397	1	2	2	1	
30	Waveform 1	1	0.000	200.741	0530.DSG_RAWD_HMS_20_15_ 0__DMY_16_ 6_16.wav	0.1497	7.9781	3	3	2	2	
30	Spectrogram 1	1	0.000	200.741	0530.DSG_RAWD_HMS_20_15_ 0__DMY_16_ 6_16.wav	0.1497	7.9781	3	3	2	2	
31	Waveform 1	1	40.459	186.736	0531.DSG_RAWD_HMS_20_20_ 0__DMY_16_ 6_16.wav	1.4543	3.6377	1	3	2	2	
31	Spectrogram 1	1	40.459	186.736	0531.DSG_RAWD_HMS_20_20_ 0__DMY_16_ 6_16.wav	1.4543	3.6377	1	3	2	2	
32	Waveform 1	1	46.684	208.522	0531.DSG_RAWD_HMS_20_20_ 0__DMY_16_ 6_16.wav	2.8017	5.1562	1	3	2	2	
32	Spectrogram 1	1	46.684	208.522	0531.DSG_RAWD_HMS_20_20_ 0__DMY_16_ 6_16.wav	2.8017	5.1562	1	3	2	2	
33	Waveform 1	1	29.567	164.950	0533.DSG_RAWD_HMS_20_30_ 0__DMY_16_ 6_16.wav	3.0583	2.0360	1	2	2	2	
33	Spectrogram 1	1	29.567	164.950	0533.DSG_RAWD_HMS_20_30_ 0__DMY_16_ 6_16.wav	3.0583	2.0360	1	2	2	2	
34	Waveform 1	1	29.567	138.496	0533.DSG_RAWD_HMS_20_30_ 0__DMY_16_ 6_16.wav	1.1870	8.0672	1	3	2	2	
34	Spectrogram 1	1	29.567	138.496	0533.DSG_RAWD_HMS_20_30_ 0__DMY_16_ 6_16.wav	1.1870	8.0672	1	3	2	2	
35	Waveform 1	1	0.000	213.190	0533.DSG_RAWD_HMS_20_30_ 0__DMY_16_ 6_16.wav	0.1497	9.8637	3	2	2	2	
35	Spectrogram 1	1	0.000	213.190	0533.DSG_RAWD_HMS_20_30_ 0__DMY_16_ 6_16.wav	0.1497	9.8637	3	2	2	2	
