Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes	false positive
1	Spectrogram 1	1	88.309627951	89.172337466	106.963	192.953	7259.DSG_RAWD_HMS_10_ 0_ 0__DMY_ 5_10_15.wav	0.8627	3.1128	1	1	2	2		1
2	Spectrogram 1	1	579.724743251	581.927266786	41.946	116.401	7305.DSG_RAWD_HMS_13_50_ 0__DMY_ 5_10_15.wav	2.2025	4.2367	1	2	2	2		2
3	Spectrogram 1	1	598.181363294	601.083204391	47.190	128.985	7307.DSG_RAWD_HMS_14_ 0_ 0__DMY_ 5_10_15.wav	2.9018	1.3942	1	2	2	2		2
4	Spectrogram 1	1	783.336083874	785.800034535	55.579	125.839	7324.DSG_RAWD_HMS_15_25_ 0__DMY_ 5_10_15.wav	2.4640	5.5057	1	2	2	2		1
5	Spectrogram 1	1	820.438968541	821.543498148	35.654	108.012	7328.DSG_RAWD_HMS_15_45_ 0__DMY_ 5_10_15.wav	1.1045	0.0102	1	2	1	2		2
6	Spectrogram 1	1	939.348557033	948.067151681	37.752	112.206	7339.DSG_RAWD_HMS_16_40_ 0__DMY_ 5_10_15.wav	8.7186	1.7742	1	2	2	2		2
7	Spectrogram 1	1	1065.408070754	1067.689022427	31.460	117.450	7351.DSG_RAWD_HMS_17_40_ 0__DMY_ 5_10_15.wav	2.2810	0.0385	1	2	2	2		2
8	Spectrogram 1	1	1283.044569181	1287.809078550	39.849	127.936	7371.DSG_RAWD_HMS_19_20_ 0__DMY_ 5_10_15.wav	4.7645	4.2734	1	2	2	2		2
9	Spectrogram 1	1	1289.161921043	1289.397205457	36.703	119.547	7371.DSG_RAWD_HMS_19_20_ 0__DMY_ 5_10_15.wav	0.2353	10.3907	1	2	1	2		1
10	Spectrogram 1	1	1297.619048088	1297.710547582	0.000	138.423	7372.DSG_RAWD_HMS_19_25_ 0__DMY_ 5_10_15.wav	0.0915	8.1982	3	2	2	2		2
11	Spectrogram 1	1	1376.046707000	1382.399363526	36.703	124.790	7380.DSG_RAWD_HMS_20_ 5_ 0__DMY_ 5_10_15.wav	6.3527	1.4291	1	2	2	2		2
12	Spectrogram 1	1	2024.245842759	2024.938624642	108.012	202.391	7441.DSG_RAWD_HMS_ 1_10_ 0__DMY_ 6_10_15.wav	0.6928	0.0026	1	2	1	2		1
13	Spectrogram 1	1	2566.279109026	2566.409822589	0.000	94.379	7491.DSG_RAWD_HMS_ 5_20_ 0__DMY_ 6_10_15.wav	0.1307	9.1463	3	2	2	2		2
14	Spectrogram 1	1	2606.198813865	2606.401419887	0.000	171.980	7495.DSG_RAWD_HMS_ 5_40_ 0__DMY_ 6_10_15.wav	0.2026	6.4676	3	2	2	2		2
15	Spectrogram 1	1	2651.222831421	2652.967857487	0.000	138.423	7499.DSG_RAWD_HMS_ 6_ 0_ 0__DMY_ 6_10_15.wav	1.7450	8.8932	2	2	1	2		2
