Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes	false positive
1	Spectrogram 1	1	158.285189370	158.562996067	6.466	130.388	4515.DSG_RAWD_HMS_ 4_ 5_ 0__DMY_22_ 8_15.wav	0.2778	9.1908	3	1	2	2		2
2	Spectrogram 1	1	407.516765257	410.559717689	12.931	187.500	4539.DSG_RAWD_HMS_ 6_ 5_ 0__DMY_22_ 8_15.wav	3.0430	2.8320	1	2	2	2		2
3	Spectrogram 1	1	443.205284757	443.444327730	0.000	185.345	4542.DSG_RAWD_HMS_ 6_20_ 0__DMY_22_ 8_15.wav	0.2390	6.5717	3	2	2	2		2
4	Spectrogram 1	1	449.898502058	450.060017580	3.233	95.905	4543.DSG_RAWD_HMS_ 6_25_ 0__DMY_22_ 8_15.wav	0.1615	2.6153	3	2	2	2		1
5	Spectrogram 1	1	697.269516050	697.495637780	4.310	279.095	4566.DSG_RAWD_HMS_ 8_20_ 0__DMY_22_ 8_15.wav	0.2261	5.0455	3	1	2	2		2
6	Spectrogram 1	1	739.625410769	739.916138709	8.621	178.879	4570.DSG_RAWD_HMS_ 8_40_ 0__DMY_22_ 8_15.wav	0.2907	4.8030	3	2	2	2		2
7	Spectrogram 1	1	979.789300716	983.077756741	30.172	160.560	4593.DSG_RAWD_HMS_10_35_ 0__DMY_22_ 8_15.wav	3.2885	0.0261	1	2	2	2		2
8	Spectrogram 1	1	1008.274219735	1008.468038362	8.621	186.422	4595.DSG_RAWD_HMS_10_45_ 0__DMY_22_ 8_15.wav	0.1938	7.2118	3	2	2	2		2
9	Spectrogram 1	1	1071.265274174	1071.504317146	3.233	199.353	4601.DSG_RAWD_HMS_11_15_ 0__DMY_22_ 8_15.wav	0.2390	6.3053	3	2	2	2		2
10	Spectrogram 1	1	1100.183017526	1100.383296773	0.000	167.026	4604.DSG_RAWD_HMS_11_30_ 0__DMY_22_ 8_15.wav	0.2003	3.2742	3	1	2	2		2
11	Spectrogram 1	1	1131.568713746	1131.833599202	0.000	205.819	4607.DSG_RAWD_HMS_11_45_ 0__DMY_22_ 8_15.wav	0.2649	2.7111	3	1	2	2		2
12	Spectrogram 1	1	1196.000483671	1196.233066022	0.000	244.612	4613.DSG_RAWD_HMS_12_15_ 0__DMY_22_ 8_15.wav	0.2326	3.2453	3	2	2	2		2
13	Spectrogram 1	1	1196.245987264	1196.472108995	0.000	178.879	4613.DSG_RAWD_HMS_12_15_ 0__DMY_22_ 8_15.wav	0.2261	3.4908	3	2	2	2		2
14	Spectrogram 1	1	1245.417770269	1245.566364549	1.078	228.448	4617.DSG_RAWD_HMS_12_35_ 0__DMY_22_ 8_15.wav	0.1486	10.0642	3	2	2	2		2
15	Spectrogram 1	1	1250.024195776	1250.185711298	8.621	171.336	4618.DSG_RAWD_HMS_12_40_ 0__DMY_22_ 8_15.wav	0.1615	4.0210	3	2	2	2		2
16	Spectrogram 1	1	1385.968609533	1386.291640577	0.000	341.595	4631.DSG_RAWD_HMS_13_45_ 0__DMY_22_ 8_15.wav	0.3230	1.5206	3	1	2	2		2
17	Spectrogram 1	1	1458.185537807	1458.359974571	0.000	220.905	4637.DSG_RAWD_HMS_14_15_ 0__DMY_22_ 8_15.wav	0.1744	9.8399	3	2	2	2		2
18	Spectrogram 1	1	1465.253469309	1465.434366694	2.155	210.129	4638.DSG_RAWD_HMS_14_20_ 0__DMY_22_ 8_15.wav	0.1809	6.2583	3	2	2	2		2
19	Spectrogram 1	1	1471.862691262	1472.050049268	7.543	149.784	4639.DSG_RAWD_HMS_14_25_ 0__DMY_22_ 8_15.wav	0.1874	2.2179	3	3	2	2		2
20	Spectrogram 1	1	1551.425241544	1551.567375203	0.000	213.362	4646.DSG_RAWD_HMS_15_ 0_ 0__DMY_22_ 8_15.wav	0.1421	7.2332	3	2	2	2		2
21	Spectrogram 1	1	1612.064723499	1612.258542126	1.078	184.267	4652.DSG_RAWD_HMS_15_30_ 0__DMY_22_ 8_15.wav	0.1938	3.9751	3	2	2	2		2
