Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes	false positive
1	Spectrogram 1	1	239.720350028	244.173200112	25.168	161.493	5773.DSG_RAWD_HMS_ 6_10_ 0__DMY_30_ 9_15.wav	4.4529	4.6100	1	2	2	2		2
2	Spectrogram 1	1	773.281571943	775.550498491	45.092	138.423	5823.DSG_RAWD_HMS_10_20_ 0__DMY_30_ 9_15.wav	2.2689	5.6912	1	2	2	2		2
3	Spectrogram 1	1	797.657716928	799.534321883	50.336	161.493	5825.DSG_RAWD_HMS_10_30_ 0__DMY_30_ 9_15.wav	1.8766	8.7681	1	2	1	2		2
4	Spectrogram 1	1	843.428355822	843.565668379	0.000	192.953	5830.DSG_RAWD_HMS_10_55_ 0__DMY_30_ 9_15.wav	0.1373	1.2908	3	2	2	2		2
5	Spectrogram 1	1	975.725165635	977.863318318	32.508	146.812	5842.DSG_RAWD_HMS_11_55_ 0__DMY_30_ 9_15.wav	2.1382	5.3828	1	2	2	2		2
6	Spectrogram 1	1	1116.469782543	1119.431810573	38.800	153.104	5855.DSG_RAWD_HMS_13_ 0_ 0__DMY_30_ 9_15.wav	2.9620	7.6826	1	2	1	2		2
7	Spectrogram 1	1	1306.803520926	1308.627816335	46.141	147.861	5873.DSG_RAWD_HMS_14_30_ 0__DMY_30_ 9_15.wav	1.8243	6.3235	1	2	2	2		2
8	Spectrogram 1	1	1569.700255407	1571.655324680	34.606	181.418	5898.DSG_RAWD_HMS_16_35_ 0__DMY_30_ 9_15.wav	1.9551	2.9803	1	3	2	2		2
9	Spectrogram 1	1	1903.106745174	1903.244057732	0.000	182.466	5929.DSG_RAWD_HMS_19_10_ 0__DMY_30_ 9_15.wav	0.1373	5.8395	3	2	2	2		2
10	Spectrogram 1	1	1955.801842191	1958.358471241	60.822	144.715	5934.DSG_RAWD_HMS_19_35_ 0__DMY_30_ 9_15.wav	2.5566	5.2866	1	2	2	2		2
11	Spectrogram 1	1	2149.503002105	2151.549613083	46.141	188.758	5952.DSG_RAWD_HMS_21_ 5_ 0__DMY_30_ 9_15.wav	2.0466	6.8854	2	3	2	2		2
12	Spectrogram 1	1	2169.040484353	2169.256261229	0.000	293.624	5954.DSG_RAWD_HMS_21_15_ 0__DMY_30_ 9_15.wav	0.2158	5.1237	3	1	2	2		2
13	Spectrogram 1	1	2298.303025016	2300.892347532	53.482	159.396	5966.DSG_RAWD_HMS_22_15_ 0__DMY_30_ 9_15.wav	2.5893	6.5910	1	2	2	2		2
14	Spectrogram 1	1	2591.018758541	2592.584775568	48.238	157.299	5994.DSG_RAWD_HMS_ 0_35_ 0__DMY_ 1_10_15.wav	1.5660	0.7084	1	2	2	2		2
15	Spectrogram 1	1	2662.211579926	2662.316199017	0.000	174.077	6000.DSG_RAWD_HMS_ 1_ 5_ 0__DMY_ 1_10_15.wav	0.1046	8.0036	3	1	2	2		1
16	Spectrogram 1	1	972.436202944	974.227804887	36.703	149.958	5842.DSG_RAWD_HMS_11_55_ 0__DMY_30_ 9_15.wav	1.7916	2.0938	1	2	2	2		2
