Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes	false positive
2	Spectrogram 1	1	25.367487561	27.092641265	46.141	118.498	8503.DSG_RAWD_HMS_17_40_ 0__DMY_ 9_10_15.wav	1.7252	3.6587	1	1	2	2		2
3	Spectrogram 1	1	93.360407206	95.111699602	41.946	125.839	8509.DSG_RAWD_HMS_18_10_ 0__DMY_ 9_10_15.wav	1.7513	7.7540	1	2	2	2		2
4	Spectrogram 1	1	138.854584529	141.056769371	39.849	126.888	8514.DSG_RAWD_HMS_18_35_ 0__DMY_ 9_10_15.wav	2.2022	0.0002	1	2	1	2		2
5	Spectrogram 1	1	143.840509525	145.212790881	34.606	118.498	8514.DSG_RAWD_HMS_18_35_ 0__DMY_ 9_10_15.wav	1.3723	4.9861	1	2	2	2		2
7	Spectrogram 1	1	572.852760016	575.218311686	42.995	133.180	8554.DSG_RAWD_HMS_21_55_ 0__DMY_ 9_10_15.wav	2.3656	8.0144	1	1	2	2		2
8	Spectrogram 1	1	625.286675157	628.736982565	44.044	148.909	8559.DSG_RAWD_HMS_22_20_ 0__DMY_ 9_10_15.wav	3.4503	7.2003	1	2	1	2		2
30	Spectrogram 1	1	2645.888750371	2647.574696037	40.898	120.596	8749.DSG_RAWD_HMS_14_10_ 0__DMY_10_10_15.wav	1.6859	3.9688	1	2	2	2		2
6	Spectrogram 1	1	323.438544267	329.247868672	0.000	145.763	8531.DSG_RAWD_HMS_20_ 0_ 0__DMY_ 9_10_15.wav	5.8093	3.5409	2	1	2	2		2
9	Spectrogram 1	1	671.336241192	675.257045065	0.000	130.034	8564.DSG_RAWD_HMS_22_45_ 0__DMY_ 9_10_15.wav	3.9208	0.0018	2	2	1	2		2
20	Spectrogram 1	1	2143.734887827	2148.616288649	0.000	171.980	8702.DSG_RAWD_HMS_10_15_ 0__DMY_10_10_15.wav	4.8814	2.3461	2	2	2	2		2
28	Spectrogram 1	1	2551.502515406	2555.554012741	0.000	152.055	8740.DSG_RAWD_HMS_13_25_ 0__DMY_10_10_15.wav	4.0515	5.4289	2	2	2	2		2
1	Spectrogram 1	1	12.657617400	12.853657594	0.000	187.710	8502.DSG_RAWD_HMS_17_35_ 0__DMY_ 9_10_15.wav	0.1960	1.5984	3	1	2	2		2
10	Spectrogram 1	1	870.270408336	870.446844511	0.000	182.466	8582.DSG_RAWD_HMS_ 0_15_ 0__DMY_10_10_15.wav	0.1764	6.8336	3	3	2	2		2
