Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes	false positive
1	Spectrogram 1	1	11.425858259	11.589928605	20.762	219.488	3001.DSG_RAWD_HMS_15_10_ 0__DMY_20_ 9_15.wav	0.1641	0.7763	3	2	2	2		2
2	Spectrogram 1	1	135.088906071	138.422815494	29.661	160.167	3012.DSG_RAWD_HMS_16_ 5_ 0__DMY_20_ 9_15.wav	3.3339	7.2937	1	2	1	2		2
3	Spectrogram 1	1	155.203929225	155.348311129	0.000	324.783	3014.DSG_RAWD_HMS_16_15_ 0__DMY_20_ 9_15.wav	0.1444	6.1095	3	3	2	2		2
4	Spectrogram 1	1	165.100651863	165.264722209	0.000	210.590	3015.DSG_RAWD_HMS_16_20_ 0__DMY_20_ 9_15.wav	0.1641	5.3567	3	2	2	2		2
5	Spectrogram 1	1	259.296710124	259.532971422	0.000	212.073	3024.DSG_RAWD_HMS_17_ 5_ 0__DMY_20_ 9_15.wav	0.2363	3.2967	3	2	2	2		2
6	Spectrogram 1	1	365.338627441	366.040848520	25.211	431.561	3034.DSG_RAWD_HMS_17_55_ 0__DMY_20_ 9_15.wav	0.7022	2.8426	4	2	2	2		2
7	Spectrogram 1	1	366.132727914	366.887451504	10.381	406.349	3034.DSG_RAWD_HMS_17_55_ 0__DMY_20_ 9_15.wav	0.7547	3.6367	4	3	2	2		1
8	Spectrogram 1	1	367.182778126	367.990004226	32.627	788.970	3034.DSG_RAWD_HMS_17_55_ 0__DMY_20_ 9_15.wav	0.8072	4.6868	4	2	2	2		2
9	Spectrogram 1	1	412.905898385	414.461285262	37.076	209.107	3038.DSG_RAWD_HMS_18_15_ 0__DMY_20_ 9_15.wav	1.5554	7.8115	1	3	2	2		1
10	Spectrogram 1	1	467.055671596	467.331309777	0.000	160.167	3043.DSG_RAWD_HMS_18_40_ 0__DMY_20_ 9_15.wav	0.2756	8.7133	3	1	2	2		1
11	Spectrogram 1	1	498.694994607	499.029698112	0.000	154.235	3046.DSG_RAWD_HMS_18_55_ 0__DMY_20_ 9_15.wav	0.3347	8.4038	3	1	2	2		1
12	Spectrogram 1	1	696.616296847	697.403834506	0.000	818.630	3065.DSG_RAWD_HMS_20_30_ 0__DMY_20_ 9_15.wav	0.7875	3.5731	4	3	2	2		2
13	Spectrogram 1	1	829.086684146	829.315393236	0.000	194.276	3077.DSG_RAWD_HMS_21_30_ 0__DMY_20_ 9_15.wav	0.2287	8.2483	3	2	2	2		2
14	Spectrogram 1	1	861.567638084	861.743981271	0.000	209.107	3080.DSG_RAWD_HMS_21_45_ 0__DMY_20_ 9_15.wav	0.1763	8.7804	3	1	2	2		1
15	Spectrogram 1	1	1721.110647259	1722.006285019	29.661	194.276	3161.DSG_RAWD_HMS_ 4_30_ 0__DMY_21_ 9_15.wav	0.8956	5.7058	1	3	2	2		
