Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes	false positive
2	Spectrogram 1	1	178.348116269	180.381337298	26.694	170.548	2767.DSG_RAWD_HMS_19_40_ 0__DMY_19_ 9_15.wav	2.0332	7.5449	1	2	2	2		1
6	Spectrogram 1	1	345.876349976	348.589490578	13.347	241.733	2783.DSG_RAWD_HMS_21_ 0_ 0__DMY_19_ 9_15.wav	2.7131	4.6795	1	2	2	1		1
13	Spectrogram 1	1	909.071942462	909.882615798	41.525	216.522	2836.DSG_RAWD_HMS_ 1_25_ 0__DMY_20_ 9_15.wav	0.8107	3.4463	1	3	2	2		1
14	Spectrogram 1	1	1166.650276914	1170.553276768	35.593	223.937	2860.DSG_RAWD_HMS_ 3_25_ 0__DMY_20_ 9_15.wav	3.9030	5.0247	1	3	2	2		1
17	Spectrogram 1	1	2004.755668260	2005.710170737	14.830	163.133	2939.DSG_RAWD_HMS_10_ 0_ 0__DMY_20_ 9_15.wav	0.9545	0.9925	1	2	2	2		1
21	Spectrogram 1	1	2239.863935895	2242.518237303	34.110	198.725	2961.DSG_RAWD_HMS_11_50_ 0__DMY_20_ 9_15.wav	2.6543	1.8095	1	2	2	2		2
24	Spectrogram 1	1	2410.510654334	2412.190840201	29.661	163.133	2977.DSG_RAWD_HMS_13_10_ 0__DMY_20_ 9_15.wav	1.6802	2.0627	1	2	2	2		1
27	Spectrogram 1	1	2616.205880279	2616.859649099	23.728	185.378	2996.DSG_RAWD_HMS_14_45_ 0__DMY_20_ 9_15.wav	0.6538	5.0059	1	3	2	1		1
1	Spectrogram 1	1	177.844714278	178.099684118	0.000	327.749	2767.DSG_RAWD_HMS_19_40_ 0__DMY_19_ 9_15.wav	0.2550	7.0415	3	1	2	2		2
3	Spectrogram 1	1	195.503008882	195.659913399	0.000	266.945	2769.DSG_RAWD_HMS_19_50_ 0__DMY_19_ 9_15.wav	0.1569	3.4006	3	3	2	2		2
8	Spectrogram 1	1	400.106419447	400.309087781	0.000	158.684	2788.DSG_RAWD_HMS_21_25_ 0__DMY_19_ 9_15.wav	0.2027	5.6616	3	2	2	2		2
9	Spectrogram 1	1	514.666319969	514.882063679	0.000	194.276	2799.DSG_RAWD_HMS_22_20_ 0__DMY_19_ 9_15.wav	0.2157	3.0759	3	2	2	2		2
10	Spectrogram 1	1	519.386530847	519.595736869	0.000	255.080	2799.DSG_RAWD_HMS_22_20_ 0__DMY_19_ 9_15.wav	0.2092	7.7961	3	2	2	2		2
11	Spectrogram 1	1	883.620724134	883.836467845	0.000	172.031	2833.DSG_RAWD_HMS_ 1_10_ 0__DMY_20_ 9_15.wav	0.2157	9.9439	3	2	2	2		2
12	Spectrogram 1	1	885.876226562	886.137734090	0.000	169.065	2834.DSG_RAWD_HMS_ 1_15_ 0__DMY_20_ 9_15.wav	0.2615	1.5498	3	2	2	2		2
15	Spectrogram 1	1	1765.907785296	1766.064689812	0.000	151.269	2916.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_20_ 9_15.wav	0.1569	7.0854	3	2	2	2		2
16	Spectrogram 1	1	1815.417694365	1815.679201893	0.000	207.624	2921.DSG_RAWD_HMS_ 8_30_ 0__DMY_20_ 9_15.wav	0.2615	3.3473	3	3	2	2		2
20	Spectrogram 1	1	2191.543918897	2191.883878683	0.000	219.488	2956.DSG_RAWD_HMS_11_25_ 0__DMY_20_ 9_15.wav	0.3400	6.7375	3	1	2	2		2
25	Spectrogram 1	1	2409.693443310	2409.981101590	14.830	163.133	2977.DSG_RAWD_HMS_13_10_ 0__DMY_20_ 9_15.wav	0.2877	1.2454	3	1	2	2		2
28	Spectrogram 1	1	2616.898875228	2617.101543562	25.211	185.378	2996.DSG_RAWD_HMS_14_45_ 0__DMY_20_ 9_15.wav	0.2027	5.6989	3	3	2	1		2
4	Spectrogram 1	1	296.739102074	297.634765357	23.728	771.174	2778.DSG_RAWD_HMS_20_35_ 0__DMY_19_ 9_15.wav	0.8957	8.7903	4	3	2	2		2
5	Spectrogram 1	1	339.874752819	341.182290459	44.491	802.317	2782.DSG_RAWD_HMS_20_55_ 0__DMY_19_ 9_15.wav	1.3075	9.3276	4	2	1	2		2
7	Spectrogram 1	1	347.589224284	348.229917727	40.042	769.690	2783.DSG_RAWD_HMS_21_ 0_ 0__DMY_19_ 9_15.wav	0.6407	6.3924	4	2	2	1		2
18	Spectrogram 1	1	2094.459257710	2095.289544111	0.000	777.106	2947.DSG_RAWD_HMS_10_40_ 0__DMY_20_ 9_15.wav	0.8303	5.4993	4	2	2	2		2
19	Spectrogram 1	1	2148.352684862	2150.225732531	0.000	820.113	2952.DSG_RAWD_HMS_11_ 5_ 0__DMY_20_ 9_15.wav	1.8730	6.1447	4	2	2	2		2
22	Spectrogram 1	1	2292.982647603	2293.924074704	0.000	790.453	2966.DSG_RAWD_HMS_12_15_ 0__DMY_20_ 9_15.wav	0.9414	1.6802	4	2	2	2		2
26	Spectrogram 1	1	2520.749144811	2521.540205083	20.762	786.004	2987.DSG_RAWD_HMS_14_ 0_ 0__DMY_20_ 9_15.wav	0.7911	5.3955	4	1	2	2		
