Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes	false positive
3	Spectrogram 1	1	45.063203730	46.323218590	43.103	146.552	2755.DSG_RAWD_HMS_ 1_25_ 0__DMY_16_ 8_15.wav	1.2600	2.4648	1	3	2	2		1
7	Spectrogram 1	1	64.677446167	66.228233687	46.336	132.543	2757.DSG_RAWD_HMS_ 1_35_ 0__DMY_16_ 8_15.wav	1.5508	0.7798	1	3	2	2		1
8	Spectrogram 1	1	66.687008328	67.746713133	24.784	131.466	2757.DSG_RAWD_HMS_ 1_35_ 0__DMY_16_ 8_15.wav	1.0597	2.7894	1	2	2	2		1
9	Spectrogram 1	1	68.360566526	69.730428835	22.629	122.845	2757.DSG_RAWD_HMS_ 1_35_ 0__DMY_16_ 8_15.wav	1.3699	4.4630	1	3	2	2		1
10	Spectrogram 1	1	74.667105224	76.909285512	47.414	187.500	2758.DSG_RAWD_HMS_ 1_40_ 0__DMY_16_ 8_15.wav	2.2422	0.1199	1	2	2	2		1
22	Spectrogram 1	1	255.605378038	256.361386954	40.948	185.345	2775.DSG_RAWD_HMS_ 3_ 5_ 0__DMY_16_ 8_15.wav	0.7560	0.0150	1	2	1	1		1
23	Spectrogram 1	1	292.885689540	295.909725203	19.397	114.224	2778.DSG_RAWD_HMS_ 3_20_ 0__DMY_16_ 8_15.wav	3.0240	5.3465	1	3	2	2		1
31	Spectrogram 1	1	370.987293141	371.129448664	23.707	114.224	2785.DSG_RAWD_HMS_ 3_55_ 0__DMY_16_ 8_15.wav	0.1422	8.4913	3	3	2	2		1
40	Spectrogram 1	1	469.029524146	470.218461244	34.483	123.922	2795.DSG_RAWD_HMS_ 4_45_ 0__DMY_16_ 8_15.wav	1.1889	0.0375	1	3	2	2		1
82	Spectrogram 1	1	837.755402865	839.131726789	29.095	171.336	2829.DSG_RAWD_HMS_ 7_35_ 0__DMY_16_ 8_15.wav	1.3763	6.6770	1	2	2	2		1
95	Spectrogram 1	1	915.256122445	915.333661821	25.862	154.095	2836.DSG_RAWD_HMS_ 8_10_ 0__DMY_16_ 8_15.wav	0.0775	9.6305	3	3	2	2		1
105	Spectrogram 1	1	1006.449027830	1006.597644967	37.716	122.845	2845.DSG_RAWD_HMS_ 8_55_ 0__DMY_16_ 8_15.wav	0.1486	4.9770	3	3	2	2		1
106	Spectrogram 1	1	1006.597644967	1006.720415646	34.483	121.767	2845.DSG_RAWD_HMS_ 8_55_ 0__DMY_16_ 8_15.wav	0.1228	5.1256	3	3	2	2		1
