Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes	false positive
1	Spectrogram 1	1	0.038763725	2.913740015	34.483	188.578	6751.DSG_RAWD_HMS_22_25_ 0__DMY_29_ 8_15.wav	2.8750	0.0388	1	1	1	2		2
2	Spectrogram 1	1	48.034719636	49.042576493	34.483	122.845	6755.DSG_RAWD_HMS_22_45_ 0__DMY_29_ 8_15.wav	1.0079	5.4363	1	3	2	2		2
4	Spectrogram 1	1	161.554301776	161.702896056	0.000	163.793	6766.DSG_RAWD_HMS_23_40_ 0__DMY_29_ 8_15.wav	0.1486	1.8103	3	2	2	2		2
5	Spectrogram 1	1	405.584875030	405.791614898	14.009	193.966	6789.DSG_RAWD_HMS_ 1_35_ 0__DMY_30_ 8_15.wav	0.2067	0.9001	3	2	2	2		2
6	Spectrogram 1	1	771.033121508	771.201097651	0.000	169.181	6823.DSG_RAWD_HMS_ 4_25_ 0__DMY_30_ 8_15.wav	0.1680	4.2619	3	2	2	2		2
7	Spectrogram 1	1	831.934181291	832.118308986	0.000	165.948	6829.DSG_RAWD_HMS_ 4_55_ 0__DMY_30_ 8_15.wav	0.1841	1.2654	3	3	2	2		2
8	Spectrogram 1	1	905.246079104	907.785103108	26.940	328.664	6836.DSG_RAWD_HMS_ 5_30_ 0__DMY_30_ 8_15.wav	2.5390	0.0301	1	1	1	2		2
9	Spectrogram 1	1	911.474117628	914.064826599	7.543	314.655	6836.DSG_RAWD_HMS_ 5_30_ 0__DMY_30_ 8_15.wav	2.5907	6.2581	1	1	2	2		2
10	Spectrogram 1	1	1085.032236865	1085.226055492	1.078	154.095	6852.DSG_RAWD_HMS_ 6_50_ 0__DMY_30_ 8_15.wav	0.1938	9.4226	3	2	2	2		2
11	Spectrogram 1	1	1160.828241404	1163.154064919	36.638	202.586	6860.DSG_RAWD_HMS_ 7_30_ 0__DMY_30_ 8_15.wav	2.3258	0.0218	1	3	1	2		2
12	Spectrogram 1	1	1265.503218360	1265.671194503	2.155	159.483	6869.DSG_RAWD_HMS_ 8_15_ 0__DMY_30_ 8_15.wav	0.1680	8.8504	3	2	2	2		2
13	Spectrogram 1	1	1313.095383024	1313.302122892	0.000	264.009	6874.DSG_RAWD_HMS_ 8_40_ 0__DMY_30_ 8_15.wav	0.2067	3.1946	3	1	2	2		2
14	Spectrogram 1	1	1351.222737130	1352.463176338	22.629	202.586	6877.DSG_RAWD_HMS_ 8_55_ 0__DMY_30_ 8_15.wav	1.2404	9.3731	2	2	1	2		1
15	Spectrogram 1	1	1496.909737903	1497.110017150	0.000	187.500	6891.DSG_RAWD_HMS_10_ 5_ 0__DMY_30_ 8_15.wav	0.2003	5.9657	3	2	2	2		2
16	Spectrogram 1	1	1536.597331950	1536.726544368	0.000	195.043	6895.DSG_RAWD_HMS_10_25_ 0__DMY_30_ 8_15.wav	0.1292	3.0549	3	2	2	2		2
17	Spectrogram 1	1	1630.211728456	1630.412007703	10.776	193.966	6904.DSG_RAWD_HMS_11_10_ 0__DMY_30_ 8_15.wav	0.2003	0.8229	3	2	2	2		2
18	Spectrogram 1	1	1663.962020964	1666.662560490	11.853	380.388	6907.DSG_RAWD_HMS_11_25_ 0__DMY_30_ 8_15.wav	2.7005	2.6244	1	1	2	2		2
19	Spectrogram 1	1	1695.315421517	1695.496318902	0.000	186.422	6910.DSG_RAWD_HMS_11_40_ 0__DMY_30_ 8_15.wav	0.1809	2.0290	3	2	2	2		2
20	Spectrogram 1	1	1718.205401284	1718.418601773	4.310	212.284	6912.DSG_RAWD_HMS_11_50_ 0__DMY_30_ 8_15.wav	0.2132	3.6198	3	2	2	2		2
21	Spectrogram 1	1	1741.715606686	1741.999874004	14.009	272.629	6914.DSG_RAWD_HMS_12_ 0_ 0__DMY_30_ 8_15.wav	0.2843	5.8308	3	1	2	2		2
22	Spectrogram 1	1	1787.889664094	1788.025337132	0.000	173.491	6918.DSG_RAWD_HMS_12_20_ 0__DMY_30_ 8_15.wav	0.1357	9.4065	3	2	2	2		2
23	Spectrogram 1	1	1883.765282530	1884.947576150	6.466	169.181	6927.DSG_RAWD_HMS_13_ 5_ 0__DMY_30_ 8_15.wav	1.1823	9.4357	1	2	2	2		1
24	Spectrogram 1	1	1965.401691949	1965.556746851	10.776	227.371	6935.DSG_RAWD_HMS_13_45_ 0__DMY_30_ 8_15.wav	0.1551	5.8753	3	2	2	2		2
25	Spectrogram 1	1	2114.293165025	2118.092010100	16.164	203.664	6949.DSG_RAWD_HMS_14_55_ 0__DMY_30_ 8_15.wav	3.7988	5.6724	1	2	2	2		2
