Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes	false positive
1	Spectrogram 1	1	473.586857095	473.750274174	0.000	170.931	4795.DSG_RAWD_HMS_20_40_ 0__DMY_26_ 9_15.wav	0.1634	4.5949	3	2	2	2		2
2	Spectrogram 1	1	518.787794514	522.239163229	62.919	142.617	4799.DSG_RAWD_HMS_21_ 0_ 0__DMY_26_ 9_15.wav	3.4514	7.1974	1	3	1	2		2
3	Spectrogram 1	1	637.839509804	638.042146983	2.097	202.391	4810.DSG_RAWD_HMS_21_55_ 0__DMY_26_ 9_15.wav	0.2026	9.1035	3	1	2	2		1
4	Spectrogram 1	1	823.785297743	823.896421357	0.000	98.574	4828.DSG_RAWD_HMS_23_25_ 0__DMY_26_ 9_15.wav	0.1111	2.9469	3	1	2	2		2
8	Spectrogram 1	1	823.929104773	824.040228387	0.000	100.671	4828.DSG_RAWD_HMS_23_25_ 0__DMY_26_ 9_15.wav	0.1111	3.0907	3	1	2	2		2
9	Spectrogram 1	1	845.284343059	845.500053603	0.000	182.466	4830.DSG_RAWD_HMS_23_35_ 0__DMY_26_ 9_15.wav	0.2157	3.1467	3	1	2	2		2
10	Spectrogram 1	1	1112.228088955	1112.398042717	0.000	112.206	4855.DSG_RAWD_HMS_ 1_40_ 0__DMY_27_ 9_15.wav	0.1700	3.8505	3	1	2	2		2
11	Spectrogram 1	1	1125.458274401	1125.588996783	0.000	118.498	4856.DSG_RAWD_HMS_ 1_45_ 0__DMY_27_ 9_15.wav	0.1307	6.4311	3	1	2	2		2
13	Spectrogram 1	1	1233.031807905	1233.378252113	0.000	282.089	4866.DSG_RAWD_HMS_ 2_35_ 0__DMY_27_ 9_15.wav	0.3464	7.5086	3	1	2	2		2
14	Spectrogram 1	1	1373.752731052	1373.916148131	0.000	114.304	4879.DSG_RAWD_HMS_ 3_40_ 0__DMY_27_ 9_15.wav	0.1634	9.7847	3	1	2	2		2
15	Spectrogram 1	1	1543.097824534	1543.365828545	0.000	169.883	4895.DSG_RAWD_HMS_ 5_ 0_ 0__DMY_27_ 9_15.wav	0.2680	8.7362	3	1	2	2		2
16	Spectrogram 1	1	1967.209029069	1967.405129564	0.000	122.693	4935.DSG_RAWD_HMS_ 8_20_ 0__DMY_27_ 9_15.wav	0.1961	6.4538	3	1	2	2		2
17	Spectrogram 1	1	2162.288708927	2162.484809422	0.000	160.445	4953.DSG_RAWD_HMS_ 9_50_ 0__DMY_27_ 9_15.wav	0.1961	9.8407	3	1	2	2		2
18	Spectrogram 1	1	2240.179304748	2242.186048731	42.995	138.423	4961.DSG_RAWD_HMS_10_30_ 0__DMY_27_ 9_15.wav	2.0067	2.5345	1	2	2	2		1
19	Spectrogram 1	1	2337.974008507	2338.137425586	0.000	168.834	4970.DSG_RAWD_HMS_11_15_ 0__DMY_27_ 9_15.wav	0.1634	4.4828	3	2	2	2		2
20	Spectrogram 1	1	2563.579596299	2563.932577191	0.000	173.029	4991.DSG_RAWD_HMS_13_ 0_ 0__DMY_27_ 9_15.wav	0.3530	6.4468	3	1	2	2		
