Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes	false positive
1	Spectrogram 1	1	98.455532950	98.662304620	8.621	167.026	4760.DSG_RAWD_HMS_ 0_30_ 0__DMY_23_ 8_15.wav	0.2068	2.6091	3	2	2	2		2
2	Spectrogram 1	1	204.652221429	204.813761796	1.078	226.293	4770.DSG_RAWD_HMS_ 1_20_ 0__DMY_23_ 8_15.wav	0.1615	2.3098	3	2	2	2		2
3	Spectrogram 1	1	270.909618211	271.100235844	0.000	271.552	4776.DSG_RAWD_HMS_ 1_50_ 0__DMY_23_ 8_15.wav	0.1906	4.6696	3	1	2	2		2
4	Spectrogram 1	1	307.230353002	307.424201442	2.155	213.362	4779.DSG_RAWD_HMS_ 2_ 5_ 0__DMY_23_ 8_15.wav	0.1938	9.0416	3	2	2	2		2
5	Spectrogram 1	1	378.928429333	379.180432305	7.543	165.948	4786.DSG_RAWD_HMS_ 2_40_ 0__DMY_23_ 8_15.wav	0.2520	6.1924	3	2	2	2		2
6	Spectrogram 1	1	421.174466018	421.381237687	0.000	203.664	4790.DSG_RAWD_HMS_ 3_ 0_ 0__DMY_23_ 8_15.wav	0.2068	5.8401	3	2	2	2		2
7	Spectrogram 1	1	1084.543204981	1084.730591806	0.000	209.052	4852.DSG_RAWD_HMS_ 8_10_ 0__DMY_23_ 8_15.wav	0.1874	8.9336	3	2	2	2		2
8	Spectrogram 1	1	1293.040119174	1293.201659541	7.543	129.310	4872.DSG_RAWD_HMS_ 9_50_ 0__DMY_23_ 8_15.wav	0.1615	4.4385	3	3	2	2		2
9	Spectrogram 1	1	1412.121221680	1412.282762046	14.009	130.388	4883.DSG_RAWD_HMS_10_45_ 0__DMY_23_ 8_15.wav	0.1615	6.3740	3	2	2	2		2
10	Spectrogram 1	1	1465.772017699	1466.062790359	6.466	187.500	4888.DSG_RAWD_HMS_11_10_ 0__DMY_23_ 8_15.wav	0.2908	6.7768	3	2	2	2		2
11	Spectrogram 1	1	1479.315562037	1479.502948863	12.931	164.871	4889.DSG_RAWD_HMS_11_15_ 0__DMY_23_ 8_15.wav	0.1874	9.6708	3	2	2	2		2
12	Spectrogram 1	1	1581.053688970	1581.318615171	2.155	309.267	4899.DSG_RAWD_HMS_12_ 5_ 0__DMY_23_ 8_15.wav	0.2649	4.5033	3	1	2	2		2
13	Spectrogram 1	1	1634.678629082	1634.917708825	2.155	306.034	4904.DSG_RAWD_HMS_12_30_ 0__DMY_23_ 8_15.wav	0.2391	4.8802	3	2	2	2		2
14	Spectrogram 1	1	1712.877089766	1713.083861435	0.000	212.284	4911.DSG_RAWD_HMS_13_ 5_ 0__DMY_23_ 8_15.wav	0.2068	8.5315	3	2	2	2		2
