Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes	false positive
1	Spectrogram 1	1	0.736737364	2.901711195	15.086	195.043	7501.DSG_RAWD_HMS_12_55_ 0__DMY_ 1_ 9_15.wav	2.1650	0.7367	2	3	2	2		2
2	Spectrogram 1	1	27.026628556	28.745682405	39.871	192.888	7503.DSG_RAWD_HMS_13_ 5_ 0__DMY_ 1_ 9_15.wav	1.7191	5.7274	1	3	2	2		2
3	Spectrogram 1	1	53.953086682	54.240672758	18.319	371.767	7506.DSG_RAWD_HMS_13_20_ 0__DMY_ 1_ 9_15.wav	0.2876	0.2955	3	1	2	2		2
4	Spectrogram 1	1	85.406602030	85.555242024	0.000	204.741	7508.DSG_RAWD_HMS_13_30_ 0__DMY_ 1_ 9_15.wav	0.1486	10.4498	3	2	2	2		2
5	Spectrogram 1	1	97.717874755	97.992535615	0.000	169.181	7510.DSG_RAWD_HMS_13_40_ 0__DMY_ 1_ 9_15.wav	0.2747	1.4619	3	1	2	2		2
6	Spectrogram 1	1	98.800361671	98.968389491	0.000	155.172	7510.DSG_RAWD_HMS_13_40_ 0__DMY_ 1_ 9_15.wav	0.1680	2.5444	3	2	2	2		2
7	Spectrogram 1	1	99.682507725	99.957168584	0.000	207.974	7510.DSG_RAWD_HMS_13_40_ 0__DMY_ 1_ 9_15.wav	0.2747	3.4265	3	2	2	2		2
8	Spectrogram 1	1	155.377264061	155.580836227	0.000	157.328	7515.DSG_RAWD_HMS_14_ 5_ 0__DMY_ 1_ 9_15.wav	0.2036	5.8733	3	1	2	2		2
9	Spectrogram 1	1	168.687004928	168.906733615	0.000	164.871	7516.DSG_RAWD_HMS_14_10_ 0__DMY_ 1_ 9_15.wav	0.2197	8.5334	3	2	2	2		2
10	Spectrogram 1	1	194.327402726	194.463117504	0.000	184.267	7519.DSG_RAWD_HMS_14_25_ 0__DMY_ 1_ 9_15.wav	0.1357	2.2250	3	3	2	2		2
11	Spectrogram 1	1	203.232877177	203.397673692	0.000	160.560	7520.DSG_RAWD_HMS_14_30_ 0__DMY_ 1_ 9_15.wav	0.1648	0.4809	3	2	2	2		2
