Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes	false positive
1	Spectrogram 1	1	28.332026444	29.573805291	50.336	120.596	8003.DSG_RAWD_HMS_ 0_ 0_ 0__DMY_ 8_10_15.wav	1.2418	7.0328	1	2	2	2		2
2	Spectrogram 1	1	39.122361739	42.507843019	54.530	123.742	8004.DSG_RAWD_HMS_ 0_ 5_ 0__DMY_ 8_10_15.wav	3.3855	7.1736	1	3	2	2		1
3	Spectrogram 1	1	57.860061930	63.899028538	37.752	132.131	8006.DSG_RAWD_HMS_ 0_15_ 0__DMY_ 8_10_15.wav	6.0390	4.6121	1	2	1	1		2
5	Spectrogram 1	1	75.754649943	77.440854905	49.287	132.131	8008.DSG_RAWD_HMS_ 0_25_ 0__DMY_ 8_10_15.wav	1.6862	1.2074	1	2	2	2		1
11	Spectrogram 1	1	218.244791967	220.819849157	55.579	134.228	8021.DSG_RAWD_HMS_ 1_30_ 0__DMY_ 8_10_15.wav	2.5751	5.2528	1	3	2	2		2
13	Spectrogram 1	1	244.942922291	246.433056908	38.800	160.445	8024.DSG_RAWD_HMS_ 1_45_ 0__DMY_ 8_10_15.wav	1.4901	0.0021	1	2	1	2		2
22	Spectrogram 1	1	980.555833068	982.333537524	33.557	132.131	8093.DSG_RAWD_HMS_ 7_30_ 0__DMY_ 8_10_15.wav	1.7777	0.3830	1	2	2	2		1
25	Spectrogram 1	1	1027.958902969	1032.135201305	36.703	141.569	8097.DSG_RAWD_HMS_ 7_50_ 0__DMY_ 8_10_15.wav	4.1763	5.1877	1	2	2	2		2
26	Spectrogram 1	1	1100.491343698	1101.837693397	37.752	148.909	8104.DSG_RAWD_HMS_ 8_25_ 0__DMY_ 8_10_15.wav	1.3463	3.1729	1	2	2	2		2
27	Spectrogram 1	1	1107.968102930	1109.419023478	36.703	142.617	8105.DSG_RAWD_HMS_ 8_30_ 0__DMY_ 8_10_15.wav	1.4509	0.0001	1	2	1	2		2
28	Spectrogram 1	1	1118.915276815	1121.477262648	41.946	131.082	8106.DSG_RAWD_HMS_ 8_35_ 0__DMY_ 8_10_15.wav	2.5620	0.2977	1	2	2	2		2
29	Spectrogram 1	1	1129.365759399	1131.404890981	46.141	124.790	8107.DSG_RAWD_HMS_ 8_40_ 0__DMY_ 8_10_15.wav	2.0391	0.0986	1	2	2	2		2
30	Spectrogram 1	1	1181.409001096	1182.428566887	35.654	113.255	8111.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_ 8_10_15.wav	1.0196	9.5434	1	3	2	2		1
31	Spectrogram 1	1	1186.166918133	1188.055729118	24.119	130.034	8112.DSG_RAWD_HMS_ 9_ 5_ 0__DMY_ 8_10_15.wav	1.8888	3.6517	1	2	2	2		2
33	Spectrogram 1	1	1252.483959218	1253.791094848	38.800	126.888	8118.DSG_RAWD_HMS_ 9_35_ 0__DMY_ 8_10_15.wav	1.3071	6.0712	1	2	2	2		2
34	Spectrogram 1	1	1257.830111179	1262.313586387	34.606	165.688	8119.DSG_RAWD_HMS_ 9_40_ 0__DMY_ 8_10_15.wav	4.4835	0.7677	1	2	2	2		1
35	Spectrogram 1	1	1303.259264424	1310.311261144	38.800	190.856	8123.DSG_RAWD_HMS_10_ 0_ 0__DMY_ 8_10_15.wav	7.0520	3.5985	1	2	1	2		2
36	Spectrogram 1	1	1323.656994900	1324.964130529	39.849	138.423	8125.DSG_RAWD_HMS_10_10_ 0__DMY_ 8_10_15.wav	1.3071	2.6970	1	2	2	2		2
38	Spectrogram 1	1	1331.604314084	1332.336310036	27.265	132.131	8125.DSG_RAWD_HMS_10_10_ 0__DMY_ 8_10_15.wav	0.7320	10.6443	1	2	1	2		2
39	Spectrogram 1	1	1344.374960511	1346.682054897	39.849	137.374	8127.DSG_RAWD_HMS_10_20_ 0__DMY_ 8_10_15.wav	2.3071	2.1158	1	2	2	2		1
40	Spectrogram 1	1	1354.707814766	1359.537680917	27.265	159.396	8128.DSG_RAWD_HMS_10_25_ 0__DMY_ 8_10_15.wav	4.8299	1.7990	1	2	2	2		2
41	Spectrogram 1	1	1363.625707848	1366.736690646	49.287	135.277	8129.DSG_RAWD_HMS_10_30_ 0__DMY_ 8_10_15.wav	3.1110	0.0673	1	2	2	2		1
42	Spectrogram 1	1	1374.206923760	1375.987896055	26.216	137.374	8129.DSG_RAWD_HMS_10_30_ 0__DMY_ 8_10_15.wav	1.7810	10.6485	1	2	1	2		2
43	Spectrogram 1	1	1395.506602505	1398.630656659	41.946	144.715	8131.DSG_RAWD_HMS_10_40_ 0__DMY_ 8_10_15.wav	3.1241	10.6490	1	1	1	2		2
