Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes	false positive
1	Spectrogram 1	1	205.264999004	205.428390958	0.000	151.269	5520.DSG_RAWD_HMS_ 9_ 5_ 0__DMY_29_ 9_15.wav	0.1634	2.9226	3	3	2	2		2
2	Spectrogram 1	1	218.035653748	219.708787354	31.144	192.793	5521.DSG_RAWD_HMS_ 9_10_ 0__DMY_29_ 9_15.wav	1.6731	5.0437	1	2	2	2		2
3	Spectrogram 1	1	235.570793487	237.028249714	34.110	228.386	5523.DSG_RAWD_HMS_ 9_20_ 0__DMY_29_ 9_15.wav	1.4575	1.2796	1	2	2	2		2
4	Spectrogram 1	1	330.148114667	330.925860366	23.728	197.242	5532.DSG_RAWD_HMS_10_ 5_ 0__DMY_29_ 9_15.wav	0.7777	0.0105	1	2	1	2		2
5	Spectrogram 1	1	440.299933144	445.574225408	37.076	213.556	5542.DSG_RAWD_HMS_10_55_ 0__DMY_29_ 9_15.wav	5.2743	3.6663	1	3	2	2		2
6	Spectrogram 1	1	645.286954503	645.456882134	0.000	207.624	5561.DSG_RAWD_HMS_12_30_ 0__DMY_29_ 9_15.wav	0.1699	6.3110	3	3	2	2		2
7	Spectrogram 1	1	648.221473990	648.391401622	0.000	180.929	5561.DSG_RAWD_HMS_12_30_ 0__DMY_29_ 9_15.wav	0.1699	9.2455	3	2	2	2		2
8	Spectrogram 1	1	653.463025903	654.436841947	29.661	292.156	5562.DSG_RAWD_HMS_12_35_ 0__DMY_29_ 9_15.wav	0.9738	3.8374	1	1	2	2		2
9	Spectrogram 1	1	835.748774838	835.886024079	0.000	148.303	5579.DSG_RAWD_HMS_14_ 0_ 0__DMY_29_ 9_15.wav	0.1372	4.6704	3	2	2	2		2
10	Spectrogram 1	1	927.881824600	928.104037657	0.000	176.480	5588.DSG_RAWD_HMS_14_45_ 0__DMY_29_ 9_15.wav	0.2222	0.9570	3	3	2	2		2
11	Spectrogram 1	1	1016.322219111	1021.158620940	43.008	173.514	5596.DSG_RAWD_HMS_15_25_ 0__DMY_29_ 9_15.wav	4.8364	4.2006	1	3	2	2		2
