Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes	false positive
1	Spectrogram 1	1	6.752979760	9.664222853	40.000	235.000	7751.DSG_RAWD_HMS_ 9_45_ 0__DMY_ 2_ 9_15.wav	2.9112	6.7530	1	2	2	2		2
2	Spectrogram 1	1	42.619110858	45.169590985	21.667	181.667	7755.DSG_RAWD_HMS_10_ 5_ 0__DMY_ 2_ 9_15.wav	2.5505	0.0207	1	2	1	2		2
3	Spectrogram 1	1	45.401452815	48.401165237	28.333	223.333	7755.DSG_RAWD_HMS_10_ 5_ 0__DMY_ 2_ 9_15.wav	2.9997	2.8031	1	2	2	2		2
4	Spectrogram 1	1	51.125541907	53.197807010	35.000	173.333	7755.DSG_RAWD_HMS_10_ 5_ 0__DMY_ 2_ 9_15.wav	2.0723	8.5271	1	2	1	2		2
5	Spectrogram 1	1	53.270263832	54.603469353	36.667	176.667	7756.DSG_RAWD_HMS_10_10_ 0__DMY_ 2_ 9_15.wav	1.3332	0.0223	1	2	1	2		2
6	Spectrogram 1	1	55.458459850	56.835139464	30.000	166.667	7756.DSG_RAWD_HMS_10_10_ 0__DMY_ 2_ 9_15.wav	1.3767	2.2105	1	2	2	2		2
8	Spectrogram 1	1	99.207902022	100.859917559	23.333	150.000	7760.DSG_RAWD_HMS_10_30_ 0__DMY_ 2_ 9_15.wav	1.6520	3.3615	1	2	2	2		2
11	Spectrogram 1	1	170.418469478	172.389295031	33.333	223.333	7767.DSG_RAWD_HMS_11_ 5_ 0__DMY_ 2_ 9_15.wav	1.9708	0.0249	1	2	1	2		2
13	Spectrogram 1	1	186.619815171	190.068759888	28.333	230.000	7768.DSG_RAWD_HMS_11_10_ 0__DMY_ 2_ 9_15.wav	3.4489	5.5766	1	3	2	2		2
14	Spectrogram 1	1	190.996207207	191.677301332	70.000	168.333	7768.DSG_RAWD_HMS_11_10_ 0__DMY_ 2_ 9_15.wav	0.6811	9.9530	1	3	1	2		2
15	Spectrogram 1	1	213.675192939	216.631431268	21.667	130.000	7771.DSG_RAWD_HMS_11_25_ 0__DMY_ 2_ 9_15.wav	2.9562	0.6832	1	3	2	2		2
16	Spectrogram 1	1	218.747176570	221.254182604	30.000	135.000	7771.DSG_RAWD_HMS_11_25_ 0__DMY_ 2_ 9_15.wav	2.5070	5.7552	1	3	2	1		2
18	Spectrogram 1	1	230.137389126	232.919731083	13.333	191.667	7772.DSG_RAWD_HMS_11_30_ 0__DMY_ 2_ 9_15.wav	2.7823	6.4958	1	2	2	2		2
20	Spectrogram 1	1	255.656686851	257.279719659	23.333	231.667	7775.DSG_RAWD_HMS_11_45_ 0__DMY_ 2_ 9_15.wav	1.6230	0.0663	1	3	1	1		2
22	Spectrogram 1	1	257.308702388	258.752177291	15.000	231.667	7775.DSG_RAWD_HMS_11_45_ 0__DMY_ 2_ 9_15.wav	1.4435	1.7183	1	2	2	2		2
28	Spectrogram 1	1	330.156790059	334.605638917	40.000	151.667	7782.DSG_RAWD_HMS_12_20_ 0__DMY_ 2_ 9_15.wav	4.4488	0.0192	1	3	1	2		2
30	Spectrogram 1	1	391.078487013	393.136260752	16.667	168.333	7787.DSG_RAWD_HMS_12_45_ 0__DMY_ 2_ 9_15.wav	2.0578	7.6929	1	2	2	2		2
32	Spectrogram 1	1	421.814671498	423.307282027	20.000	168.333	7790.DSG_RAWD_HMS_13_ 0_ 0__DMY_ 2_ 9_15.wav	1.4926	6.4803	1	2	2	2		2
33	Spectrogram 1	1	444.957387130	446.594911302	40.000	180.000	7792.DSG_RAWD_HMS_13_10_ 0__DMY_ 2_ 9_15.wav	1.6375	8.3238	1	3	2	2		1
38	Spectrogram 1	1	534.369107846	536.470355678	50.000	173.333	7801.DSG_RAWD_HMS_13_55_ 0__DMY_ 2_ 9_15.wav	2.1012	1.4795	1	3	2	2		2
41	Spectrogram 1	1	632.910386281	635.547814594	20.000	206.667	7810.DSG_RAWD_HMS_14_40_ 0__DMY_ 2_ 9_15.wav	2.6374	4.1744	1	2	2	2		2
42	Spectrogram 1	1	651.865090214	653.038890727	20.000	140.000	7812.DSG_RAWD_HMS_14_50_ 0__DMY_ 2_ 9_15.wav	1.1738	1.8299	1	3	2	2		1
43	Spectrogram 1	1	665.805784657	671.298011748	11.667	191.667	7813.DSG_RAWD_HMS_14_55_ 0__DMY_ 2_ 9_15.wav	5.4922	5.1210	1	3	1	2		1
45	Spectrogram 1	1	775.867699171	776.853111948	23.333	135.000	7823.DSG_RAWD_HMS_15_45_ 0__DMY_ 2_ 9_15.wav	0.9854	8.6869	1	2	2	2		2
46	Spectrogram 1	1	779.954265141	781.606280678	31.667	161.667	7824.DSG_RAWD_HMS_15_50_ 0__DMY_ 2_ 9_15.wav	1.6520	2.1239	1	2	2	2		2
50	Spectrogram 1	1	806.256094405	808.806574532	36.325	171.667	7826.DSG_RAWD_HMS_16_ 0_ 0__DMY_ 2_ 9_15.wav	2.5505	7.1265	1	2	2	2		2
53	Spectrogram 1	1	832.659360776	833.717230375	48.333	168.333	7829.DSG_RAWD_HMS_16_15_ 0__DMY_ 2_ 9_15.wav	1.0579	1.5810	1	3	2	2		1
58	Spectrogram 1	1	871.626648765	872.785957914	35.000	146.667	7832.DSG_RAWD_HMS_16_30_ 0__DMY_ 2_ 9_15.wav	1.1593	8.5994	1	3	2	2		2
63	Spectrogram 1	1	912.724158937	914.347191745	36.667	143.333	7836.DSG_RAWD_HMS_16_50_ 0__DMY_ 2_ 9_15.wav	1.6230	7.0986	1	3	2	2		2
64	Spectrogram 1	1	915.455070052	916.245560476	40.000	133.333	7836.DSG_RAWD_HMS_16_50_ 0__DMY_ 2_ 9_15.wav	0.7905	9.8295	1	3	1	2		2
65	Spectrogram 1	1	981.833485912	983.818802829	31.667	160.000	7843.DSG_RAWD_HMS_17_25_ 0__DMY_ 2_ 9_15.wav	1.9853	1.6607	1	3	2	2		2
66	Spectrogram 1	1	1014.786849144	1016.424373316	35.000	191.667	7846.DSG_RAWD_HMS_17_40_ 0__DMY_ 2_ 9_15.wav	1.6375	2.6652	1	3	2	2		1
70	Spectrogram 1	1	1040.985440519	1043.357217821	43.333	146.667	7848.DSG_RAWD_HMS_17_50_ 0__DMY_ 2_ 9_15.wav	2.3718	7.5646	1	2	2	2		2
73	Spectrogram 1	1	1115.646756343	1117.661055989	35.000	130.000	7855.DSG_RAWD_HMS_18_25_ 0__DMY_ 2_ 9_15.wav	2.0143	7.6788	1	3	2	2		2
76	Spectrogram 1	1	1129.297619128	1132.413262465	36.667	131.667	7857.DSG_RAWD_HMS_18_35_ 0__DMY_ 2_ 9_15.wav	3.1156	0.0304	1	3	1	2		2
