Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes	false positive
4	Spectrogram 1	1	56.181625167	58.359859122	28.017	188.578	5006.DSG_RAWD_HMS_21_ 0_ 0__DMY_23_ 8_15.wav	2.1782	2.9336	1	3	2	2		2
14	Spectrogram 1	1	156.677714045	158.409959446	4.310	190.733	5015.DSG_RAWD_HMS_21_45_ 0__DMY_23_ 8_15.wav	1.7322	7.5833	1	3	2	2		2
15	Spectrogram 1	1	173.899984923	176.466035013	39.871	169.181	5017.DSG_RAWD_HMS_21_55_ 0__DMY_23_ 8_15.wav	2.5661	3.5064	1	3	2	2		2
17	Spectrogram 1	1	182.467502568	183.391797689	36.638	175.647	5018.DSG_RAWD_HMS_22_ 0_ 0__DMY_23_ 8_15.wav	0.9243	1.4243	1	2	2	2		1
18	Spectrogram 1	1	191.710464799	192.860985998	36.638	196.121	5019.DSG_RAWD_HMS_22_ 5_ 0__DMY_23_ 8_15.wav	1.1505	0.0177	1	3	1	2		1
20	Spectrogram 1	1	218.754180406	219.975801230	23.707	163.793	5021.DSG_RAWD_HMS_22_15_ 0__DMY_23_ 8_15.wav	1.2216	5.3526	1	2	2	2		1
21	Spectrogram 1	1	223.336881235	224.099586299	0.000	160.560	5021.DSG_RAWD_HMS_22_15_ 0__DMY_23_ 8_15.wav	0.7627	9.9353	1	2	2	2		1
25	Spectrogram 1	1	351.872084458	353.132486896	28.017	190.733	5034.DSG_RAWD_HMS_23_20_ 0__DMY_23_ 8_15.wav	1.2604	0.0257	1	2	1	2		1
31	Spectrogram 1	1	412.933761120	414.536734476	34.483	146.552	5039.DSG_RAWD_HMS_23_45_ 0__DMY_23_ 8_15.wav	1.6030	7.8394	1	3	2	2		1
45	Spectrogram 1	1	1264.035169534	1264.797874599	25.862	197.198	5119.DSG_RAWD_HMS_ 6_25_ 0__DMY_24_ 8_15.wav	0.7627	6.1536	1	3	2	2		1
51	Spectrogram 1	1	1546.559222639	1548.743920197	10.776	196.121	5146.DSG_RAWD_HMS_ 8_40_ 0__DMY_24_ 8_15.wav	2.1847	1.1384	1	3	2	2		1
52	Spectrogram 1	1	1619.934035306	1622.390204158	23.707	121.767	5152.DSG_RAWD_HMS_ 9_10_ 0__DMY_24_ 8_15.wav	2.4562	10.6156	1	3	1	2		2
53	Spectrogram 1	1	1631.652546173	1633.727362492	42.026	205.819	5154.DSG_RAWD_HMS_ 9_20_ 0__DMY_24_ 8_15.wav	2.0748	1.0349	1	2	2	2		2
57	Spectrogram 1	1	1873.578714539	1875.498404405	30.172	223.060	5176.DSG_RAWD_HMS_11_10_ 0__DMY_24_ 8_15.wav	1.9197	8.6699	1	2	2	2		1
58	Spectrogram 1	1	1911.429574706	1912.948521233	29.095	139.009	5180.DSG_RAWD_HMS_11_30_ 0__DMY_24_ 8_15.wav	1.5189	3.9224	1	3	2	2		1
61	Spectrogram 1	1	2226.297486155	2227.182999662	0.000	148.707	5209.DSG_RAWD_HMS_13_55_ 0__DMY_24_ 8_15.wav	0.8855	9.5423	1	3	2	2		1
74	Spectrogram 1	1	2536.569770758	2539.200456870	18.319	150.862	5239.DSG_RAWD_HMS_16_25_ 0__DMY_24_ 8_15.wav	2.6307	0.3266	1	3	2	2		1
1	Spectrogram 1	1	1.855053843	1.990789490	0.000	192.888	5001.DSG_RAWD_HMS_20_35_ 0__DMY_23_ 8_15.wav	0.1357	1.8551	3	2	2	2		2
2	Spectrogram 1	1	5.545770724	5.733215189	0.000	215.517	5001.DSG_RAWD_HMS_20_35_ 0__DMY_23_ 8_15.wav	0.1874	5.5458	3	2	2	2		2
3	Spectrogram 1	1	9.617835852	9.889311430	0.000	262.931	5001.DSG_RAWD_HMS_20_35_ 0__DMY_23_ 8_15.wav	0.2715	9.6178	3	1	2	2		2
5	Spectrogram 1	1	66.458754954	66.600954204	0.000	155.172	5007.DSG_RAWD_HMS_21_ 5_ 0__DMY_23_ 8_15.wav	0.1422	2.5612	3	2	2	2		2
6	Spectrogram 1	1	69.238103918	69.483720804	0.000	310.345	5007.DSG_RAWD_HMS_21_ 5_ 0__DMY_23_ 8_15.wav	0.2456	5.3405	3	1	2	2		2
7	Spectrogram 1	1	72.450512919	72.786620236	0.000	248.922	5007.DSG_RAWD_HMS_21_ 5_ 0__DMY_23_ 8_15.wav	0.3361	8.5529	3	1	2	2		2
8	Spectrogram 1	1	113.235841829	113.487922317	3.233	233.836	5011.DSG_RAWD_HMS_21_25_ 0__DMY_23_ 8_15.wav	0.2521	6.7398	3	1	2	2		2
