Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes	false positive
1	Spectrogram 1	1	306.294310976	306.431581322	0.000	184.564	6279.DSG_RAWD_HMS_ 0_20_ 0__DMY_ 2_10_15.wav	0.1373	7.6959	3	2	2	2		2
2	Spectrogram 1	1	455.689482998	455.911730225	0.000	240.143	6293.DSG_RAWD_HMS_ 1_30_ 0__DMY_ 2_10_15.wav	0.2222	7.9967	3	1	2	2		2
3	Spectrogram 1	1	554.203279869	554.739287889	38.800	140.520	6303.DSG_RAWD_HMS_ 2_20_ 0__DMY_ 2_10_15.wav	0.5360	0.0145	1	2	1	2		2
4	Spectrogram 1	1	656.253232818	658.096577472	54.530	143.666	6312.DSG_RAWD_HMS_ 3_ 5_ 0__DMY_ 2_10_15.wav	1.8433	6.2180	1	2	2	2		2
5	Spectrogram 1	1	784.992573418	785.162527181	0.000	166.737	6324.DSG_RAWD_HMS_ 4_ 5_ 0__DMY_ 2_10_15.wav	0.1700	7.1622	3	1	2	2		2
6	Spectrogram 1	1	785.665851785	785.875025647	0.000	295.721	6324.DSG_RAWD_HMS_ 4_ 5_ 0__DMY_ 2_10_15.wav	0.2092	7.8355	3	1	2	2		2
7	Spectrogram 1	1	1499.880034255	1501.246201038	48.238	142.617	6391.DSG_RAWD_HMS_ 9_40_ 0__DMY_ 2_10_15.wav	1.3662	7.7072	1	2	2	2		2
8	Spectrogram 1	1	1506.044103849	1507.978962068	46.141	137.374	6392.DSG_RAWD_HMS_ 9_45_ 0__DMY_ 2_10_15.wav	1.9349	3.2217	1	2	2	2		2
9	Spectrogram 1	1	1598.681554633	1599.910451069	36.703	141.569	6401.DSG_RAWD_HMS_10_30_ 0__DMY_ 2_10_15.wav	1.2289	0.0128	1	2	1	2		2
10	Spectrogram 1	1	1645.850045645	1645.967705942	0.000	227.559	6405.DSG_RAWD_HMS_10_50_ 0__DMY_ 2_10_15.wav	0.1177	4.5828	3	1	2	2		2
11	Spectrogram 1	1	1715.713819951	1715.798796832	1.049	203.440	6411.DSG_RAWD_HMS_11_20_ 0__DMY_ 2_10_15.wav	0.0850	10.5490	3	1	1	2		2
12	Spectrogram 1	1	1753.848653127	1755.267113376	53.482	149.958	6415.DSG_RAWD_HMS_11_40_ 0__DMY_ 2_10_15.wav	1.4185	6.0855	1	2	2	2		2
13	Spectrogram 1	1	1837.700856288	1837.857736684	0.000	322.987	6423.DSG_RAWD_HMS_12_20_ 0__DMY_ 2_10_15.wav	0.1569	4.3313	3	1	2	2		2
14	Spectrogram 1	1	1962.524804415	1964.158975208	62.919	140.520	6435.DSG_RAWD_HMS_13_20_ 0__DMY_ 2_10_15.wav	1.6342	1.3600	1	3	2	2		1
15	Spectrogram 1	1	2001.176033821	2003.751486990	50.336	192.953	6438.DSG_RAWD_HMS_13_35_ 0__DMY_ 2_10_15.wav	2.5755	8.0624	1	2	1	2		2
16	Spectrogram 1	1	2012.347180669	2013.608760521	34.606	149.958	6439.DSG_RAWD_HMS_13_40_ 0__DMY_ 2_10_15.wav	1.2616	8.5840	1	2	2	2		2
17	Spectrogram 1	1	2196.680532902	2197.778695675	78.649	173.029	6457.DSG_RAWD_HMS_15_10_ 0__DMY_ 2_10_15.wav	1.0982	1.2245	1	3	2	2		1
18	Spectrogram 1	1	2229.618673602	2229.749407266	0.000	157.299	6460.DSG_RAWD_HMS_15_25_ 0__DMY_ 2_10_15.wav	0.1307	2.2139	3	3	2	2		2
19	Spectrogram 1	1	2230.455369048	2230.573029346	0.000	137.374	6460.DSG_RAWD_HMS_15_25_ 0__DMY_ 2_10_15.wav	0.1177	3.0506	3	3	2	2		2
20	Spectrogram 1	1	2237.005078223	2237.122738520	0.000	194.002	6460.DSG_RAWD_HMS_15_25_ 0__DMY_ 2_10_15.wav	0.1177	9.6003	3	2	2	2		2
21	Spectrogram 1	1	2315.974246598	2317.114897811	46.141	143.666	6468.DSG_RAWD_HMS_16_ 5_ 0__DMY_ 2_10_15.wav	1.1407	3.3726	1	2	2	2		2
22	Spectrogram 1	1	2378.830571740	2379.026672235	0.000	297.819	6474.DSG_RAWD_HMS_16_35_ 0__DMY_ 2_10_15.wav	0.1961	2.3314	3	1	2	2		2
23	Spectrogram 1	1	2461.702109195	2464.741666870	16.779	166.737	6482.DSG_RAWD_HMS_17_15_ 0__DMY_ 2_10_15.wav	3.0396	0.0061	2	2	1	2		2
24	Spectrogram 1	1	2512.844785529	2514.956134193	32.508	187.710	6486.DSG_RAWD_HMS_17_35_ 0__DMY_ 2_10_15.wav	2.1113	8.5504	1	2	1	2		2
25	Spectrogram 1	1	2573.086457571	2577.590232276	17.827	147.861	6492.DSG_RAWD_HMS_18_ 5_ 0__DMY_ 2_10_15.wav	4.5038	4.8945	2	2	2	2		2
26	Spectrogram 1	1	2579.668865506	2584.682501498	17.827	164.639	6493.DSG_RAWD_HMS_18_10_ 0__DMY_ 2_10_15.wav	5.0136	0.8273	2	2	2	2		2
27	Spectrogram 1	1	2649.885456250	2652.970770707	46.141	146.812	6499.DSG_RAWD_HMS_18_40_ 0__DMY_ 2_10_15.wav	3.0853	7.1463	1	2	2	2		1
