Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	54.673	185.661	0251.DSG_RAWD_HMS_23_ 0_ 0__DMY_27_ 1_16.wav	5.7464	3.0975	7	3	2	2	
2	Spectrogram 1	1	31.893	184.522	0252.DSG_RAWD_HMS_23_ 5_ 0__DMY_27_ 1_16.wav	10.5683	0.0500	7	3	1	2	
3	Spectrogram 1	1	44.422	214.137	0253.DSG_RAWD_HMS_23_10_ 0__DMY_27_ 1_16.wav	10.5324	0.0760	7	3	1	2	
4	Spectrogram 1	1	33.032	206.164	0254.DSG_RAWD_HMS_23_15_ 0__DMY_27_ 1_16.wav	4.5720	6.0205	7	3	1	2	
5	Spectrogram 1	1	68.342	197.051	0255.DSG_RAWD_HMS_23_20_ 0__DMY_27_ 1_16.wav	7.6839	0.7864	7	3	2	2	
6	Spectrogram 1	1	29.615	199.329	0256.DSG_RAWD_HMS_23_25_ 0__DMY_27_ 1_16.wav	4.6318	5.9645	7	3	1	2	
7	Spectrogram 1	1	34.171	191.356	0257.DSG_RAWD_HMS_23_30_ 0__DMY_27_ 1_16.wav	10.5204	0.1023	7	3	1	2	
8	Spectrogram 1	1	34.171	186.800	0258.DSG_RAWD_HMS_23_35_ 0__DMY_27_ 1_16.wav	10.5563	0.0449	7	3	1	2	
9	Spectrogram 1	1	34.171	186.800	0259.DSG_RAWD_HMS_23_40_ 0__DMY_27_ 1_16.wav	10.4725	0.1003	7	3	1	2	
10	Spectrogram 1	1	33.032	185.661	0260.DSG_RAWD_HMS_23_45_ 0__DMY_27_ 1_16.wav	5.2901	0.0424	7	3	1	2	
11	Spectrogram 1	1	31.893	177.688	0260.DSG_RAWD_HMS_23_45_ 0__DMY_27_ 1_16.wav	4.3326	6.2722	7	3	1	2	
12	Spectrogram 1	1	36.449	171.993	0261.DSG_RAWD_HMS_23_50_ 0__DMY_27_ 1_16.wav	10.5563	0.0506	7	3	1	2	
13	Spectrogram 1	1	41.005	186.800	0262.DSG_RAWD_HMS_23_55_ 0__DMY_27_ 1_16.wav	10.4845	0.1063	7	3	1	2	
14	Spectrogram 1	1	33.032	174.271	0263.DSG_RAWD_HMS_ 0_ 0_ 0__DMY_28_ 1_16.wav	3.9736	2.0354	7	3	2	2	
