Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	22.702	292.105	1501.DSG_RAWD_HMS_22_25_ 0__DMY_24_ 7_16.wav	10.5973	0.0000	6	2	1	1	
2	Spectrogram 1	1	24.216	279.997	1502.DSG_RAWD_HMS_22_30_ 0__DMY_24_ 7_16.wav	10.5973	0.0225	6	1	1	1	
3	Spectrogram 1	1	31.783	283.024	1503.DSG_RAWD_HMS_22_35_ 0__DMY_24_ 7_16.wav	10.5973	0.0344	6	2	1	1	
4	Spectrogram 1	1	31.783	289.078	1504.DSG_RAWD_HMS_22_40_ 0__DMY_24_ 7_16.wav	10.5866	0.0355	6	2	1	1	
5	Spectrogram 1	1	30.270	292.105	1505.DSG_RAWD_HMS_22_45_ 0__DMY_24_ 7_16.wav	10.5545	0.0260	6	1	1	1	
6	Spectrogram 1	1	27.243	290.592	1506.DSG_RAWD_HMS_22_50_ 0__DMY_24_ 7_16.wav	10.5866	0.0485	6	2	1	1	
7	Spectrogram 1	1	40.864	335.997	1507.DSG_RAWD_HMS_22_55_ 0__DMY_24_ 7_16.wav	10.5331	0.0710	3	2	1	1	
8	Spectrogram 1	1	25.729	287.565	1508.DSG_RAWD_HMS_23_ 0_ 0__DMY_24_ 7_16.wav	10.5545	0.0615	6	1	1	1	
9	Spectrogram 1	1	25.729	219.457	1509.DSG_RAWD_HMS_23_ 5_ 0__DMY_24_ 7_16.wav	10.5866	0.0092	6	2	1	1	
10	Spectrogram 1	1	25.729	313.294	1510.DSG_RAWD_HMS_23_10_ 0__DMY_24_ 7_16.wav	10.5973	0.0317	6	1	1	1	
11	Spectrogram 1	1	33.297	316.321	1511.DSG_RAWD_HMS_23_15_ 0__DMY_24_ 7_16.wav	10.5010	0.0971	6	2	1	1	
12	Spectrogram 1	1	27.243	437.401	1513.DSG_RAWD_HMS_23_25_ 0__DMY_24_ 7_16.wav	10.5331	0.0940	6	1	1	1	
13	Spectrogram 1	1	19.675	228.538	1516.DSG_RAWD_HMS_23_40_ 0__DMY_24_ 7_16.wav	10.5759	0.0333	6	2	1	1	
14	Spectrogram 1	1	30.270	219.457	1517.DSG_RAWD_HMS_23_45_ 0__DMY_24_ 7_16.wav	10.6294	0.0010	6	3	1	1	
15	Spectrogram 1	1	24.216	187.674	1520.DSG_RAWD_HMS_ 0_ 0_ 0__DMY_25_ 7_16.wav	4.4485	2.4747	2	2	2	2	
16	Spectrogram 1	1	0.000	217.944	1530.DSG_RAWD_HMS_ 0_50_ 0__DMY_25_ 7_16.wav	0.2353	4.9873	3	1	2	2	
17	Spectrogram 1	1	0.000	189.187	1541.DSG_RAWD_HMS_ 1_45_ 0__DMY_25_ 7_16.wav	0.1497	6.2513	3	2	2	2	
18	Spectrogram 1	1	0.000	245.187	1541.DSG_RAWD_HMS_ 1_45_ 0__DMY_25_ 7_16.wav	0.1925	8.0158	3	2	2	2	
19	Spectrogram 1	1	30.270	155.890	1546.DSG_RAWD_HMS_ 2_10_ 0__DMY_25_ 7_16.wav	2.2136	3.8281	2	3	2	2	
20	Spectrogram 1	1	0.000	228.538	1557.DSG_RAWD_HMS_ 3_ 5_ 0__DMY_25_ 7_16.wav	0.1925	7.5691	3	2	2	2	
21	Spectrogram 1	1	1.513	225.511	1567.DSG_RAWD_HMS_ 3_55_ 0__DMY_25_ 7_16.wav	0.2673	8.5111	3	2	2	2	
22	Spectrogram 1	1	28.756	187.674	1569.DSG_RAWD_HMS_ 4_ 5_ 0__DMY_25_ 7_16.wav	3.2294	6.9949	1	2	2	2	
23	Spectrogram 1	1	6.054	192.214	1570.DSG_RAWD_HMS_ 4_10_ 0__DMY_25_ 7_16.wav	0.2780	1.7990	3	1	2	2	
24	Spectrogram 1	1	0.000	216.430	1573.DSG_RAWD_HMS_ 4_25_ 0__DMY_25_ 7_16.wav	0.2566	0.2626	3	3	2	2	
25	Spectrogram 1	1	0.000	174.052	1578.DSG_RAWD_HMS_ 4_50_ 0__DMY_25_ 7_16.wav	0.1711	9.2083	3	3	2	2	
26	Spectrogram 1	1	34.810	119.566	1578.DSG_RAWD_HMS_ 4_50_ 0__DMY_25_ 7_16.wav	2.7803	7.8288	1	3	1	2	
27	Spectrogram 1	1	0.000	178.593	1579.DSG_RAWD_HMS_ 4_55_ 0__DMY_25_ 7_16.wav	0.2353	2.5367	3	3	2	2	
28	Spectrogram 1	1	0.000	186.160	1581.DSG_RAWD_HMS_ 5_ 5_ 0__DMY_25_ 7_16.wav	0.2246	7.3404	3	3	2	2	
29	Spectrogram 1	1	37.837	155.890	1594.DSG_RAWD_HMS_ 6_10_ 0__DMY_25_ 7_16.wav	4.2560	6.3610	2	2	1	2	
