Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	calls overlap	call cutoff @ end	Notes
1	Waveform 1	1	0.000	186.736	2951.DSG_RAWD_HMS_21_30_ 0__DMY_28_11_15.wav	0.1455	4.7579	3	3	2	2	
1	Spectrogram 1	1	0.000	186.736	2951.DSG_RAWD_HMS_21_30_ 0__DMY_28_11_15.wav	0.1455	4.7579	3	3	2	2	
2	Waveform 1	1	0.000	199.185	2951.DSG_RAWD_HMS_21_30_ 0__DMY_28_11_15.wav	0.1626	8.4649	3	3	2	2	
2	Spectrogram 1	1	0.000	199.185	2951.DSG_RAWD_HMS_21_30_ 0__DMY_28_11_15.wav	0.1626	8.4649	3	3	2	2	
3	Waveform 1	1	37.347	133.827	2952.DSG_RAWD_HMS_21_35_ 0__DMY_28_11_15.wav	4.5012	2.6352	1	3	2	2	
3	Spectrogram 1	1	37.347	133.827	2952.DSG_RAWD_HMS_21_35_ 0__DMY_28_11_15.wav	4.5012	2.6352	1	3	2	2	
4	Waveform 1	1	49.796	185.180	2955.DSG_RAWD_HMS_21_50_ 0__DMY_28_11_15.wav	2.3704	3.7848	1	2	2	2	
4	Spectrogram 1	1	49.796	185.180	2955.DSG_RAWD_HMS_21_50_ 0__DMY_28_11_15.wav	2.3704	3.7848	1	2	2	2	
5	Waveform 1	1	45.128	119.822	2961.DSG_RAWD_HMS_22_20_ 0__DMY_28_11_15.wav	1.2066	1.9870	1	3	2	2	
5	Spectrogram 1	1	45.128	119.822	2961.DSG_RAWD_HMS_22_20_ 0__DMY_28_11_15.wav	1.2066	1.9870	1	3	2	2	
6	Waveform 1	1	0.000	210.078	2961.DSG_RAWD_HMS_22_20_ 0__DMY_28_11_15.wav	0.1797	8.6211	3	3	2	2	
6	Spectrogram 1	1	0.000	210.078	2961.DSG_RAWD_HMS_22_20_ 0__DMY_28_11_15.wav	0.1797	8.6211	3	3	2	2	
7	Waveform 1	1	124.491	371.916	2965.DSG_RAWD_HMS_22_40_ 0__DMY_28_11_15.wav	0.7702	2.0236	8	3	2	2	
7	Spectrogram 1	1	124.491	371.916	2965.DSG_RAWD_HMS_22_40_ 0__DMY_28_11_15.wav	0.7702	2.0236	8	3	2	2	
8	Waveform 1	1	0.000	259.874	2969.DSG_RAWD_HMS_23_ 0_ 0__DMY_28_11_15.wav	0.1540	4.7729	3	3	2	2	
8	Spectrogram 1	1	0.000	259.874	2969.DSG_RAWD_HMS_23_ 0_ 0__DMY_28_11_15.wav	0.1540	4.7729	3	3	2	2	
9	Waveform 1	1	0.000	253.650	2976.DSG_RAWD_HMS_23_35_ 0__DMY_28_11_15.wav	0.2139	1.0039	3	2	2	2	
9	Spectrogram 1	1	0.000	253.650	2976.DSG_RAWD_HMS_23_35_ 0__DMY_28_11_15.wav	0.2139	1.0039	3	2	2	2	
10	Waveform 1	1	0.000	161.838	2989.DSG_RAWD_HMS_ 0_40_ 0__DMY_29_11_15.wav	0.1626	5.3235	3	3	2	2	
10	Spectrogram 1	1	0.000	161.838	2989.DSG_RAWD_HMS_ 0_40_ 0__DMY_29_11_15.wav	0.1626	5.3235	3	3	2	2	
