Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	0.0	284.5	1010.DSG_RAWD_HMS_ 5_30_ 0__DMY_23_ 7_16.wav	0.3100	2.8779	3	1	2	2	
2	Spectrogram 1	1	0.0	209.3	1015.DSG_RAWD_HMS_ 5_55_ 0__DMY_23_ 7_16.wav	0.3955	1.0393	3	2	2	2	
3	Spectrogram 1	1	0.0	171.8	1016.DSG_RAWD_HMS_ 6_ 0_ 0__DMY_23_ 7_16.wav	0.1604	5.0674	3	3	2	2	
4	Spectrogram 1	1	39.4	175.3	1030.DSG_RAWD_HMS_ 7_10_ 0__DMY_23_ 7_16.wav	2.5122	1.0610	2	3	2	2	
5	Spectrogram 1	1	32.2	187.9	1038.DSG_RAWD_HMS_ 7_50_ 0__DMY_23_ 7_16.wav	2.9719	5.3141	1	3	2	2	
6	Spectrogram 1	1	34.0	137.8	1042.DSG_RAWD_HMS_ 8_10_ 0__DMY_23_ 7_16.wav	2.4374	8.1813	1	3	1	2	
7	Spectrogram 1	1	25.0	186.1	1044.DSG_RAWD_HMS_ 8_20_ 0__DMY_23_ 7_16.wav	3.1536	1.9233	2	1	2	2	
8	Spectrogram 1	1	26.8	182.5	1049.DSG_RAWD_HMS_ 8_45_ 0__DMY_23_ 7_16.wav	1.1545	9.4804	1	1	1	2	
9	Spectrogram 1	1	0.0	230.8	1050.DSG_RAWD_HMS_ 8_50_ 0__DMY_23_ 7_16.wav	0.2459	1.3216	3	2	2	2	
10	Spectrogram 1	1	0.0	187.9	1050.DSG_RAWD_HMS_ 8_50_ 0__DMY_23_ 7_16.wav	0.2886	2.0806	3	2	2	2	
11	Spectrogram 1	1	19.7	300.6	1062.DSG_RAWD_HMS_ 9_50_ 0__DMY_23_ 7_16.wav	1.7853	8.8716	1	1	1	2	
12	Spectrogram 1	1	0.0	300.6	1063.DSG_RAWD_HMS_ 9_55_ 0__DMY_23_ 7_16.wav	0.3100	9.3933	3	1	2	2	
13	Spectrogram 1	1	0.0	336.4	1063.DSG_RAWD_HMS_ 9_55_ 0__DMY_23_ 7_16.wav	0.4062	10.0560	3	1	2	2	
14	Spectrogram 1	1	23.3	229.0	1064.DSG_RAWD_HMS_10_ 0_ 0__DMY_23_ 7_16.wav	4.8213	5.8126	1	3	1	2	
15	Spectrogram 1	1	0.0	239.8	1066.DSG_RAWD_HMS_10_10_ 0__DMY_23_ 7_16.wav	0.3635	1.7966	3	1	2	2	
16	Spectrogram 1	1	0.0	273.8	1075.DSG_RAWD_HMS_10_55_ 0__DMY_23_ 7_16.wav	0.3207	7.8541	3	1	2	2	
