Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	38.727	201.607	1751.DSG_RAWD_HMS_ 4_ 0_ 0__DMY_ 2_ 2_16.wav	10.5340	0.0599	7	3	1	2	
2	Spectrogram 1	1	48.978	227.805	1752.DSG_RAWD_HMS_ 4_ 5_ 0__DMY_ 2_ 2_16.wav	10.5340	0.0400	7	3	1	2	
3	Spectrogram 1	1	50.117	227.805	1753.DSG_RAWD_HMS_ 4_10_ 0__DMY_ 2_ 2_16.wav	3.3637	0.0680	7	3	1	2	
4	Spectrogram 1	1	43.283	226.666	1753.DSG_RAWD_HMS_ 4_10_ 0__DMY_ 2_ 2_16.wav	6.9907	3.5873	7	3	1	2	
5	Spectrogram 1	1	36.449	223.249	1754.DSG_RAWD_HMS_ 4_15_ 0__DMY_ 2_ 2_16.wav	10.4502	0.1200	7	3	1	2	
6	Spectrogram 1	1	43.283	218.693	1755.DSG_RAWD_HMS_ 4_20_ 0__DMY_ 2_ 2_16.wav	1.1970	0.0523	7	3	1	2	
7	Spectrogram 1	1	28.476	214.137	1755.DSG_RAWD_HMS_ 4_20_ 0__DMY_ 2_ 2_16.wav	3.6630	1.4408	7	3	2	2	
8	Spectrogram 1	1	41.005	218.693	1755.DSG_RAWD_HMS_ 4_20_ 0__DMY_ 2_ 2_16.wav	4.2495	6.3487	7	3	1	2	
9	Spectrogram 1	1	52.395	215.276	1756.DSG_RAWD_HMS_ 4_25_ 0__DMY_ 2_ 2_16.wav	3.6630	0.1042	7	3	1	2	
10	Spectrogram 1	1	54.673	214.137	1756.DSG_RAWD_HMS_ 4_25_ 0__DMY_ 2_ 2_16.wav	1.4245	3.9228	7	3	2	2	
11	Spectrogram 1	1	46.700	211.859	1756.DSG_RAWD_HMS_ 4_25_ 0__DMY_ 2_ 2_16.wav	5.0515	5.5508	7	3	1	2	
12	Spectrogram 1	1	43.283	209.581	1757.DSG_RAWD_HMS_ 4_30_ 0__DMY_ 2_ 2_16.wav	2.5976	0.0605	7	3	1	2	
13	Spectrogram 1	1	34.171	207.303	1757.DSG_RAWD_HMS_ 4_30_ 0__DMY_ 2_ 2_16.wav	4.7762	2.8615	7	3	2	2	
14	Spectrogram 1	1	34.171	203.885	1757.DSG_RAWD_HMS_ 4_30_ 0__DMY_ 2_ 2_16.wav	2.4180	8.1644	7	3	1	2	
15	Spectrogram 1	1	45.561	195.912	1758.DSG_RAWD_HMS_ 4_35_ 0__DMY_ 2_ 2_16.wav	4.1657	0.8785	7	3	2	2	
