Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	calls overlap	call cutoff @ end	Notes
1	Waveform 1	1	0.000	150.945	2761.DSG_RAWD_HMS_22_55_ 0__DMY_ 1_ 1_16.wav	0.1814	4.8814	3	2	2	2	
1	Spectrogram 1	1	0.000	150.945	2761.DSG_RAWD_HMS_22_55_ 0__DMY_ 1_ 1_16.wav	0.1814	4.8814	3	2	2	2	
2	Waveform 1	1	31.123	189.848	2761.DSG_RAWD_HMS_22_55_ 0__DMY_ 1_ 1_16.wav	3.5492	6.2326	1	2	2	2	
2	Spectrogram 1	1	31.123	189.848	2761.DSG_RAWD_HMS_22_55_ 0__DMY_ 1_ 1_16.wav	3.5492	6.2326	1	2	2	2	
3	Waveform 1	1	7.781	154.057	2780.DSG_RAWD_HMS_ 0_30_ 0__DMY_ 2_ 1_16.wav	0.1710	8.7702	3	2	2	2	
3	Spectrogram 1	1	7.781	154.057	2780.DSG_RAWD_HMS_ 0_30_ 0__DMY_ 2_ 1_16.wav	0.1710	8.7702	3	2	2	2	
4	Waveform 1	1	0.000	180.511	2785.DSG_RAWD_HMS_ 0_55_ 0__DMY_ 2_ 1_16.wav	0.1663	1.1517	3	2	2	2	
4	Spectrogram 1	1	0.000	180.511	2785.DSG_RAWD_HMS_ 0_55_ 0__DMY_ 2_ 1_16.wav	0.1663	1.1517	3	2	2	2	
5	Waveform 1	1	0.000	144.720	2837.DSG_RAWD_HMS_ 5_15_ 0__DMY_ 2_ 1_16.wav	0.1209	3.8765	3	2	2	2	
5	Spectrogram 1	1	0.000	144.720	2837.DSG_RAWD_HMS_ 5_15_ 0__DMY_ 2_ 1_16.wav	0.1209	3.8765	3	2	2	2	
6	Waveform 1	1	54.465	144.720	2910.DSG_RAWD_HMS_11_20_ 0__DMY_ 2_ 1_16.wav	5.4520	2.4985	1	3	2	2	
6	Spectrogram 1	1	54.465	144.720	2910.DSG_RAWD_HMS_11_20_ 0__DMY_ 2_ 1_16.wav	5.4520	2.4985	1	3	2	2	
7	Waveform 1	1	70.026	163.394	2926.DSG_RAWD_HMS_12_40_ 0__DMY_ 2_ 1_16.wav	4.2761	6.3452	1	3	2	1	
7	Spectrogram 1	1	70.026	163.394	2926.DSG_RAWD_HMS_12_40_ 0__DMY_ 2_ 1_16.wav	4.2761	6.3452	1	3	2	1	
8	Waveform 1	1	0.000	118.266	2952.DSG_RAWD_HMS_14_50_ 0__DMY_ 2_ 1_16.wav	0.1512	6.0844	3	3	2	2	
8	Spectrogram 1	1	0.000	118.266	2952.DSG_RAWD_HMS_14_50_ 0__DMY_ 2_ 1_16.wav	0.1512	6.0844	3	3	2	2	
9	Waveform 1	1	34.235	141.608	2956.DSG_RAWD_HMS_15_10_ 0__DMY_ 2_ 1_16.wav	3.7418	6.1270	1	3	2	2	
9	Spectrogram 1	1	34.235	141.608	2956.DSG_RAWD_HMS_15_10_ 0__DMY_ 2_ 1_16.wav	3.7418	6.1270	1	3	2	2	
10	Waveform 1	1	0.000	188.292	2959.DSG_RAWD_HMS_15_25_ 0__DMY_ 2_ 1_16.wav	0.1209	3.6513	3	2	2	2	
10	Spectrogram 1	1	0.000	188.292	2959.DSG_RAWD_HMS_15_25_ 0__DMY_ 2_ 1_16.wav	0.1209	3.6513	3	2	2	2	
11	Waveform 1	1	0.000	119.822	2963.DSG_RAWD_HMS_15_45_ 0__DMY_ 2_ 1_16.wav	0.1436	1.0747	3	3	2	2	
11	Spectrogram 1	1	0.000	119.822	2963.DSG_RAWD_HMS_15_45_ 0__DMY_ 2_ 1_16.wav	0.1436	1.0747	3	3	2	2	
12	Waveform 1	1	37.347	164.950	2965.DSG_RAWD_HMS_15_55_ 0__DMY_ 2_ 1_16.wav	2.1317	1.1830	1	3	2	2	
12	Spectrogram 1	1	37.347	164.950	2965.DSG_RAWD_HMS_15_55_ 0__DMY_ 2_ 1_16.wav	2.1317	1.1830	1	3	2	2	
