Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	52.4	195.9	0001.DSG_RAWD_HMS_ 2_10_ 0__DMY_27_ 1_16.wav	5.2023	0.0718	7	3	2	2	
2	Spectrogram 1	1	43.3	195.9	0003.DSG_RAWD_HMS_ 2_20_ 0__DMY_27_ 1_16.wav	10.5721	0.0416	7	3	1	2	
3	Spectrogram 1	1	46.7	191.4	0004.DSG_RAWD_HMS_ 2_25_ 0__DMY_27_ 1_16.wav	4.1858	0.0294	7	3	1	2	
4	Spectrogram 1	1	0.0	200.5	0004.DSG_RAWD_HMS_ 2_25_ 0__DMY_27_ 1_16.wav	0.1196	4.5979	7	3	2	2	
5	Spectrogram 1	1	34.2	226.7	0005.DSG_RAWD_HMS_ 2_30_ 0__DMY_27_ 1_16.wav	6.4102	1.4107	7	3	2	2	
6	Spectrogram 1	1	36.4	209.6	0006.DSG_RAWD_HMS_ 2_35_ 0__DMY_27_ 1_16.wav	7.5344	0.0949	7	3	2	2	
7	Spectrogram 1	1	298.0	472.0	0005.DSG_RAWD_HMS_ 2_30_ 0__DMY_27_ 1_16.wav	1.3700	1.2422	8	2	2	2	
8	Spectrogram 1	1	49.9	212.6	0007.DSG_RAWD_HMS_ 2_40_ 0__DMY_27_ 1_16.wav	6.6976	0.1828	7	3	2	2	
9	Spectrogram 1	1	48.3	240.0	0008.DSG_RAWD_HMS_ 2_45_ 0__DMY_27_ 1_16.wav	6.6807	1.2699	7	3	2	2	
10	Spectrogram 1	1	41.9	236.8	0009.DSG_RAWD_HMS_ 2_50_ 0__DMY_27_ 1_16.wav	8.2875	0.8528	7	3	2	2	
11	Spectrogram 1	1	46.7	219.1	0010.DSG_RAWD_HMS_ 2_55_ 0__DMY_27_ 1_16.wav	6.0887	2.9712	7	3	2	2	
12	Spectrogram 1	1	53.2	211.0	0011.DSG_RAWD_HMS_ 3_ 0_ 0__DMY_27_ 1_16.wav	5.1247	0.4224	7	3	2	2	
13	Spectrogram 1	1	43.5	243.2	0015.DSG_RAWD_HMS_ 3_20_ 0__DMY_27_ 1_16.wav	5.9365	0.5784	7	3	2	2	
14	Spectrogram 1	1	46.7	204.6	0016.DSG_RAWD_HMS_ 3_25_ 0__DMY_27_ 1_16.wav	3.2473	6.3667	7	3	2	2	
15	Spectrogram 1	1	45.1	214.2	0020.DSG_RAWD_HMS_ 3_45_ 0__DMY_27_ 1_16.wav	6.1564	0.8400	7	3	2	2	
16	Spectrogram 1	1	43.5	232.0	0022.DSG_RAWD_HMS_ 3_55_ 0__DMY_27_ 1_16.wav	6.3594	1.9663	7	3	2	2	
17	Spectrogram 1	1	45.1	230.3	0024.DSG_RAWD_HMS_ 4_ 5_ 0__DMY_27_ 1_16.wav	6.4439	1.0460	7	3	2	2	
18	Spectrogram 1	1	48.3	223.9	0026.DSG_RAWD_HMS_ 4_15_ 0__DMY_27_ 1_16.wav	4.6511	5.9437	7	3	1	2	
19	Spectrogram 1	1	51.5	232.0	0027.DSG_RAWD_HMS_ 4_20_ 0__DMY_27_ 1_16.wav	4.6680	1.3483	7	3	2	2	
20	Spectrogram 1	1	46.7	198.1	0029.DSG_RAWD_HMS_ 4_30_ 0__DMY_27_ 1_16.wav	4.4313	4.3691	7	3	2	2	
21	Spectrogram 1	1	43.5	203.0	0031.DSG_RAWD_HMS_ 4_40_ 0__DMY_27_ 1_16.wav	4.9894	4.7679	7	3	2	2	
22	Spectrogram 1	1	49.9	207.8	0032.DSG_RAWD_HMS_ 4_45_ 0__DMY_27_ 1_16.wav	6.3086	0.5115	7	3	2	2	
23	Spectrogram 1	1	38.7	212.6	0034.DSG_RAWD_HMS_ 4_55_ 0__DMY_27_ 1_16.wav	4.7695	3.1761	7	3	2	2	
24	Spectrogram 1	1	27.4	244.8	0036.DSG_RAWD_HMS_ 5_ 5_ 0__DMY_27_ 1_16.wav	4.7019	4.1841	7	3	2	2	
25	Spectrogram 1	1	38.7	244.8	0037.DSG_RAWD_HMS_ 5_10_ 0__DMY_27_ 1_16.wav	4.4989	0.8240	7	3	2	2	
26	Spectrogram 1	1	53.2	175.6	0039.DSG_RAWD_HMS_ 5_20_ 0__DMY_27_ 1_16.wav	5.2769	0.2097	7	3	2	2	
27	Spectrogram 1	1	32.2	198.1	0040.DSG_RAWD_HMS_ 5_25_ 0__DMY_27_ 1_16.wav	5.8858	0.6527	7	3	2	2	
28	Spectrogram 1	1	49.9	149.8	0041.DSG_RAWD_HMS_ 5_30_ 0__DMY_27_ 1_16.wav	5.5637	5.0211	7	3	1	2	
29	Spectrogram 1	1	37.0	167.5	0042.DSG_RAWD_HMS_ 5_35_ 0__DMY_27_ 1_16.wav	5.9365	2.3199	7	3	2	2	
30	Spectrogram 1	1	48.3	198.1	0050.DSG_RAWD_HMS_ 6_15_ 0__DMY_27_ 1_16.wav	4.8033	5.6246	7	3	2	2	
31	Spectrogram 1	1	53.2	198.1	0053.DSG_RAWD_HMS_ 6_30_ 0__DMY_27_ 1_16.wav	6.0887	4.4724	7	3	2	2	
32	Spectrogram 1	1	59.6	240.0	0055.DSG_RAWD_HMS_ 6_40_ 0__DMY_27_ 1_16.wav	5.5644	0.0694	7	3	1	2	
33	Spectrogram 1	1	35.4	194.9	0058.DSG_RAWD_HMS_ 6_55_ 0__DMY_27_ 1_16.wav	5.8858	1.1995	7	3	2	2	
34	Spectrogram 1	1	38.7	212.6	0059.DSG_RAWD_HMS_ 7_ 0_ 0__DMY_27_ 1_16.wav	7.4756	0.7485	7	3	2	2	
35	Spectrogram 1	1	40.3	175.6	0060.DSG_RAWD_HMS_ 7_ 5_ 0__DMY_27_ 1_16.wav	6.0211	0.7542	7	3	2	2	
