Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	42.144	178.827	2751.DSG_RAWD_HMS_15_20_ 0__DMY_ 5_ 2_16.wav	1.8426	0.0957	7	3	1	2	
2	Spectrogram 1	1	60.368	173.132	2751.DSG_RAWD_HMS_15_20_ 0__DMY_ 5_ 2_16.wav	2.7998	2.0819	7	3	2	2	
3	Spectrogram 1	1	30.754	168.576	2751.DSG_RAWD_HMS_15_20_ 0__DMY_ 5_ 2_16.wav	3.4579	5.1210	7	3	2	2	
4	Spectrogram 1	1	37.588	164.020	2751.DSG_RAWD_HMS_15_20_ 0__DMY_ 5_ 2_16.wav	1.7947	8.8062	7	3	1	2	
5	Spectrogram 1	1	39.866	166.298	2752.DSG_RAWD_HMS_15_25_ 0__DMY_ 5_ 2_16.wav	10.4334	0.0829	7	3	1	2	
6	Spectrogram 1	1	41.005	164.020	2753.DSG_RAWD_HMS_15_30_ 0__DMY_ 5_ 2_16.wav	6.1380	0.1173	7	3	1	2	
7	Spectrogram 1	1	44.422	161.742	2753.DSG_RAWD_HMS_15_30_ 0__DMY_ 5_ 2_16.wav	1.3640	6.4109	7	3	2	2	
8	Spectrogram 1	1	41.005	175.410	2754.DSG_RAWD_HMS_15_35_ 0__DMY_ 5_ 2_16.wav	5.2047	2.7009	7	3	2	2	
9	Spectrogram 1	1	31.893	160.603	2755.DSG_RAWD_HMS_15_40_ 0__DMY_ 5_ 2_16.wav	3.2904	6.4741	7	3	2	2	
10	Spectrogram 1	1	30.754	179.966	2755.DSG_RAWD_HMS_15_40_ 0__DMY_ 5_ 2_16.wav	0.5743	9.9798	7	3	1	2	
11	Spectrogram 1	1	44.422	176.549	2756.DSG_RAWD_HMS_15_45_ 0__DMY_ 5_ 2_16.wav	6.3175	0.0479	7	3	1	2	
12	Spectrogram 1	1	42.144	165.159	2756.DSG_RAWD_HMS_15_45_ 0__DMY_ 5_ 2_16.wav	3.4100	7.1312	7	3	1	2	
13	Spectrogram 1	1	47.839	194.773	2757.DSG_RAWD_HMS_15_50_ 0__DMY_ 5_ 2_16.wav	8.6985	1.9256	7	3	1	2	
14	Spectrogram 1	1	42.144	192.495	2758.DSG_RAWD_HMS_15_55_ 0__DMY_ 5_ 2_16.wav	9.1532	0.1231	7	3	1	2	
15	Spectrogram 1	1	43.283	190.217	2758.DSG_RAWD_HMS_15_55_ 0__DMY_ 5_ 2_16.wav	1.1127	9.4917	7	3	1	2	
16	Spectrogram 1	1	50.117	190.217	2759.DSG_RAWD_HMS_16_ 0_ 0__DMY_ 5_ 2_16.wav	4.8817	0.1343	7	3	1	2	
17	Spectrogram 1	1	44.422	199.329	2759.DSG_RAWD_HMS_16_ 0_ 0__DMY_ 5_ 2_16.wav	5.2167	5.3869	7	3	1	2	
18	Spectrogram 1	1	31.893	189.078	2760.DSG_RAWD_HMS_16_ 5_ 0__DMY_ 5_ 2_16.wav	6.2936	4.2485	7	3	1	2	
19	Spectrogram 1	1	36.449	170.854	2761.DSG_RAWD_HMS_16_10_ 0__DMY_ 5_ 2_16.wav	10.4454	0.1434	7	3	1	2	
20	Spectrogram 1	1	31.893	191.356	2762.DSG_RAWD_HMS_16_15_ 0__DMY_ 5_ 2_16.wav	2.0939	2.0684	7	3	2	2	
21	Spectrogram 1	1	36.449	194.773	2762.DSG_RAWD_HMS_16_15_ 0__DMY_ 5_ 2_16.wav	5.4201	4.3657	7	3	2	2	
22	Spectrogram 1	1	43.283	191.356	2762.DSG_RAWD_HMS_16_15_ 0__DMY_ 5_ 2_16.wav	0.6581	9.9054	7	3	1	2	
23	Spectrogram 1	1	37.588	198.190	2763.DSG_RAWD_HMS_16_20_ 0__DMY_ 5_ 2_16.wav	5.1210	3.8918	7	3	2	2	
24	Spectrogram 1	1	36.449	205.025	2764.DSG_RAWD_HMS_16_25_ 0__DMY_ 5_ 2_16.wav	2.4887	0.1101	7	3	1	2	
25	Spectrogram 1	1	46.700	209.581	2764.DSG_RAWD_HMS_16_25_ 0__DMY_ 5_ 2_16.wav	2.5126	8.0962	7	3	1	2	
26	Spectrogram 1	1	45.561	205.025	2765.DSG_RAWD_HMS_16_30_ 0__DMY_ 5_ 2_16.wav	3.7809	0.0668	7	3	1	2	
27	Spectrogram 1	1	50.117	198.190	2765.DSG_RAWD_HMS_16_30_ 0__DMY_ 5_ 2_16.wav	5.5996	4.1166	7	3	2	2	
28	Spectrogram 1	1	47.839	197.051	2765.DSG_RAWD_HMS_16_30_ 0__DMY_ 5_ 2_16.wav	0.6700	9.8957	7	3	1	2	
29	Spectrogram 1	1	41.005	168.576	2766.DSG_RAWD_HMS_16_35_ 0__DMY_ 5_ 2_16.wav	10.5172	0.0653	7	3	1	2	
30	Spectrogram 1	1	34.171	192.495	2767.DSG_RAWD_HMS_16_40_ 0__DMY_ 5_ 2_16.wav	2.6323	0.0702	7	3	1	2	
31	Spectrogram 1	1	33.032	189.078	2767.DSG_RAWD_HMS_16_40_ 0__DMY_ 5_ 2_16.wav	7.7652	2.7982	7	3	1	2	
32	Spectrogram 1	1	35.310	187.939	2768.DSG_RAWD_HMS_16_45_ 0__DMY_ 5_ 2_16.wav	7.5618	1.5226	7	3	2	2	
33	Spectrogram 1	1	38.727	186.800	2768.DSG_RAWD_HMS_16_45_ 0__DMY_ 5_ 2_16.wav	1.2204	9.3597	7	3	1	2	
34	Spectrogram 1	1	43.283	186.800	2769.DSG_RAWD_HMS_16_50_ 0__DMY_ 5_ 2_16.wav	10.4574	0.0618	7	3	1	2	
