Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	calls overlap	call cutoff @ end	Notes
1	Waveform 1	1	52.909	172.731	6770.DSG_RAWD_HMS_ 8_30_ 0__DMY_26_ 3_16.wav	2.9300	6.0727	1	3	2	2	
1	Spectrogram 1	1	52.909	172.731	6770.DSG_RAWD_HMS_ 8_30_ 0__DMY_26_ 3_16.wav	2.9300	6.0727	1	3	2	2	
2	Waveform 1	1	0.000	129.159	6777.DSG_RAWD_HMS_ 9_ 5_ 0__DMY_26_ 3_16.wav	0.1604	4.9226	3	3	2	2	
2	Spectrogram 1	1	0.000	129.159	6777.DSG_RAWD_HMS_ 9_ 5_ 0__DMY_26_ 3_16.wav	0.1604	4.9226	3	3	2	2	
3	Waveform 1	1	0.000	188.292	6787.DSG_RAWD_HMS_ 9_55_ 0__DMY_26_ 3_16.wav	0.2887	8.0238	3	2	2	2	
3	Spectrogram 1	1	0.000	188.292	6787.DSG_RAWD_HMS_ 9_55_ 0__DMY_26_ 3_16.wav	0.2887	8.0238	3	2	2	2	
4	Waveform 1	1	60.689	180.511	6795.DSG_RAWD_HMS_10_35_ 0__DMY_26_ 3_16.wav	2.5664	1.1135	1	3	2	2	
4	Spectrogram 1	1	60.689	180.511	6795.DSG_RAWD_HMS_10_35_ 0__DMY_26_ 3_16.wav	2.5664	1.1135	1	3	2	2	
5	Waveform 1	1	0.000	169.618	6799.DSG_RAWD_HMS_10_55_ 0__DMY_26_ 3_16.wav	0.1497	8.2771	3	2	2	2	
5	Spectrogram 1	1	0.000	169.618	6799.DSG_RAWD_HMS_10_55_ 0__DMY_26_ 3_16.wav	0.1497	8.2771	3	2	2	2	
6	Waveform 1	1	0.000	150.945	6819.DSG_RAWD_HMS_12_35_ 0__DMY_26_ 3_16.wav	0.1283	1.2321	3	3	2	2	
6	Spectrogram 1	1	0.000	150.945	6819.DSG_RAWD_HMS_12_35_ 0__DMY_26_ 3_16.wav	0.1283	1.2321	3	3	2	2	
