Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	24.216	186.160	1251.DSG_RAWD_HMS_ 1_35_ 0__DMY_24_ 7_16.wav	4.6438	0.7918	2	2	2	2	
2	Spectrogram 1	1	0.000	189.187	1252.DSG_RAWD_HMS_ 1_40_ 0__DMY_24_ 7_16.wav	0.2354	9.7662	3	1	2	2	
3	Spectrogram 1	1	0.000	195.241	1268.DSG_RAWD_HMS_ 3_ 0_ 0__DMY_24_ 7_16.wav	0.3424	6.8899	3	2	2	2	
4	Spectrogram 1	1	0.000	180.106	1272.DSG_RAWD_HMS_ 3_20_ 0__DMY_24_ 7_16.wav	0.3424	5.9043	3	2	2	2	
5	Spectrogram 1	1	0.000	243.673	1314.DSG_RAWD_HMS_ 6_50_ 0__DMY_24_ 7_16.wav	0.3745	3.3098	3	2	2	2	
6	Spectrogram 1	1	19.675	311.781	1353.DSG_RAWD_HMS_10_ 5_ 0__DMY_24_ 7_16.wav	6.6127	3.0895	2	1	2	2	
7	Spectrogram 1	1	25.729	217.944	1357.DSG_RAWD_HMS_10_25_ 0__DMY_24_ 7_16.wav	3.6059	4.7574	1	3	2	2	
8	Spectrogram 1	1	0.000	254.268	1358.DSG_RAWD_HMS_10_30_ 0__DMY_24_ 7_16.wav	0.2461	10.1794	3	1	2	2	
9	Spectrogram 1	1	0.000	258.808	1358.DSG_RAWD_HMS_10_30_ 0__DMY_24_ 7_16.wav	0.1605	10.4469	3	1	2	2	
10	Spectrogram 1	1	25.729	223.998	1359.DSG_RAWD_HMS_10_35_ 0__DMY_24_ 7_16.wav	6.1847	2.1727	2	2	2	2	
11	Spectrogram 1	1	19.675	186.160	1365.DSG_RAWD_HMS_11_ 5_ 0__DMY_24_ 7_16.wav	4.7080	2.0126	1	2	2	2	
12	Spectrogram 1	1	31.783	149.836	1376.DSG_RAWD_HMS_12_ 0_ 0__DMY_24_ 7_16.wav	2.8248	7.8005	1	2	1	2	
13	Spectrogram 1	1	0.000	167.998	1386.DSG_RAWD_HMS_12_50_ 0__DMY_24_ 7_16.wav	0.3103	6.8077	3	1	2	2	
14	Spectrogram 1	1	0.000	249.727	1388.DSG_RAWD_HMS_13_ 0_ 0__DMY_24_ 7_16.wav	0.2140	7.2939	3	1	2	2	
15	Spectrogram 1	1	34.810	183.133	1405.DSG_RAWD_HMS_14_25_ 0__DMY_24_ 7_16.wav	4.7187	5.9240	1	2	1	2	
16	Spectrogram 1	1	13.621	127.134	1432.DSG_RAWD_HMS_16_40_ 0__DMY_24_ 7_16.wav	3.1672	0.0119	2	3	1	2	
17	Spectrogram 1	1	0.000	289.078	1432.DSG_RAWD_HMS_16_40_ 0__DMY_24_ 7_16.wav	0.2247	7.7695	3	2	2	1	
18	Spectrogram 1	1	31.783	124.107	1432.DSG_RAWD_HMS_16_40_ 0__DMY_24_ 7_16.wav	3.8306	6.8065	1	3	1	1	
19	Spectrogram 1	1	19.675	227.025	1433.DSG_RAWD_HMS_16_45_ 0__DMY_24_ 7_16.wav	3.1137	7.5097	2	3	1	2	
20	Spectrogram 1	1	0.000	192.214	1434.DSG_RAWD_HMS_16_50_ 0__DMY_24_ 7_16.wav	0.2247	8.8442	3	2	2	2	
21	Spectrogram 1	1	33.297	190.701	1436.DSG_RAWD_HMS_17_ 0_ 0__DMY_24_ 7_16.wav	4.4512	2.1828	1	3	2	2	
22	Spectrogram 1	1	39.351	189.187	1441.DSG_RAWD_HMS_17_25_ 0__DMY_24_ 7_16.wav	5.4571	0.6775	1	3	2	2	
23	Spectrogram 1	1	18.162	275.457	1449.DSG_RAWD_HMS_18_ 5_ 0__DMY_24_ 7_16.wav	4.0446	1.5951	2	1	2	2	
24	Spectrogram 1	1	28.756	196.755	1454.DSG_RAWD_HMS_18_30_ 0__DMY_24_ 7_16.wav	10.5931	0.0393	6	3	1	1	
25	Spectrogram 1	1	40.864	166.485	1460.DSG_RAWD_HMS_19_ 0_ 0__DMY_24_ 7_16.wav	3.8948	0.0427	1	2	1	2	
26	Spectrogram 1	1	45.405	184.647	1462.DSG_RAWD_HMS_19_10_ 0__DMY_24_ 7_16.wav	4.0018	6.6387	1	2	1	1	
27	Spectrogram 1	1	0.000	286.051	1462.DSG_RAWD_HMS_19_10_ 0__DMY_24_ 7_16.wav	0.1819	9.5170	3	2	2	1	
28	Spectrogram 1	1	22.702	193.728	1464.DSG_RAWD_HMS_19_20_ 0__DMY_24_ 7_16.wav	4.2158	0.0200	1	2	1	2	
