Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	31.893	159.464	8003.DSG_RAWD_HMS_21_ 0_ 0__DMY_23_ 2_16.wav	10.5004	0.0955	7	3	1	2	
2	Spectrogram 1	1	31.893	173.132	8011.DSG_RAWD_HMS_21_40_ 0__DMY_23_ 2_16.wav	6.3624	2.3304	7	3	2	2	
3	Spectrogram 1	1	29.615	199.329	8012.DSG_RAWD_HMS_21_45_ 0__DMY_23_ 2_16.wav	3.2290	0.0883	7	3	1	2	
4	Spectrogram 1	1	30.754	195.912	8012.DSG_RAWD_HMS_21_45_ 0__DMY_23_ 2_16.wav	1.4590	3.5805	7	3	2	2	
5	Spectrogram 1	1	36.449	191.356	8012.DSG_RAWD_HMS_21_45_ 0__DMY_23_ 2_16.wav	5.2980	5.2787	7	3	1	2	
6	Spectrogram 1	1	15.946	191.356	8013.DSG_RAWD_HMS_21_50_ 0__DMY_23_ 2_16.wav	4.9871	2.5582	7	3	2	2	
7	Spectrogram 1	1	41.005	189.078	8013.DSG_RAWD_HMS_21_50_ 0__DMY_23_ 2_16.wav	1.1242	0.0706	7	3	1	2	
8	Spectrogram 1	1	35.310	189.078	8013.DSG_RAWD_HMS_21_50_ 0__DMY_23_ 2_16.wav	2.6670	7.8921	7	3	1	2	
9	Spectrogram 1	1	33.032	178.827	8018.DSG_RAWD_HMS_22_15_ 0__DMY_23_ 2_16.wav	2.8344	4.3474	7	3	2	2	
10	Spectrogram 1	1	37.588	200.468	8032.DSG_RAWD_HMS_23_25_ 0__DMY_23_ 2_16.wav	10.9070	0.1209	7	3	1	2	
11	Spectrogram 1	1	44.422	195.912	8033.DSG_RAWD_HMS_23_30_ 0__DMY_23_ 2_16.wav	10.5123	0.0763	7	3	1	2	
12	Spectrogram 1	1	39.866	191.356	8034.DSG_RAWD_HMS_23_35_ 0__DMY_23_ 2_16.wav	10.5243	0.0945	7	3	1	2	
13	Spectrogram 1	1	30.754	187.939	8035.DSG_RAWD_HMS_23_40_ 0__DMY_23_ 2_16.wav	4.9990	0.0888	7	3	1	2	
14	Spectrogram 1	1	31.893	183.383	8035.DSG_RAWD_HMS_23_40_ 0__DMY_23_ 2_16.wav	5.3100	5.2911	7	3	1	2	
15	Spectrogram 1	1	37.588	182.244	8036.DSG_RAWD_HMS_23_45_ 0__DMY_23_ 2_16.wav	10.5004	0.0950	7	3	1	2	
16	Spectrogram 1	1	33.032	183.383	8037.DSG_RAWD_HMS_23_50_ 0__DMY_23_ 2_16.wav	10.5243	0.0534	7	3	1	2	
17	Spectrogram 1	1	36.449	169.715	8038.DSG_RAWD_HMS_23_55_ 0__DMY_23_ 2_16.wav	4.8914	5.7403	7	3	1	2	
18	Spectrogram 1	1	31.893	168.576	8039.DSG_RAWD_HMS_ 0_ 0_ 0__DMY_24_ 2_16.wav	10.5004	0.1137	7	3	1	2	
19	Spectrogram 1	1	34.171	193.634	8040.DSG_RAWD_HMS_ 0_ 5_ 0__DMY_24_ 2_16.wav	6.7092	3.8991	7	3	1	2	
20	Spectrogram 1	1	42.144	192.495	8041.DSG_RAWD_HMS_ 0_10_ 0__DMY_24_ 2_16.wav	3.4084	2.0157	7	3	2	2	
21	Spectrogram 1	1	33.032	190.217	8042.DSG_RAWD_HMS_ 0_15_ 0__DMY_24_ 2_16.wav	6.2907	4.3421	7	3	1	2	
22	Spectrogram 1	1	34.171	185.661	8043.DSG_RAWD_HMS_ 0_20_ 0__DMY_24_ 2_16.wav	2.1886	0.1147	7	3	1	2	
23	Spectrogram 1	1	34.171	181.105	8043.DSG_RAWD_HMS_ 0_20_ 0__DMY_24_ 2_16.wav	1.7820	2.5066	7	3	2	2	
24	Spectrogram 1	1	30.754	194.773	8043.DSG_RAWD_HMS_ 0_20_ 0__DMY_24_ 2_16.wav	4.7718	5.8552	7	3	1	2	
25	Spectrogram 1	1	34.171	184.522	8044.DSG_RAWD_HMS_ 0_25_ 0__DMY_24_ 2_16.wav	2.8942	0.0731	7	3	1	2	
26	Spectrogram 1	1	34.171	194.773	8044.DSG_RAWD_HMS_ 0_25_ 0__DMY_24_ 2_16.wav	7.4507	3.1227	7	3	1	2	
27	Spectrogram 1	1	37.588	192.495	8045.DSG_RAWD_HMS_ 0_30_ 0__DMY_24_ 2_16.wav	5.3339	0.1032	7	3	1	2	
28	Spectrogram 1	1	28.476	203.885	8046.DSG_RAWD_HMS_ 0_35_ 0__DMY_24_ 2_16.wav	4.5685	0.0856	7	3	1	2	
29	Spectrogram 1	1	31.893	200.468	8046.DSG_RAWD_HMS_ 0_35_ 0__DMY_24_ 2_16.wav	5.7046	4.8334	7	3	1	2	
30	Spectrogram 1	1	36.449	197.051	8047.DSG_RAWD_HMS_ 0_40_ 0__DMY_24_ 2_16.wav	5.3219	0.0918	7	3	1	2	
31	Spectrogram 1	1	38.727	192.495	8048.DSG_RAWD_HMS_ 0_45_ 0__DMY_24_ 2_16.wav	1.2797	0.0861	7	3	1	2	
32	Spectrogram 1	1	30.754	182.244	8048.DSG_RAWD_HMS_ 0_45_ 0__DMY_24_ 2_16.wav	2.2005	6.4237	7	3	2	2	
33	Spectrogram 1	1	37.588	178.827	8048.DSG_RAWD_HMS_ 0_45_ 0__DMY_24_ 2_16.wav	1.8537	8.7558	7	3	1	2	
34	Spectrogram 1	1	27.337	170.854	8049.DSG_RAWD_HMS_ 0_50_ 0__DMY_24_ 2_16.wav	1.9733	8.6065	7	3	1	2	
35	Spectrogram 1	1	36.449	168.576	8050.DSG_RAWD_HMS_ 0_55_ 0__DMY_24_ 2_16.wav	5.0708	0.0976	7	3	1	2	
36	Spectrogram 1	1	36.449	191.356	8053.DSG_RAWD_HMS_ 1_10_ 0__DMY_24_ 2_16.wav	7.1159	0.1207	7	3	1	2	
