Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	27.337	198.190	6501.DSG_RAWD_HMS_15_50_ 0__DMY_18_ 2_16.wav	6.3614	0.0120	7	3	1	2	
2	Spectrogram 1	1	36.449	209.581	6501.DSG_RAWD_HMS_15_50_ 0__DMY_18_ 2_16.wav	3.5992	7.0191	7	3	1	2	
3	Spectrogram 1	1	37.588	209.581	6502.DSG_RAWD_HMS_15_55_ 0__DMY_18_ 2_16.wav	7.6170	0.0524	7	3	1	2	
4	Spectrogram 1	1	33.032	202.746	6502.DSG_RAWD_HMS_15_55_ 0__DMY_18_ 2_16.wav	2.6905	7.8727	7	3	1	2	
5	Spectrogram 1	1	31.893	206.164	6503.DSG_RAWD_HMS_16_ 0_ 0__DMY_18_ 2_16.wav	10.4509	0.0570	7	3	1	2	
6	Spectrogram 1	1	35.310	203.885	6504.DSG_RAWD_HMS_16_ 5_ 0__DMY_18_ 2_16.wav	1.6621	0.0735	7	3	1	2	
7	Spectrogram 1	1	29.615	201.607	6504.DSG_RAWD_HMS_16_ 5_ 0__DMY_18_ 2_16.wav	8.6692	1.9270	7	3	1	2	
8	Spectrogram 1	1	29.615	218.693	6505.DSG_RAWD_HMS_16_10_ 0__DMY_18_ 2_16.wav	3.2405	3.7969	7	3	2	2	
9	Spectrogram 1	1	36.449	218.693	6505.DSG_RAWD_HMS_16_10_ 0__DMY_18_ 2_16.wav	2.8698	7.2527	7	3	2	2	
10	Spectrogram 1	1	38.727	215.276	6506.DSG_RAWD_HMS_16_15_ 0__DMY_18_ 2_16.wav	6.2897	0.1066	7	3	1	2	
11	Spectrogram 1	1	35.310	219.832	6506.DSG_RAWD_HMS_16_15_ 0__DMY_18_ 2_16.wav	2.9894	7.6040	7	3	1	2	
12	Spectrogram 1	1	30.754	216.415	6507.DSG_RAWD_HMS_16_20_ 0__DMY_18_ 2_16.wav	8.2986	0.1232	7	3	1	2	
13	Spectrogram 1	1	37.588	210.720	6507.DSG_RAWD_HMS_16_20_ 0__DMY_18_ 2_16.wav	2.0687	8.5294	7	3	1	2	
14	Spectrogram 1	1	39.866	209.581	6508.DSG_RAWD_HMS_16_25_ 0__DMY_18_ 2_16.wav	2.4393	0.0799	7	3	1	2	
15	Spectrogram 1	1	39.866	208.442	6508.DSG_RAWD_HMS_16_25_ 0__DMY_18_ 2_16.wav	3.5873	3.0454	7	3	2	2	
16	Spectrogram 1	1	41.005	218.693	6509.DSG_RAWD_HMS_16_30_ 0__DMY_18_ 2_16.wav	10.4509	0.1204	7	3	1	2	
17	Spectrogram 1	1	35.310	211.859	6510.DSG_RAWD_HMS_16_35_ 0__DMY_18_ 2_16.wav	3.1927	0.2206	7	3	2	2	
18	Spectrogram 1	1	34.171	208.442	6510.DSG_RAWD_HMS_16_35_ 0__DMY_18_ 2_16.wav	0.8490	3.5688	7	3	2	2	
19	Spectrogram 1	1	35.310	209.581	6510.DSG_RAWD_HMS_16_35_ 0__DMY_18_ 2_16.wav	2.7144	4.5732	7	3	2	2	
20	Spectrogram 1	1	35.310	209.581	6510.DSG_RAWD_HMS_16_35_ 0__DMY_18_ 2_16.wav	3.1209	7.4669	7	3	1	2	
21	Spectrogram 1	1	35.310	208.442	6511.DSG_RAWD_HMS_16_40_ 0__DMY_18_ 2_16.wav	10.5227	0.0578	7	3	1	2	
22	Spectrogram 1	1	37.588	209.581	6512.DSG_RAWD_HMS_16_45_ 0__DMY_18_ 2_16.wav	10.5227	0.0385	7	3	1	2	
23	Spectrogram 1	1	35.310	182.244	6513.DSG_RAWD_HMS_16_50_ 0__DMY_18_ 2_16.wav	2.0208	8.4254	7	3	2	2	
24	Spectrogram 1	1	36.449	184.522	6514.DSG_RAWD_HMS_16_55_ 0__DMY_18_ 2_16.wav	9.0638	0.0716	7	3	1	2	
25	Spectrogram 1	1	34.171	177.688	6514.DSG_RAWD_HMS_16_55_ 0__DMY_18_ 2_16.wav	1.1599	9.4224	7	3	1	2	
26	Spectrogram 1	1	35.310	176.549	6515.DSG_RAWD_HMS_17_ 0_ 0__DMY_18_ 2_16.wav	3.1448	0.0762	7	3	1	2	
27	Spectrogram 1	1	36.449	178.827	6515.DSG_RAWD_HMS_17_ 0_ 0__DMY_18_ 2_16.wav	2.0567	3.4602	7	3	2	2	
28	Spectrogram 1	1	42.144	182.244	6515.DSG_RAWD_HMS_17_ 0_ 0__DMY_18_ 2_16.wav	1.5067	5.7441	7	3	2	2	
29	Spectrogram 1	1	37.588	216.415	6516.DSG_RAWD_HMS_17_ 5_ 0__DMY_18_ 2_16.wav	10.4629	0.1286	7	3	1	2	
30	Spectrogram 1	1	38.727	203.885	6518.DSG_RAWD_HMS_17_15_ 0__DMY_18_ 2_16.wav	9.7215	0.0421	7	3	1	2	
31	Spectrogram 1	1	41.005	197.051	6518.DSG_RAWD_HMS_17_15_ 0__DMY_18_ 2_16.wav	0.6218	9.9550	7	3	1	2	
32	Spectrogram 1	1	36.449	197.051	6519.DSG_RAWD_HMS_17_20_ 0__DMY_18_ 2_16.wav	9.7574	0.0946	7	3	1	2	
33	Spectrogram 1	1	37.588	191.356	6520.DSG_RAWD_HMS_17_25_ 0__DMY_18_ 2_16.wav	8.1790	2.4309	7	3	1	2	
34	Spectrogram 1	1	30.754	187.939	6521.DSG_RAWD_HMS_17_30_ 0__DMY_18_ 2_16.wav	2.0687	0.0918	7	3	1	2	
35	Spectrogram 1	1	35.310	197.051	6522.DSG_RAWD_HMS_17_35_ 0__DMY_18_ 2_16.wav	5.0939	0.0725	7	3	1	2	
36	Spectrogram 1	1	35.310	203.885	6522.DSG_RAWD_HMS_17_35_ 0__DMY_18_ 2_16.wav	3.3003	7.3068	7	3	1	2	
37	Spectrogram 1	1	41.005	200.468	6523.DSG_RAWD_HMS_17_40_ 0__DMY_18_ 2_16.wav	10.5346	0.0412	7	3	1	2	
38	Spectrogram 1	1	34.171	197.051	6524.DSG_RAWD_HMS_17_45_ 0__DMY_18_ 2_16.wav	10.5346	0.0577	7	3	1	2	
39	Spectrogram 1	1	38.727	195.912	6525.DSG_RAWD_HMS_17_50_ 0__DMY_18_ 2_16.wav	4.3167	0.0743	7	3	1	2	
40	Spectrogram 1	1	36.449	194.773	6525.DSG_RAWD_HMS_17_50_ 0__DMY_18_ 2_16.wav	4.7830	5.8139	7	3	1	2	
41	Spectrogram 1	1	35.310	191.356	6526.DSG_RAWD_HMS_17_55_ 0__DMY_18_ 2_16.wav	10.5705	0.0550	7	3	1	2	
42	Spectrogram 1	1	37.588	190.217	6527.DSG_RAWD_HMS_18_ 0_ 0__DMY_18_ 2_16.wav	5.2374	0.0954	7	3	1	2	
43	Spectrogram 1	1	38.727	191.356	6527.DSG_RAWD_HMS_18_ 0_ 0__DMY_18_ 2_16.wav	3.8982	5.5122	7	3	2	2	
44	Spectrogram 1	1	31.893	186.800	6527.DSG_RAWD_HMS_18_ 0_ 0__DMY_18_ 2_16.wav	1.0762	9.5419	7	3	1	2	
45	Spectrogram 1	1	35.310	182.244	6528.DSG_RAWD_HMS_18_ 5_ 0__DMY_18_ 2_16.wav	1.8773	0.1000	7	3	1	2	
46	Spectrogram 1	1	36.449	177.688	6528.DSG_RAWD_HMS_18_ 5_ 0__DMY_18_ 2_16.wav	8.4420	2.1567	7	3	1	2	
47	Spectrogram 1	1	28.476	174.271	6529.DSG_RAWD_HMS_18_10_ 0__DMY_18_ 2_16.wav	9.4704	0.1046	7	3	1	2	
48	Spectrogram 1	1	30.754	167.437	6529.DSG_RAWD_HMS_18_10_ 0__DMY_18_ 2_16.wav	0.7892	9.7663	7	3	1	2	
49	Spectrogram 1	1	33.032	171.993	6530.DSG_RAWD_HMS_18_15_ 0__DMY_18_ 2_16.wav	10.4629	0.1451	7	3	1	2	
50	Spectrogram 1	1	37.588	169.715	6531.DSG_RAWD_HMS_18_20_ 0__DMY_18_ 2_16.wav	4.3406	0.1018	7	3	1	2	
51	Spectrogram 1	1	39.866	167.437	6531.DSG_RAWD_HMS_18_20_ 0__DMY_18_ 2_16.wav	5.9668	4.6338	7	3	1	2	
52	Spectrogram 1	1	36.449	164.020	6532.DSG_RAWD_HMS_18_25_ 0__DMY_18_ 2_16.wav	10.4868	0.1064	7	3	1	2	
53	Spectrogram 1	1	30.754	161.742	6533.DSG_RAWD_HMS_18_30_ 0__DMY_18_ 2_16.wav	10.5227	0.0751	7	3	1	2	
54	Spectrogram 1	1	34.171	156.046	6534.DSG_RAWD_HMS_18_35_ 0__DMY_18_ 2_16.wav	5.7157	0.0917	7	3	1	2	
55	Spectrogram 1	1	36.449	151.490	6534.DSG_RAWD_HMS_18_35_ 0__DMY_18_ 2_16.wav	3.8623	5.9987	7	3	2	2	
56	Spectrogram 1	1	34.171	152.629	6534.DSG_RAWD_HMS_18_35_ 0__DMY_18_ 2_16.wav	0.6218	9.9926	7	3	1	2	
57	Spectrogram 1	1	38.727	149.212	6535.DSG_RAWD_HMS_18_40_ 0__DMY_18_ 2_16.wav	3.8982	0.0724	7	3	1	2	
58	Spectrogram 1	1	28.476	207.303	6536.DSG_RAWD_HMS_18_45_ 0__DMY_18_ 2_16.wav	7.3061	0.0530	7	3	1	2	
59	Spectrogram 1	1	33.032	207.303	6536.DSG_RAWD_HMS_18_45_ 0__DMY_18_ 2_16.wav	3.0492	7.5863	7	3	1	2	
60	Spectrogram 1	1	37.588	205.025	6537.DSG_RAWD_HMS_18_50_ 0__DMY_18_ 2_16.wav	4.9624	0.1055	7	3	1	2	
61	Spectrogram 1	1	43.283	201.607	6537.DSG_RAWD_HMS_18_50_ 0__DMY_18_ 2_16.wav	2.6546	5.4505	7	3	2	2	
62	Spectrogram 1	1	41.005	198.190	6537.DSG_RAWD_HMS_18_50_ 0__DMY_18_ 2_16.wav	2.3078	8.2605	7	3	1	2	
63	Spectrogram 1	1	33.032	192.495	6538.DSG_RAWD_HMS_18_55_ 0__DMY_18_ 2_16.wav	10.5346	0.0862	7	3	1	2	
64	Spectrogram 1	1	37.588	160.603	6539.DSG_RAWD_HMS_19_ 0_ 0__DMY_18_ 2_16.wav	8.8486	0.2581	7	3	2	2	
65	Spectrogram 1	1	44.422	164.020	6540.DSG_RAWD_HMS_19_ 5_ 0__DMY_18_ 2_16.wav	3.5514	0.0714	7	3	1	2	
66	Spectrogram 1	1	36.449	161.742	6540.DSG_RAWD_HMS_19_ 5_ 0__DMY_18_ 2_16.wav	5.4168	3.8500	7	3	2	2	
67	Spectrogram 1	1	39.866	171.993	6540.DSG_RAWD_HMS_19_ 5_ 0__DMY_18_ 2_16.wav	1.1360	9.4581	7	3	1	2	
68	Spectrogram 1	1	35.310	173.132	6541.DSG_RAWD_HMS_19_10_ 0__DMY_18_ 2_16.wav	3.4557	0.0641	7	3	1	2	
69	Spectrogram 1	1	29.615	212.998	6543.DSG_RAWD_HMS_19_20_ 0__DMY_18_ 2_16.wav	7.5811	0.0852	7	3	1	2	
