Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	0	193.7	0753.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_22_ 7_16.wav	0.1818	6.8797	3	3	2	2	
2	Spectrogram 1	1	33.3	198.3	0754.DSG_RAWD_HMS_ 8_10_ 0__DMY_22_ 7_16.wav	3.2299	0.0483	1	1	1	2	
3	Spectrogram 1	1	42.4	157.4	0755.DSG_RAWD_HMS_ 8_15_ 0__DMY_22_ 7_16.wav	2.877	1.1847	1	3	2	2	
4	Spectrogram 1	1	40.9	180.1	0757.DSG_RAWD_HMS_ 8_25_ 0__DMY_22_ 7_16.wav	1.4225	0.0459	1	3	1	2	
5	Spectrogram 1	1	0	177.1	0770.DSG_RAWD_HMS_ 9_30_ 0__DMY_22_ 7_16.wav	0.246	4.8951	3	2	2	2	
6	Spectrogram 1	1	30.3	190.7	0770.DSG_RAWD_HMS_ 9_30_ 0__DMY_22_ 7_16.wav	4.738	5.7614	2	2	2	2	
7	Spectrogram 1	1	0	177.1	0771.DSG_RAWD_HMS_ 9_35_ 0__DMY_22_ 7_16.wav	0.1711	7.4219	3	3	2	2	
8	Spectrogram 1	1	0	172.5	0771.DSG_RAWD_HMS_ 9_35_ 0__DMY_22_ 7_16.wav	0.1818	4.5984	3	3	2	2	
9	Spectrogram 1	1	34.8	158.9	0772.DSG_RAWD_HMS_ 9_40_ 0__DMY_22_ 7_16.wav	4.7914	2.3402	1	2	2	2	
10	Spectrogram 1	1	16.6	441.9	0778.DSG_RAWD_HMS_10_10_ 0__DMY_22_ 7_16.wav	4.0428	3.5548	1	1	2	2	
11	Spectrogram 1	1	39.4	125.6	0788.DSG_RAWD_HMS_11_ 0_ 0__DMY_22_ 7_16.wav	3.754	1.522	1	3	2	1	
12	Spectrogram 1	1	0	151.3	0788.DSG_RAWD_HMS_11_ 0_ 0__DMY_22_ 7_16.wav	0.1925	5.0086	3	3	2	1	
