Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	calls overlap	call cutoff @ end	Notes
1	Waveform 1	1	0.000	191.404	9654.DSG_RAWD_HMS_17_35_ 0__DMY_13_10_15.wav	0.1967	0.0173	3	1	2	2	
1	Spectrogram 1	1	0.000	191.404	9654.DSG_RAWD_HMS_17_35_ 0__DMY_13_10_15.wav	0.1967	0.0173	3	1	2	2	
2	Waveform 1	1	40.459	126.047	9655.DSG_RAWD_HMS_17_40_ 0__DMY_13_10_15.wav	5.1391	5.4945	1	2	2	1	
2	Spectrogram 1	1	40.459	126.047	9655.DSG_RAWD_HMS_17_40_ 0__DMY_13_10_15.wav	5.1391	5.4945	1	2	2	1	
3	Waveform 1	1	0.000	188.292	9658.DSG_RAWD_HMS_17_55_ 0__DMY_13_10_15.wav	0.2223	10.2682	3	2	2	2	
3	Spectrogram 1	1	0.000	188.292	9658.DSG_RAWD_HMS_17_55_ 0__DMY_13_10_15.wav	0.2223	10.2682	3	2	2	2	
4	Waveform 1	1	0.000	256.762	9659.DSG_RAWD_HMS_18_ 0_ 0__DMY_13_10_15.wav	0.2138	5.3466	3	1	2	2	
4	Spectrogram 1	1	0.000	256.762	9659.DSG_RAWD_HMS_18_ 0_ 0__DMY_13_10_15.wav	0.2138	5.3466	3	1	2	2	
5	Waveform 1	1	0.000	188.292	9666.DSG_RAWD_HMS_18_35_ 0__DMY_13_10_15.wav	0.2565	5.6932	3	2	2	2	
5	Spectrogram 1	1	0.000	188.292	9666.DSG_RAWD_HMS_18_35_ 0__DMY_13_10_15.wav	0.2565	5.6932	3	2	2	2	
6	Waveform 1	1	0.000	160.282	9668.DSG_RAWD_HMS_18_45_ 0__DMY_13_10_15.wav	0.2223	6.7469	3	3	2	2	
6	Spectrogram 1	1	0.000	160.282	9668.DSG_RAWD_HMS_18_45_ 0__DMY_13_10_15.wav	0.2223	6.7469	3	3	2	2	
7	Waveform 1	1	0.000	270.767	9671.DSG_RAWD_HMS_19_ 0_ 0__DMY_13_10_15.wav	0.2993	0.2159	3	1	2	2	
7	Spectrogram 1	1	0.000	270.767	9671.DSG_RAWD_HMS_19_ 0_ 0__DMY_13_10_15.wav	0.2993	0.2159	3	1	2	2	
8	Waveform 1	1	0.000	217.859	9671.DSG_RAWD_HMS_19_ 0_ 0__DMY_13_10_15.wav	0.2223	0.8230	3	1	2	2	
8	Spectrogram 1	1	0.000	217.859	9671.DSG_RAWD_HMS_19_ 0_ 0__DMY_13_10_15.wav	0.2223	0.8230	3	1	2	2	
9	Waveform 1	1	0.000	227.195	9673.DSG_RAWD_HMS_19_10_ 0__DMY_13_10_15.wav	0.2223	7.1178	3	3	2	2	
9	Spectrogram 1	1	0.000	227.195	9673.DSG_RAWD_HMS_19_10_ 0__DMY_13_10_15.wav	0.2223	7.1178	3	3	2	2	
10	Waveform 1	1	40.459	172.731	9674.DSG_RAWD_HMS_19_15_ 0__DMY_13_10_15.wav	3.6085	2.2106	1	3	2	2	
10	Spectrogram 1	1	40.459	172.731	9674.DSG_RAWD_HMS_19_15_ 0__DMY_13_10_15.wav	3.6085	2.2106	1	3	2	2	
11	Waveform 1	1	1.556	269.211	9681.DSG_RAWD_HMS_19_50_ 0__DMY_13_10_15.wav	0.2138	10.2208	3	3	2	2	
11	Spectrogram 1	1	1.556	269.211	9681.DSG_RAWD_HMS_19_50_ 0__DMY_13_10_15.wav	0.2138	10.2208	3	3	2	2	
12	Waveform 1	1	34.235	132.271	9681.DSG_RAWD_HMS_19_50_ 0__DMY_13_10_15.wav	1.5050	10.6484	1	3	2	2	
12	Spectrogram 1	1	34.235	132.271	9681.DSG_RAWD_HMS_19_50_ 0__DMY_13_10_15.wav	1.5050	10.6484	1	3	2	2	
13	Waveform 1	1	29.567	141.608	9682.DSG_RAWD_HMS_19_55_ 0__DMY_13_10_15.wav	2.1976	6.0062	2	3	2	2	
13	Spectrogram 1	1	29.567	141.608	9682.DSG_RAWD_HMS_19_55_ 0__DMY_13_10_15.wav	2.1976	6.0062	2	3	2	2	
14	Waveform 1	1	32.679	182.068	9684.DSG_RAWD_HMS_20_ 5_ 0__DMY_13_10_15.wav	4.1472	5.1296	2	2	2	2	
14	Spectrogram 1	1	32.679	182.068	9684.DSG_RAWD_HMS_20_ 5_ 0__DMY_13_10_15.wav	4.1472	5.1296	2	2	2	2	
15	Waveform 1	1	38.903	135.384	9686.DSG_RAWD_HMS_20_15_ 0__DMY_13_10_15.wav	3.9420	3.8997	1	3	2	2	
15	Spectrogram 1	1	38.903	135.384	9686.DSG_RAWD_HMS_20_15_ 0__DMY_13_10_15.wav	3.9420	3.8997	1	3	2	2	
16	Waveform 1	1	40.459	143.164	9688.DSG_RAWD_HMS_20_25_ 0__DMY_13_10_15.wav	5.7205	2.8349	1	3	2	2	
16	Spectrogram 1	1	40.459	143.164	9688.DSG_RAWD_HMS_20_25_ 0__DMY_13_10_15.wav	5.7205	2.8349	1	3	2	2	
17	Waveform 1	1	37.347	194.517	9689.DSG_RAWD_HMS_20_30_ 0__DMY_13_10_15.wav	3.4289	0.0349	1	2	2	1	
17	Spectrogram 1	1	37.347	194.517	9689.DSG_RAWD_HMS_20_30_ 0__DMY_13_10_15.wav	3.4289	0.0349	1	2	2	1	
18	Waveform 1	1	31.123	157.169	9689.DSG_RAWD_HMS_20_30_ 0__DMY_13_10_15.wav	5.3443	5.2952	1	3	2	1	
18	Spectrogram 1	1	31.123	157.169	9689.DSG_RAWD_HMS_20_30_ 0__DMY_13_10_15.wav	5.3443	5.2952	1	3	2	1	
19	Waveform 1	1	37.347	154.057	9690.DSG_RAWD_HMS_20_35_ 0__DMY_13_10_15.wav	3.6940	4.7447	1	1	2	2	
19	Spectrogram 1	1	37.347	154.057	9690.DSG_RAWD_HMS_20_35_ 0__DMY_13_10_15.wav	3.6940	4.7447	1	1	2	2	
20	Waveform 1	1	43.572	149.389	9691.DSG_RAWD_HMS_20_40_ 0__DMY_13_10_15.wav	10.6202	0.0079	6	1	1	1	
20	Spectrogram 1	1	43.572	149.389	9691.DSG_RAWD_HMS_20_40_ 0__DMY_13_10_15.wav	10.6202	0.0079	6	1	1	1	
21	Waveform 1	1	31.123	141.608	9692.DSG_RAWD_HMS_20_45_ 0__DMY_13_10_15.wav	9.2349	1.4155	6	1	1	1	
21	Spectrogram 1	1	31.123	141.608	9692.DSG_RAWD_HMS_20_45_ 0__DMY_13_10_15.wav	9.2349	1.4155	6	1	1	1	
22	Waveform 1	1	26.454	192.960	9693.DSG_RAWD_HMS_20_50_ 0__DMY_13_10_15.wav	10.6458	0.0211	6	1	1	1	
22	Spectrogram 1	1	26.454	192.960	9693.DSG_RAWD_HMS_20_50_ 0__DMY_13_10_15.wav	10.6458	0.0211	6	1	1	1	
23	Waveform 1	1	17.117	281.660	9694.DSG_RAWD_HMS_20_55_ 0__DMY_13_10_15.wav	10.5603	0.0488	6	2	1	1	
23	Spectrogram 1	1	17.117	281.660	9694.DSG_RAWD_HMS_20_55_ 0__DMY_13_10_15.wav	10.5603	0.0488	6	2	1	1	
24	Waveform 1	1	21.786	287.885	9695.DSG_RAWD_HMS_21_ 0_ 0__DMY_13_10_15.wav	10.6287	0.0059	6	1	1	1	
24	Spectrogram 1	1	21.786	287.885	9695.DSG_RAWD_HMS_21_ 0_ 0__DMY_13_10_15.wav	10.6287	0.0059	6	1	1	1	
25	Waveform 1	1	26.454	286.328	9696.DSG_RAWD_HMS_21_ 5_ 0__DMY_13_10_15.wav	10.5860	0.0304	6	2	1	1	
25	Spectrogram 1	1	26.454	286.328	9696.DSG_RAWD_HMS_21_ 5_ 0__DMY_13_10_15.wav	10.5860	0.0304	6	2	1	1	
26	Waveform 1	1	26.454	284.772	9697.DSG_RAWD_HMS_21_10_ 0__DMY_13_10_15.wav	10.5774	0.0276	6	1	1	1	
26	Spectrogram 1	1	26.454	284.772	9697.DSG_RAWD_HMS_21_10_ 0__DMY_13_10_15.wav	10.5774	0.0276	6	1	1	1	
27	Waveform 1	1	23.342	284.772	9697.DSG_RAWD_HMS_21_10_ 0__DMY_13_10_15.wav	10.6544	10.6418	6	1	1	1	
27	Spectrogram 1	1	23.342	284.772	9697.DSG_RAWD_HMS_21_10_ 0__DMY_13_10_15.wav	10.6544	10.6418	6	1	1	1	
28	Waveform 1	1	14.005	287.885	9699.DSG_RAWD_HMS_21_20_ 0__DMY_13_10_15.wav	10.5860	0.0290	6	1	1	1	
28	Spectrogram 1	1	14.005	287.885	9699.DSG_RAWD_HMS_21_20_ 0__DMY_13_10_15.wav	10.5860	0.0290	6	1	1	1	
29	Waveform 1	1	17.117	290.997	9700.DSG_RAWD_HMS_21_25_ 0__DMY_13_10_15.wav	10.6265	0.0230	6	1	1	1	
29	Spectrogram 1	1	17.117	290.997	9700.DSG_RAWD_HMS_21_25_ 0__DMY_13_10_15.wav	10.6265	0.0230	6	1	1	1	
30	Waveform 1	1	0.000	298.778	9663.DSG_RAWD_HMS_18_20_ 0__DMY_13_10_15.wav	5.7804	0.0126	8	2	2	1	
