Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	37.854	144.169	6347.DSG_RAWD_HMS_ 3_ 0_ 0__DMY_18_ 2_16.wav	1.5794	9.0146	7	3	1	2	
2	Spectrogram 1	1	34.633	164.020	6348.DSG_RAWD_HMS_ 3_ 5_ 0__DMY_18_ 2_16.wav	6.6405	3.9406	7	3	1	2	
3	Spectrogram 1	1	36.449	160.603	6349.DSG_RAWD_HMS_ 3_10_ 0__DMY_18_ 2_16.wav	6.1260	0.0871	7	3	1	2	
4	Spectrogram 1	1	35.310	158.324	6361.DSG_RAWD_HMS_ 4_10_ 0__DMY_18_ 2_16.wav	3.3861	7.2061	7	3	1	2	
5	Spectrogram 1	1	33.032	153.768	6362.DSG_RAWD_HMS_ 4_15_ 0__DMY_18_ 2_16.wav	4.3792	0.0982	7	3	1	2	
6	Spectrogram 1	1	36.449	171.993	6363.DSG_RAWD_HMS_ 4_20_ 0__DMY_18_ 2_16.wav	10.4932	0.0734	7	3	1	2	
7	Spectrogram 1	1	42.144	206.164	6364.DSG_RAWD_HMS_ 4_25_ 0__DMY_18_ 2_16.wav	4.6544	5.5047	7	3	1	2	
8	Spectrogram 1	1	31.893	195.912	6367.DSG_RAWD_HMS_ 4_40_ 0__DMY_18_ 2_16.wav	9.1771	1.4380	7	3	1	2	
9	Spectrogram 1	1	30.754	194.773	6368.DSG_RAWD_HMS_ 4_45_ 0__DMY_18_ 2_16.wav	4.2117	0.0732	7	3	1	2	
10	Spectrogram 1	1	28.476	199.329	6368.DSG_RAWD_HMS_ 4_45_ 0__DMY_18_ 2_16.wav	4.2236	6.3787	7	3	1	2	
11	Spectrogram 1	1	41.005	206.164	6369.DSG_RAWD_HMS_ 4_50_ 0__DMY_18_ 2_16.wav	5.6474	4.9660	7	3	1	2	
12	Spectrogram 1	1	33.032	200.468	6370.DSG_RAWD_HMS_ 4_55_ 0__DMY_18_ 2_16.wav	3.5416	0.0835	7	3	1	2	
13	Spectrogram 1	1	33.032	190.217	6370.DSG_RAWD_HMS_ 4_55_ 0__DMY_18_ 2_16.wav	6.7841	3.8165	7	3	1	2	
14	Spectrogram 1	1	35.310	194.773	6371.DSG_RAWD_HMS_ 5_ 0_ 0__DMY_18_ 2_16.wav	4.3433	6.2805	7	3	1	2	
15	Spectrogram 1	1	37.588	185.661	6372.DSG_RAWD_HMS_ 5_ 5_ 0__DMY_18_ 2_16.wav	5.4082	2.5466	7	3	2	2	
16	Spectrogram 1	1	35.310	211.859	6373.DSG_RAWD_HMS_ 5_10_ 0__DMY_18_ 2_16.wav	10.5172	0.0571	7	3	1	2	
17	Spectrogram 1	1	38.727	209.581	6374.DSG_RAWD_HMS_ 5_15_ 0__DMY_18_ 2_16.wav	6.4012	0.0563	7	3	1	2	
18	Spectrogram 1	1	39.866	224.388	6375.DSG_RAWD_HMS_ 5_20_ 0__DMY_18_ 2_16.wav	4.8458	5.7711	7	3	1	2	
19	Spectrogram 1	1	39.866	219.832	6376.DSG_RAWD_HMS_ 5_25_ 0__DMY_18_ 2_16.wav	10.4813	0.1048	7	3	1	2	
20	Spectrogram 1	1	43.283	218.693	6377.DSG_RAWD_HMS_ 5_30_ 0__DMY_18_ 2_16.wav	4.1877	4.7344	7	3	2	2	
21	Spectrogram 1	1	33.032	198.190	6378.DSG_RAWD_HMS_ 5_35_ 0__DMY_18_ 2_16.wav	2.3930	0.2108	7	3	2	2	
22	Spectrogram 1	1	33.032	218.693	6379.DSG_RAWD_HMS_ 5_40_ 0__DMY_18_ 2_16.wav	6.4611	0.0903	7	3	1	2	
23	Spectrogram 1	1	33.032	202.746	6380.DSG_RAWD_HMS_ 5_45_ 0__DMY_18_ 2_16.wav	8.7583	1.4176	7	3	2	2	
24	Spectrogram 1	1	34.171	209.581	6381.DSG_RAWD_HMS_ 5_50_ 0__DMY_18_ 2_16.wav	10.5650	0.0528	7	3	1	2	
25	Spectrogram 1	1	38.727	210.720	6382.DSG_RAWD_HMS_ 5_55_ 0__DMY_18_ 2_16.wav	5.5876	4.9816	7	3	1	2	
26	Spectrogram 1	1	35.310	209.581	6383.DSG_RAWD_HMS_ 6_ 0_ 0__DMY_18_ 2_16.wav	5.8269	0.0751	7	3	1	2	
27	Spectrogram 1	1	39.866	207.303	6384.DSG_RAWD_HMS_ 6_ 5_ 0__DMY_18_ 2_16.wav	2.5485	0.0743	7	3	1	2	
28	Spectrogram 1	1	35.310	211.859	6384.DSG_RAWD_HMS_ 6_ 5_ 0__DMY_18_ 2_16.wav	5.7791	2.8980	7	3	2	2	
29	Spectrogram 1	1	34.171	209.581	6384.DSG_RAWD_HMS_ 6_ 5_ 0__DMY_18_ 2_16.wav	1.7230	8.8566	7	3	1	2	
30	Spectrogram 1	1	38.727	208.442	6385.DSG_RAWD_HMS_ 6_10_ 0__DMY_18_ 2_16.wav	4.2834	0.0974	7	3	1	2	
31	Spectrogram 1	1	37.588	220.971	6387.DSG_RAWD_HMS_ 6_20_ 0__DMY_18_ 2_16.wav	2.3691	0.0838	7	3	1	2	
32	Spectrogram 1	1	34.171	203.885	6387.DSG_RAWD_HMS_ 6_20_ 0__DMY_18_ 2_16.wav	4.0800	2.6084	7	3	2	2	
33	Spectrogram 1	1	39.866	208.442	6387.DSG_RAWD_HMS_ 6_20_ 0__DMY_18_ 2_16.wav	3.7570	6.8440	7	3	1	2	
34	Spectrogram 1	1	30.754	201.607	6389.DSG_RAWD_HMS_ 6_30_ 0__DMY_18_ 2_16.wav	1.7588	6.1217	7	3	2	2	
35	Spectrogram 1	1	34.171	198.190	6389.DSG_RAWD_HMS_ 6_30_ 0__DMY_18_ 2_16.wav	2.5964	8.0002	7	3	1	2	
36	Spectrogram 1	1	35.310	194.773	6390.DSG_RAWD_HMS_ 6_35_ 0__DMY_18_ 2_16.wav	1.8067	0.0547	7	3	1	2	
37	Spectrogram 1	1	35.310	197.051	6391.DSG_RAWD_HMS_ 6_40_ 0__DMY_18_ 2_16.wav	1.5913	0.0538	7	3	1	2	
38	Spectrogram 1	1	37.588	201.607	6391.DSG_RAWD_HMS_ 6_40_ 0__DMY_18_ 2_16.wav	6.2577	1.8606	7	3	1	2	
39	Spectrogram 1	1	41.005	194.773	6392.DSG_RAWD_HMS_ 6_45_ 0__DMY_18_ 2_16.wav	3.3502	0.4838	7	3	2	2	
40	Spectrogram 1	1	46.700	195.912	6392.DSG_RAWD_HMS_ 6_45_ 0__DMY_18_ 2_16.wav	2.4408	4.1809	7	3	2	2	
41	Spectrogram 1	1	39.866	222.110	6395.DSG_RAWD_HMS_ 7_ 0_ 0__DMY_18_ 2_16.wav	5.0492	2.6230	7	3	2	2	
